tf	target	mor	likelihood	state
1	AHRR	C1R	0.0831609956205285	1	activation
2	ASCL3	HRH4	0.609476552904657	1	activation
3	BCL6B	ACR	-0.993777581300138	1	inhibition
4	DPF1	DLK1	0.943146682754677	1	activation
5	ETV3	VWDE	0.0826804869066269	1	activation
6	FOXH1	RELA	0.944179116614089	1	activation
7	FOXI1	CACNG1	0.999568898035218	1	activation
8	FOXI1	SPC25	-0.102275573282538	1	inhibition
9	FOXP3	UPF2	0.690307680509029	1	activation
10	GLIS2	LPXN	0.736888759541547	1	activation
11	KLF11	C15orf62	-0.927491856295534	1	inhibition
12	KLF11	GSTM3	0.954464690175306	1	activation
13	KLF9	DRP2	-0.0141128860050126	1	inhibition
14	KLF9	LAMC1	-0.935705673648012	1	inhibition
15	LHX6	CMTM5	-0.98860066004139	1	inhibition
16	MXD3	CRB1	0.610935375356732	1	activation
17	MYC	AMOTL1	-0.0793419760459391	1	inhibition
18	MYC	NEK1	-0.746965323643329	1	inhibition
19	MYC	NTN1	-0.254866833966925	1	inhibition
20	NACC2	UBE2N	-0.0411000625771245	1	inhibition
21	POU4F1	AHNAK2	-0.0721045026502355	1	inhibition
22	REL	SMNDC1	-0.972201264154897	1	inhibition
23	RELA	ESAM	0.0875960722000723	1	activation
24	RELA	FOXH1	0.944179116614089	1	activation
25	RORC	TSHZ3	0.236870443595602	1	activation
26	RORC	ST6GALNAC1	-0.0157858905660734	1	inhibition
27	RORC	SEMA5A	-0.905500169887415	1	inhibition
28	RORC	SORCS3	-0.0374115157039466	1	inhibition
29	SNAI3	ZNF311	0.276591254421674	1	activation
30	SNAI3	TMEM160	0.28650034604813	1	activation
31	TSHZ3	RORC	0.236870443595602	1	activation
32	TSHZ3	FAM161A	0.989524396225032	1	activation
33	ZNF107	RAB24	-0.0156265078504157	1	inhibition
34	ZNF20	EYS	0.944857951919322	1	activation
35	ZNF20	CNTF	-0.310453457075596	1	inhibition
36	ZNF20	FAM90A1	-0.0793419760459391	1	inhibition
37	ZNF213	ZNF507	0.0856001882469567	1	activation
38	ZNF223	ANGPTL4	0.116769468799937	1	activation
39	ZNF223	HIGD1C	-0.0418758688972463	1	inhibition
40	ZNF223	ATG10	0.332185525009401	1	activation
41	ZNF30	ZNF311	-0.0148517783709968	1	inhibition
42	ZNF311	ZNF30	-0.0148517783709968	1	inhibition
43	ZNF311	SNAI3	0.276591254421674	1	activation
44	ZNF311	SLC4A1	-0.090966248645102	1	inhibition
45	ZNF398	SLC25A29	-0.736672151143781	1	inhibition
46	ZNF420	ACR	0.126080110449948	1	activation
47	ZNF420	SNORD11	-0.314111032547871	1	inhibition
48	ZNF469	IFI44L	-0.345951317865291	1	inhibition
49	ZNF469	KCTD4	-0.833703486442835	1	inhibition
50	ZNF483	S1PR1	0.282760101166705	1	activation
51	ZNF496	ITPRIPL1	0.203165508751592	1	activation
52	ZNF507	ZNF213	0.0856001882469567	1	activation
53	ZNF507	CRYBG3	0.712253397173453	1	activation
54	ZNF507	TAS2R19	-0.312279775105766	1	inhibition
55	ZNF652	KCNG2	-0.0690070274683664	1	inhibition
56	ZNF652	ASPHD2	0.977767148970566	1	activation
57	ZNF75A	SNORD63	0.14269906721629	1	activation
