obs.x	obs.y	obs.tot	mean.x	mean.y	mean.diff	var.x	var.y	stderr	df	statistic	pvalue	conf.low	conf.high	alternative	mean.null	conf.level
MAR00078	23	7	30	2.6562273	2.6710204	-0.0147931133	5.781529e-04	6.565059e-05	0.0058750097	27.461938	-2.517973	0.0179260340	-2.683816e-02	-2.748070e-03	two.sided	0	0.95
MAR00156	23	7	30	8.0080389	8.0186507	-0.0106118187	2.555615e-04	2.834286e-05	0.0038936292	27.544074	-2.725431	0.0110294601	-1.859351e-02	-2.630129e-03	two.sided	0	0.95
MAR00167	23	7	30	8.0104481	8.0186507	-0.0082026356	1.445609e-04	2.834286e-05	0.0032146910	23.585634	-2.551609	0.0176427392	-1.484361e-02	-1.561666e-03	two.sided	0	0.95
MAR00180	23	7	30	8.0080389	8.0186507	-0.0106118187	2.555615e-04	2.834286e-05	0.0038936292	27.544074	-2.725431	0.0110294601	-1.859351e-02	-2.630129e-03	two.sided	0	0.95
MAR00217	23	7	30	2.2129877	2.2443007	-0.0313130053	1.877365e-03	5.925645e-04	0.0128948305	18.466752	-2.428338	0.0255825645	-5.835504e-02	-4.270970e-03	two.sided	0	0.95
MAR00225	23	7	30	3.1583030	3.1914608	-0.0331577809	2.134719e-03	1.744899e-04	0.0108508534	27.998898	-3.055776	0.0048912088	-5.538479e-02	-1.093078e-02	two.sided	0	0.95
MAR00226	23	7	30	2.2129877	2.2443007	-0.0313130053	1.877365e-03	5.925645e-04	0.0128948305	18.466752	-2.428338	0.0255825645	-5.835504e-02	-4.270970e-03	two.sided	0	0.95
MAR00313	23	7	30	2.2129877	2.2443007	-0.0313130053	1.877365e-03	5.925645e-04	0.0128948305	18.466752	-2.428338	0.0255825645	-5.835504e-02	-4.270970e-03	two.sided	0	0.95
MAR00349	23	7	30	2.2129877	2.2443007	-0.0313130053	1.877365e-03	5.925645e-04	0.0128948305	18.466752	-2.428338	0.0255825645	-5.835504e-02	-4.270970e-03	two.sided	0	0.95
MAR00353	23	7	30	2.2129877	2.2443007	-0.0313130053	1.877365e-03	5.925645e-04	0.0128948305	18.466752	-2.428338	0.0255825645	-5.835504e-02	-4.270970e-03	two.sided	0	0.95
MAR00361	23	7	30	2.2129877	2.2443007	-0.0313130053	1.877365e-03	5.925645e-04	0.0128948305	18.466752	-2.428338	0.0255825645	-5.835504e-02	-4.270970e-03	two.sided	0	0.95
MAR00397	23	7	30	2.2129877	2.2443007	-0.0313130053	1.877365e-03	5.925645e-04	0.0128948305	18.466752	-2.428338	0.0255825645	-5.835504e-02	-4.270970e-03	two.sided	0	0.95
MAR00401	23	7	30	2.2129877	2.2443007	-0.0313130053	1.877365e-03	5.925645e-04	0.0128948305	18.466752	-2.428338	0.0255825645	-5.835504e-02	-4.270970e-03	two.sided	0	0.95
MAR00405	23	7	30	2.2129877	2.2443007	-0.0313130053	1.877365e-03	5.925645e-04	0.0128948305	18.466752	-2.428338	0.0255825645	-5.835504e-02	-4.270970e-03	two.sided	0	0.95
MAR00409	23	7	30	2.2129877	2.2443007	-0.0313130053	1.877365e-03	5.925645e-04	0.0128948305	18.466752	-2.428338	0.0255825645	-5.835504e-02	-4.270970e-03	two.sided	0	0.95
MAR00568	23	7	30	8.7360231	8.7324554	 0.0035677444	3.640515e-05	1.407583e-06	0.0013356332	26.383530	 2.671201	0.0127806440	 8.242521e-04	 6.311237e-03	two.sided	0	0.95
MAR00583	23	7	30	8.2921422	8.2997116	-0.0075693890	1.273842e-04	2.631057e-06	0.0024319350	24.670752	-3.112496	0.0046460841	-1.258144e-02	-2.557334e-03	two.sided	0	0.95
