name	pvalue	mean.diff
MAR05990	0.0494585085	 0.0282235220
MAR06355	0.0372135985	 0.0502306168
MAR06524	0.0319767507	 0.0396742128
MAR06527	0.0432664398	 0.0392513032
MAR06646	0.0003175962	-0.1093014499
MAR06647	0.0003616359	-0.1965761087
MAR06650	0.0180697087	-0.1030951469
MAR06652	0.0180697087	-0.1030951469
MAR06659	0.0242474138	-0.0176311407
MAR06660	0.0180697087	-0.1030951469
MAR06661	0.0330932576	-0.2261154616
MAR06662	0.0003616359	-0.1965761087
MAR06672	0.0330932576	-0.2261154616
MAR06673	0.0003616359	-0.1965761087
MAR06674	0.0003616359	-0.1965761087
MAR06675	0.0003175962	-0.1093014499
MAR06676	0.0003616359	-0.1965761087
MAR06725	0.0300837267	-0.0524877183
MAR06969	0.0055049071	 0.0391343466
MAR07154	0.0444610662	 0.0304085107
MAR07190	0.0394279196	-0.0104750675
MAR07786	0.0394910187	 0.0106787020
MAR08022	0.0464121022	-0.0666669700
MAR08482	0.0260288647	 0.0727730539
MAR08676	0.0212247258	-0.0877113999
MAR08677	0.0212247258	-0.0877113999
MAR08698	0.0003175962	-0.1093014499
MAR08699	0.0003175962	-0.1093014499
MAR08958	0.0173476086	 0.0018089592
MAR08993	0.0173476086	 0.0018089592
MAR08994	0.0173476086	 0.0018089592
MAR09036	0.0332262210	-0.0171346601
MAR09076	0.0403257822	-0.0002351599
MAR09172	0.0240523434	-0.0074760329
MAR09242	0.0228892066	-0.0125693103
MAR09258	0.0286898201	-0.0071314198
MAR09283	0.0443176752	 0.0327652485
MAR09284	0.0343648449	 0.0329676544
MAR09404	0.0169181090	-0.0225492898
MAR09808	0.0113472937	-0.0104537101
MAR09809	0.0110184687	-0.0123315425
MAR09811	0.0176980796	-0.0095389779
MAR09815	0.0110184687	-0.0123315425
MAR09869	0.0038755317	 0.0910521987
MAR09872	0.0033538819	 0.0939879522
MAR09876	0.0009612562	 0.1214749795
MAR09887	0.0106226447	 0.0953789468
MAR09888	0.0110506819	 0.0347790688
MAR09891	0.0106226447	 0.0953789468
MAR09892	0.0106226447	 0.0953789468
MAR09895	0.0106226447	 0.0953789468
MAR09898	0.0116382754	 0.0954218283
MAR09904	0.0038755317	 0.0910521987
MAR09907	0.0116382754	 0.0954218283
MAR09908	0.0116382754	 0.0954218283
MAR09909	0.0106226447	 0.0953789468
MAR09912	0.0477652265	-0.0241545292
MAR09913	0.0462945573	-0.0233323756
MAR09914	0.0462945573	-0.0233323756
MAR09915	0.0462945573	-0.0233323756
MAR09916	0.0462945573	-0.0233323756
MAR09917	0.0462945573	-0.0233323756
MAR09918	0.0462945573	-0.0233323756
MAR09920	0.0192746128	-0.0108779510
MAR10001	0.0105980377	-0.0052458887
MAR10160	0.0055049071	 0.0391343466
MAR10200	0.0105980377	-0.0052458887
MAR10223	0.0055049071	 0.0391343466
MAR10240	0.0105980377	-0.0052458887
MAR10246	0.0412006568	-0.0036761948
MAR10264	0.0029987372	 0.0381806855
MAR10321	0.0105980377	-0.0052458887
MAR10339	0.0105980377	-0.0052458887
MAR10367	0.0462945573	-0.0233323756
MAR10390	0.0029987372	 0.0381806855
MAR10399	0.0105980377	-0.0052458887
MAR10400	0.0105980377	-0.0052458887
MAR10434	0.0023807401	-0.0082960509
MAR10442	0.0023807401	-0.0082960509
MAR10483	0.0002604684	-0.0302441677
MAR10492	0.0002604684	-0.0302441677
MAR11250	0.0477652265	-0.0241545292
MAR11270	0.0462945573	-0.0233323756
MAR11272	0.0462945573	-0.0233323756
MAR11274	0.0462945573	-0.0233323756
MAR11275	0.0462945573	-0.0233323756
MAR11276	0.0462945573	-0.0233323756
MAR11277	0.0462945573	-0.0233323756
MAR11292	0.0342887813	-0.0068407766
MAR11293	0.0342887813	-0.0068407766
