MAR08482	TXNRD2
MAR08482	TXNRD3
MAR08482	TXNRD1
MAR06969	ASPA
MAR06969	ACY3
MAR04596	AADAT
MAR04597	AADAT
MAR04683	ALDH3B1
MAR04683	ALDH3A1
MAR04683	ALDH3B2
MAR04683	ALDH1A3
MAR04686	ALDH3B1
MAR04686	ALDH3A1
MAR04686	ALDH3B2
MAR04686	ALDH1A3
MAR06725	GOT1
MAR06725	GOT2
MAR06725	TAT
MAR00156	ACSM3
MAR00156	ACSM2B
MAR00156	ACSM1
MAR00156	ACSM5
MAR00156	ACSM2A
MAR00156	ACSM4
MAR00180	ACSM3
MAR00180	ACSM2B
MAR00180	ACSM1
MAR00180	ACSM5
MAR00180	ACSM2A
MAR00180	ACSM4
MAR00217	ACSL4
MAR00217	ACSBG1
MAR00217	ACSL3
MAR00217	ACSBG2
MAR00217	SLC27A2
MAR00217	ACSL1
MAR00217	ACSL6
MAR00217	ACSL5
MAR00217	MEIKIN
MAR00226	ACSL4
MAR00226	ACSBG1
MAR00226	ACSL3
MAR00226	ACSBG2
MAR00226	SLC27A2
MAR00226	ACSL1
MAR00226	ACSL6
MAR00226	ACSL5
MAR00226	MEIKIN
MAR00313	ACSL4
MAR00313	ACSBG1
MAR00313	ACSL3
MAR00313	ACSBG2
MAR00313	SLC27A2
MAR00313	ACSL1
MAR00313	ACSL6
MAR00313	ACSL5
MAR00313	MEIKIN
MAR00349	ACSL4
MAR00349	ACSBG1
MAR00349	ACSL3
MAR00349	ACSBG2
MAR00349	SLC27A2
MAR00349	ACSL1
MAR00349	ACSL6
MAR00349	ACSL5
MAR00349	MEIKIN
MAR00353	ACSL4
MAR00353	ACSBG1
MAR00353	ACSL3
MAR00353	ACSBG2
MAR00353	SLC27A2
MAR00353	ACSL1
MAR00353	ACSL6
MAR00353	ACSL5
MAR00353	MEIKIN
MAR00361	ACSL4
MAR00361	ACSBG1
MAR00361	ACSL3
MAR00361	ACSBG2
MAR00361	SLC27A2
MAR00361	ACSL1
MAR00361	ACSL6
MAR00361	ACSL5
MAR00361	MEIKIN
MAR00397	ACSL4
MAR00397	ACSBG1
MAR00397	ACSL3
MAR00397	ACSBG2
MAR00397	SLC27A2
MAR00397	ACSL1
MAR00397	ACSL6
MAR00397	ACSL5
MAR00397	MEIKIN
MAR00401	ACSL4
MAR00401	ACSBG1
MAR00401	ACSL3
MAR00401	ACSBG2
MAR00401	SLC27A2
MAR00401	ACSL1
MAR00401	ACSL6
MAR00401	ACSL5
MAR00401	MEIKIN
MAR00405	ACSL4
MAR00405	ACSBG1
MAR00405	ACSL3
MAR00405	ACSBG2
MAR00405	SLC27A2
MAR00405	ACSL1
MAR00405	ACSL6
MAR00405	ACSL5
MAR00405	MEIKIN
MAR00409	ACSL4
MAR00409	ACSBG1
MAR00409	ACSL3
MAR00409	ACSBG2
MAR00409	SLC27A2
MAR00409	ACSL1
MAR00409	ACSL6
MAR00409	ACSL5
MAR00409	MEIKIN
MAR02949	ACSL4
MAR02949	ACSBG1
MAR02949	ACSL3
MAR02949	ACSBG2
MAR02949	SLC27A2
MAR02949	ACSL1
MAR02949	ACSL6
MAR02949	ACSL5
MAR02949	MEIKIN
MAR02952	ACSL4
MAR02952	ACSBG1
MAR02952	ACSL3
MAR02952	ACSBG2
MAR02952	SLC27A2
MAR02952	ACSL1
MAR02952	ACSL6
MAR02952	ACSL5
MAR02952	MEIKIN
MAR02973	ACSL4
MAR02973	ACSBG1
MAR02973	ACSL3
MAR02973	ACSBG2
MAR02973	SLC27A2
MAR02973	ACSL1
MAR02973	ACSL6
MAR02973	ACSL5
MAR02973	MEIKIN
MAR02981	ACSL4
MAR02981	ACSBG1
MAR02981	ACSL3
MAR02981	ACSBG2
MAR02981	SLC27A2
MAR02981	ACSL1
MAR02981	ACSL6
MAR02981	ACSL5
MAR02981	MEIKIN
MAR02982	ACSL4
MAR02982	ACSBG1
MAR02982	ACSL3
MAR02982	ACSBG2
MAR02982	SLC27A2
MAR02982	ACSL1
MAR02982	ACSL6
MAR02982	ACSL5
MAR02982	MEIKIN
MAR02984	ACSL4
MAR02984	ACSBG1
MAR02984	ACSL3
MAR02984	ACSBG2
MAR02984	SLC27A2
MAR02984	ACSL1
MAR02984	ACSL6
MAR02984	ACSL5
MAR02984	MEIKIN
MAR02991	ACSL4
MAR02991	ACSBG1
MAR02991	ACSL3
MAR02991	ACSBG2
MAR02991	SLC27A2
MAR02991	ACSL1
MAR02991	ACSL6
MAR02991	ACSL5
MAR02991	MEIKIN
