Regulator	Target	MI
FOXA1	SERPINB10	0.955508957622452
FOXA1	RTP3	0.8253132609580933
FOXA1	TP53I13	0.8253132609580933
FOXA1	GADL1	0.955508957622452
FOXA1	SLC38A10	1.0307567477609334
FOXA1	THUMPD3	0.8610842211802083
FOXA1	C8orf44	0.8318973801207781
FOXA1	PPOX	0.8734641445321514
FOXA1	C19orf22	1.0217278604945919
FOXA1	EVPL	0.8015321883327955
FOXA1	CNDP2	1.1482944544217084
FOXA1	PAPSS1	0.8610842211802079
FOXA1	FAM162B	0.8173862367496607
FOXA1	SGK494	0.9792900302477507
FOXA1	PSMD2	0.9219736122091531
FOXA1	MGAT3	1.0395113188699283
FOXA1	XIRP1	1.0307567477609334
FOXA1	ZBED2	0.7984690266234171
FOXA1	ME3	0.8808708037525519
FOXA1	TRIM6-TRIM34	0.8090961616168078
FOXA1	POTEG	0.955508957622452
FOXA1	ZNF341	0.8734641445321509
FOXA1	SNORD88C	0.8191566392551524
FOXA1	TMEM176B	0.9317278849971542
FOXA1	ECEL1	1.0172231221198516
FOXA1	EGOT	0.9317278849971538
FOXA1	PAGE2B	0.9219736122091535
FOXA1	LOC646813	0.8253132609580933
FOXA1	TMEM62	0.9555089576224525
FOXA1	ARPC4	0.9219736122091531
FOXA1	TDRD5	1.053843710210944
FOXA1	CIDECP	0.9317278849971538
FOXA1	NR0B2	0.9317278849971542
FOXA1	BCMO1	0.9555089576224525
FOXA1	SPATA16	0.955508957622452
FOXA1	FRMD7	1.0395113188699283
FOXA1	CEACAM5	1.0217278604945919
FOXA1	FAU	0.7984690266234171
FOXA1	LILRP2	0.8364021184955179
FOXA1	CES2	0.9317278849971538
FOXA1	PFKP	1.0395113188699283
FOXA1	SERINC5	0.8015321883327955
FOXA1	ERAS	1.0217278604945919
ATF2	SNORD9	1.053843710210944
ATF2	KLF12	0.9317278849971538
ATF2	RAB6C	0.8740533198964271
ATF2	ADPRHL2	0.801532188332795
ATF2	LRRC27	0.8007046414322327
ATF2	CYP4A11	0.9039352481933314
ATF2	MICAL3	0.8740533198964271
ATF2	KIAA1012	1.053843710210944
ATF2	AFF4	1.053843710210944
ATF2	FBXO11	1.053843710210944
ATF2	GSPT2	0.8007046414322327
ATF2	DPM2	0.8740533198964271
ATF2	PPP1CC	0.7984690266234171
ATF2	BTAF1	1.053843710210944
ATF2	NCEH1	0.8740533198964271
ATF2	VGF	1.053843710210944
ATF2	SLITRK1	0.8740533198964271
ATF2	FAM120B	1.053843710210944
ATF2	SPATS2L	1.0353133253669036
ATF2	VPS45	1.053843710210944
ATF2	RHEBL1	0.8734641445321514
CCNT2	TMEM41A	1.136329961246786
CCNT2	SLC35B1	1.136329961246786
CCNT2	LIPE	0.8808708037525519
CCNT2	HERC1	0.8367657094413086
CCNT2	CDC26	0.8191566392551524
CCNT2	TMEM89	1.2933698922458212
CCNT2	C6orf226	0.8808708037525519
CCNT2	FAM65C	0.8610842211802083
CCNT2	PTGFRN	0.9219736122091531
CCNT2	ATP6V1E1	0.94307719503928
CCNT2	PELO	0.9219736122091535
CCNT2	MEF2A	1.1482944544217084
CCNT2	DDX18	1.053843710210944
CCNT2	LOC149837	0.8734641445321509
CCNT2	UNC5B	1.1125488886214874
CCNT2	TINF2	0.8740533198964275
CCNT2	ACSL5	0.9219736122091535
CCNT2	TIMD4	1.1125488886214874
CCNT2	CSNK1E	0.8808708037525519
CCNT2	SEPP1	1.0307567477609334
CCNT2	CNBD1	1.051275519067704
CCNT2	ARMC3	1.1125488886214874
CCNT2	ACOT2	0.8045908832206972
CCNT2	ZNF711	1.0217278604945919
CCNT2	ALG10B	0.9219736122091535
CCNT2	ZNF155	1.3833698677432584
CCNT2	CTBP1	0.8808708037525519
CCNT2	FTLP10	0.8740533198964275
CCNT2	LPAR1	0.8131904766573737
CCNT2	MTMR8	0.9219736122091531
CCNT2	TGFA	1.1225349060388168
CCNT2	CIAO1	0.9219736122091531
CCNT2	ACTR3C	1.030756747760933
CCNT2	HIST1H3H	0.8610842211802083
CCNT2	ATG7	1.1225349060388168
CCNT2	RALGDS	1.053843710210944
CCNT2	ELANE	0.8610842211802083
CCNT2	TOE1	0.8610842211802083
