Regulator	Target	MI
CCNT2	COQ10A	1.053843710210944
CCNT2	TRAIP	1.0217278604945919
CCNT2	MED23	1.053843710210944
CCNT2	TMEM178	0.8872536528759039
CCNT2	BTD	0.955508957622452
CCNT2	DEPDC6	0.816843194256776
CCNT2	SCN4B	1.0395113188699283
CCNT2	ZNF433	1.0217278604945919
CCNT2	C15orf56	0.7984690266234171
CCNT2	ZNF793	1.053843710210944
CCNT2	SMARCD2	1.053843710210944
CCNT2	ATP5EP2	0.9219736122091535
CCNT2	RNF7	0.90915661475259
CCNT2	C9orf163	1.053843710210944
CCNT2	DHX34	1.053843710210944
CCNT2	psiTPTE22	0.8173862367496607
CCNT2	SMN1	1.0217278604945919
CCNT2	CBR4	0.90915661475259
CCNT2	CLASP1	1.053843710210944
CCNT2	ZBTB17	1.053843710210944
CCNT2	SNORD56B	1.053843710210944
CCNT2	SS18L1	0.816843194256776
CCNT2	WDR18	1.0395113188699283
CCNT2	SDHAP1	0.7984690266234171
CCNT2	ARID3A	1.0353133253669036
CCNT2	NEDD1	0.90915661475259
CCNT2	NECAP1	1.053843710210944
CCNT2	SNX19	0.9219736122091535
CCNT2	SP4	1.053843710210944
CCNT2	YPEL1	1.0217278604945919
CCNT2	PHF13	1.053843710210944
CCNT2	CORO7	1.030756747760933
CCNT2	QRICH2	1.053843710210944
CCNT2	DCP1A	1.053843710210944
CCNT2	GAPT	0.8734641445321514
SMARCB1	IPO13	0.9219736122091531
SMARCB1	TAS2R7	0.90915661475259
SMARCB1	KDM4B	0.9219736122091531
SMARCB1	VIPR1	1.030756747760933
SMARCB1	EBI3	0.8808708037525519
SMARCB1	ITGA2B	0.90915661475259
SMARCB1	MED8	0.8808708037525519
SMARCB1	FANCE	0.9219736122091531
SMARCB1	ABCA13	0.8734641445321514
SMARCB1	AGBL4	0.8734641445321514
SMARCB1	SDK1	1.030756747760933
SMARCB1	TMEM178	0.9219736122091535
SMARCB1	C11orf52	0.9219736122091535
SMARCB1	FAM134A	0.8740533198964275
SMARCB1	C14orf156	0.8101786141578553
SMARCB1	SERP1	0.8165586898490984
SMARCB1	PSMA1	0.8131904766573737
SMARCB1	RAB25	0.9219736122091531
SMARCB1	GLIPR2	0.9219736122091531
SMARCB1	PPDPF	0.8740533198964275
SMARCB1	PSME1	0.9219736122091531
SMARCB1	TMEM218	1.030756747760933
SPI1	LRRC14B	1.053843710210944
SPI1	PWWP2B	1.053843710210944
SPI1	GAGE8	1.3833698677432584
SPI1	LOC284578	1.053843710210944
SPI1	SPINT4	1.053843710210944
SPI1	FLJ12825	1.053843710210944
SPI1	OR4Q3	1.3833698677432584
SPI1	NBLA00301	1.053843710210944
SPI1	CRHBP	1.3833698677432584
SPI1	ISLR	1.053843710210944
SPI1	RAVER1	1.053843710210944
SPI1	NDST4	0.9555089576224525
SPI1	PWWP2A	1.053843710210944
SPI1	C14orf70	1.3833698677432584
SPI1	CXADR	1.053843710210944
SPI1	ESX1	1.053843710210944
SPI1	HDGFRP2	1.053843710210944
SPI1	OR4P4	1.053843710210944
SPI1	LOC284100	1.053843710210944
SPI1	ISL1	1.053843710210944
SPI1	SCO1	1.053843710210944
SPI1	SPINT1	1.053843710210944
SPI1	OPTC	1.053843710210944
SPI1	C14orf86	1.053843710210944
SPI1	LOC100128292	1.053843710210944
SPI1	LOC643719	1.053843710210944
SPI1	COL13A1	1.2658321610824834
SPI1	TPRG1L	1.053843710210944
SPI1	PLA2G5	1.053843710210944
SPI1	ADAM5P	1.053843710210944
SPI1	TEX28	1.053843710210944
SPI1	RHOT1	1.3833698677432584
SPI1	SCGB1D2	1.053843710210944
SPI1	KCNQ1OT1	1.3833698677432584
SPI1	SCGB1D4	1.053843710210944
SPI1	LOC146481	1.053843710210944
SPI1	A2BP1	1.053843710210944
SPI1	LOC100132354	1.053843710210944
SPI1	BTBD17	1.053843710210944
SPI1	TIPARP	1.053843710210944
SPI1	OR4N5	1.3833698677432584
SPI1	IL31RA	1.053843710210944
SPI1	OR4N2	1.3833698677432584
SPI1	NBPF22P	1.053843710210944
SPI1	DLX6AS	1.053843710210944
SPI1	SFTA2	1.053843710210944
SPI1	SFTA3	1.053843710210944
SPI1	LOC440173	1.3833698677432584
SPI1	DPYS	1.053843710210944
SPI1	CSDAP1	1.053843710210944
SPI1	LOC92973	1.053843710210944
SPI1	FRG2B	1.053843710210944
SPI1	HOXC13	1.3833698677432584
SPI1	FRG2C	1.053843710210944
SPI1	HOXC12	1.053843710210944
SPI1	ANXA8L2	1.053843710210944
SPI1	GGTLC1	1.053843710210944
SPI1	MMP27	1.053843710210944
SPI1	TCP11L2	1.3833698677432584
SPI1	TSPO	1.053843710210944
SPI1	POM121L1P	1.3833698677432584
SPI1	SULT1C4	1.053843710210944
SPI1	CHST9	1.3833698677432584
SPI1	ZNF483	1.053843710210944
SPI1	KCND2	1.3833698677432584
SPI1	OR7E91P	1.053843710210944
SPI1	TEX15	1.053843710210944
SPI1	WNT9A	0.9555089576224525
SPI1	DUSP9	1.053843710210944
SPI1	SLC39A14	1.053843710210944
SPI1	TEX19	1.053843710210944
SPI1	MMP11	1.3833698677432584
SPI1	SLC7A5	1.053843710210944
SPI1	TMEFF1	1.053843710210944
SPI1	MMP14	1.3833698677432584
SPI1	MMP13	1.053843710210944
SPI1	PLSCR5	1.053843710210944
SPI1	OR52A4	1.053843710210944
SPI1	PTRH1	1.053843710210944
SPI1	OR52A1	1.0307567477609334
SPI1	SOX2OT	1.053843710210944
SPI1	KRTAP25-1	1.053843710210944
SPI1	KCNA1	1.053843710210944
SPI1	WRB	1.053843710210944
SPI1	CRCT1	1.3833698677432584
SPI1	MYADML	0.9555089576224525
SPI1	KCNA4	1.053843710210944
SPI1	LOC285401	1.3833698677432584
SPI1	WNT8B	1.053843710210944
SPI1	KCNA7	1.3833698677432584
SPI1	LOC284551	1.053843710210944
SPI1	SLC7A1	1.053843710210944
SPI1	SLC7A2	1.3833698677432584
SPI1	OR4S2	1.3833698677432584
SPI1	OR4S1	1.3833698677432584
SPI1	LOC643763	1.053843710210944
SPI1	PABPC1P2	1.053843710210944
SPI1	AGR3	1.3833698677432584
SPI1	C4orf7	1.053843710210944
SPI1	MBD3	1.053843710210944
SPI1	LOC339788	1.053843710210944
SPI1	MBD4	1.053843710210944
SPI1	ODAM	1.3833698677432584
SPI1	KCNB2	1.3833698677432584
SPI1	MBD1	1.053843710210944
SPI1	BBOX1	1.053843710210944
SPI1	UNCX	1.053843710210944
SPI1	KIR3DL3	1.053843710210944
SPI1	LOC100130148	1.053843710210944
SPI1	LOC653545	1.053843710210944
SPI1	WT1	1.053843710210944
SPI1	LOC653544	1.3833698677432584
SPI1	OCM	1.3833698677432584
SPI1	ADAM21P1	1.053843710210944
SPI1	KCNG4	1.3833698677432584
SPI1	REG1B	1.053843710210944
SPI1	CASC2	1.3833698677432584
SPI1	MSI1	1.053843710210944
SPI1	FBXO24	1.3833698677432584
SPI1	IL1RAP	1.053843710210944
SPI1	C21orf15	1.053843710210944
SPI1	POTED	1.053843710210944
SPI1	SCXB	1.053843710210944
SPI1	POTEA	1.053843710210944
SPI1	POTEB	1.053843710210944
SPI1	IFNA14	1.3833698677432584
SPI1	KCNH5	1.053843710210944
SPI1	IFNA16	1.053843710210944
SPI1	LOC255167	1.3833698677432584
SPI1	FBXO16	1.053843710210944
SPI1	UGT2B15	0.9555089576224525
SPI1	CNPY2	1.053843710210944
SPI1	SDCBP2	1.053843710210944
SPI1	FKSG83	1.053843710210944
SPI1	OR4X1	1.053843710210944
SPI1	OR51T1	1.053843710210944
SPI1	LY6D	1.053843710210944
SPI1	SMS	1.053843710210944
SPI1	PKP1	1.3833698677432584
SPI1	ZNF436	0.9317278849971542
SPI1	LY6H	1.053843710210944
SPI1	FTL	1.053843710210944
SPI1	IFNA10	1.053843710210944
SPI1	GRIA1	1.3833698677432584
SPI1	SPATA9	1.3833698677432584
SPI1	GRIA2	1.053843710210944
SPI1	LCN9	1.053843710210944
SPI1	REG3A	1.053843710210944
SPI1	LOC285847	0.9555089576224525
SPI1	KCNE4	1.053843710210944
SPI1	DLX6	1.053843710210944
SPI1	REG3G	1.053843710210944
SPI1	SPATA4	1.053843710210944
SPI1	C6orf27	1.3833698677432584
SPI1	CYP2C18	1.053843710210944
SPI1	LIN7B	1.053843710210944
SPI1	OR51S1	1.3833698677432584
SPI1	SMYD2	1.053843710210944
SPI1	KRTAP4-3	1.053843710210944
