Regulator	Target	MI
CCNT2	C20orf141	0.9219736122091531
CCNT2	NDRG4	0.8253132609580933
CCNT2	USP37	1.0353133253669036
CCNT2	TMED3	0.9219736122091531
SMARCB1	TAS2R7	0.8734641445321514
SPI1	LRRC14B	1.053843710210944
SPI1	PWWP2B	1.053843710210944
SPI1	GAGE8	1.053843710210944
SPI1	LOC284578	1.3833698677432584
SPI1	SPINT4	1.3833698677432584
SPI1	FLJ12825	1.053843710210944
SPI1	ACCS	0.9555089576224525
SPI1	OR4Q3	1.3833698677432584
SPI1	NBLA00301	1.053843710210944
SPI1	CRHBP	1.3833698677432584
SPI1	ISLR	1.3833698677432584
SPI1	RAVER1	1.053843710210944
SPI1	PWWP2A	1.053843710210944
SPI1	C14orf70	1.053843710210944
SPI1	FAM19A4	1.053843710210944
SPI1	CXADR	1.053843710210944
SPI1	ESX1	1.3833698677432584
SPI1	HDGFRP2	1.053843710210944
SPI1	OR4P4	1.053843710210944
SPI1	ISL1	1.3833698677432584
SPI1	SCO1	1.053843710210944
SPI1	SPINT1	1.053843710210944
SPI1	OPTC	1.053843710210944
SPI1	C14orf86	1.3833698677432584
SPI1	LOC100128292	1.053843710210944
SPI1	LOC643719	1.053843710210944
SPI1	TPRG1L	1.053843710210944
SPI1	PLA2G5	1.3833698677432584
SPI1	ADAM5P	1.3833698677432584
SPI1	RHOT1	1.053843710210944
SPI1	SCGB1D2	1.3833698677432584
SPI1	KCNQ1OT1	1.053843710210944
SPI1	SCGB1D4	1.053843710210944
SPI1	LOC146481	1.3833698677432584
SPI1	A2BP1	1.053843710210944
SPI1	LOC100132354	1.3833698677432584
SPI1	BTBD17	1.053843710210944
SPI1	TIPARP	1.053843710210944
SPI1	OR4N5	1.3833698677432584
SPI1	IL31RA	1.053843710210944
SPI1	OR4N2	1.3833698677432584
SPI1	NBPF22P	1.053843710210944
SPI1	DLX6AS	1.053843710210944
SPI1	SFTA2	1.3833698677432584
SPI1	SFTA3	1.053843710210944
SPI1	LOC440173	1.053843710210944
SPI1	CSDAP1	1.053843710210944
SPI1	LOC92973	1.053843710210944
SPI1	FRG2B	1.053843710210944
SPI1	HOXC13	1.053843710210944
SPI1	FRG2C	1.053843710210944
SPI1	HOXC12	1.053843710210944
SPI1	ANXA8L2	1.053843710210944
SPI1	MMP21	1.053843710210944
SPI1	GGTLC1	1.053843710210944
SPI1	MMP27	1.053843710210944
SPI1	TCP11L2	1.3833698677432584
SPI1	TSPO	1.3833698677432584
SPI1	POM121L1P	1.053843710210944
SPI1	CHST9	1.053843710210944
SPI1	ZNF483	1.053843710210944
SPI1	KCND2	1.053843710210944
SPI1	OR7E91P	1.053843710210944
SPI1	TEX15	1.3833698677432584
SPI1	SLC39A14	1.053843710210944
SPI1	TEX19	1.053843710210944
SPI1	MMP11	1.3833698677432584
SPI1	SLC7A5	1.053843710210944
SPI1	TMEFF1	1.053843710210944
SPI1	MMP14	1.053843710210944
SPI1	MMP13	1.053843710210944
SPI1	PLSCR5	1.3833698677432584
SPI1	OR52A4	1.3833698677432584
SPI1	PTRH1	1.053843710210944
SPI1	GHRLOS	1.053843710210944
SPI1	KRTAP25-1	1.053843710210944
SPI1	KCNA1	1.3833698677432584
SPI1	WRB	1.053843710210944
SPI1	CRCT1	1.053843710210944
SPI1	KCNA4	1.053843710210944
SPI1	LOC285401	1.3833698677432584
SPI1	WNT8B	1.053843710210944
SPI1	KCNA7	1.053843710210944
SPI1	SLC7A1	1.3833698677432584
SPI1	SLC7A2	1.3833698677432584
SPI1	OR4S2	1.3833698677432584
SPI1	OR4S1	1.053843710210944
SPI1	LOC643763	1.3833698677432584
SPI1	PABPC1P2	1.053843710210944
SPI1	NRAP	0.8191566392551524
SPI1	AGR3	1.053843710210944
SPI1	C4orf7	1.053843710210944
SPI1	MBD3	1.053843710210944
