"","x"
"1","C12orf48"
"2","GPA33"
"3","ANKS4B"
"4","ZNF75A"
"5","C15orf29"
"6","C5orf54"
"7","BICC1"
"8","PDCD10"
"9","C20orf194"
"10","ALMS1"
"11","TAS2R50"
"12","USP6NL"
"13","KAL1"
"14","GPR55"
"15","C1orf182"
"16","PFN4"
"17","C1orf84"
"18","AGPHD1"
"19","ASPG"
"20","NOS2"
"21","FOXH1"
"22","C6orf167"
"23","CATSPER4"
"24","SYDE2"
"25","KIF26B"
"26","PPAPDC3"
"27","TMEM200B"
"28","DLGAP2"
"29","NCRNA00219"
"30","SNORD87"
"31","CLUAP1"
"32","LOC100130691"
"33","LIME1"
"34","LOC442308"
"35","FZD3"
"36","DNAJC2"
"37","ADPRHL2"
"38","C6orf182"
"39","DNAH5"
"40","PAX4"
"41","PRR15"
"42","KIF17"
"43","LOC100133991"
"44","A2M"
"45","HSPA4"
"46","SIGLEC5"
"47","MBOAT4"
"48","HIST1H4G"
"49","TGS1"
"50","IGFL4"
"51","UCHL5"
"52","SIX3"
"53","MAPK11"
"54","PLCE1"
"55","LY86"
"56","PTPRQ"
"57","MOCOS"
"58","APCS"
"59","SERTAD1"
"60","SERPIND1"
"61","ELAVL3"
"62","GATSL2"
"63","PCDHA11"
"64","C9orf57"
"65","MDP1"
"66","ALDOB"
"67","GLYATL2"
"68","MMP20"
"69","RNF213"
"70","ADRA2C"
"71","FAM81B"
"72","BCL2L1"
"73","PDE7B"
"74","RPS18"
"75","HIST2H2AA3"
"76","SNORD4A"
"77","LMOD3"
"78","PNMAL2"
"79","BEND7"
"80","CHGB"
"81","CCL24"
"82","SNORD63"
"83","LOC401010"
"84","SLC10A5"
"85","C1orf59"
"86","C4BPB"
"87","ZFP30"
"88","IQCK"
"89","PRPF18"
"90","ACY3"
"91","CALB2"
"92","NAALADL1"
"93","POTEE"
"94","ELN"
"95","TPM2"
"96","C17orf78"
"97","ACER2"
"98","LOC150786"
"99","PCYT2"
"100","ANG"
"101","KCNIP1"
"102","DMRTC2"
"103","LAMC2"
"104","LMAN1"
"105","SLC12A6"
"106","CEACAM5"
"107","C21orf63"
"108","AGR2"
"109","PAGE2B"
"110","LOC643387"
"111","SNORA38B"
"112","BHMT2"
"113","RELA"
"114","TPPP2"
"115","DRP2"
"116","NR2E1"
"117","CLIP3"
"118","ANP32D"
"119","ARTN"
"120","CADM4"
"121","CACNA2D1"
"122","AFF3"
"123","RGS19"
"124","C1orf92"
"125","WNT3"
"126","IFNA2"
"127","LOC728743"
"128","ID4"
"129","CYP17A1"
"130","PIP4K2A"
"131","LYPD4"
"132","PCDHGC5"
"133","CDC42BPB"
"134","MFSD6"
"135","FLJ33630"
"136","CCDC84"
"137","TEAD1"
"138","CLDN22"
"139","GALNT2"
"140","FUT2"
"141","ATP8B5P"
"142","ASPHD2"
"143","SMO"
"144","FAM36A"
"145","HIST2H3C"
"146","RGPD8"
"147","RIMBP3C"
"148","MADCAM1"
"149","C9orf156"
"150","FRMD6"
"151","ETV3"
"152","ASCL3"
"153","CLECL1"
"154","ID2"
"155","GTF2IRD2B"
"156","GPX8"
"157","ADAM22"
"158","BAGE"
"159","BEX1"
"160","WDR75"
"161","KCNG1"
"162","NLGN1"
"163","LAMC1"
"164","OR5K2"
"165","PVRL4"
"166","B3GAT2"
"167","SNORD68"
"168","MMP16"
"169","MST1"
"170","FZD10"
"171","ALDH1A1"
"172","C8orf83"
"173","FAM89A"
"174","TESK2"
"175","ROR2"
"176","SH2D1B"
"177","GDAP2"
"178","SNORD115-37"
"179","EFCAB4A"
"180","MAB21L1"
"181","ZNF705D"
"182","GNAI1"
"183","NTN3"
"184","VAPB"
"185","TUSC5"
"186","PALMD"
"187","SULT4A1"
"188","MKRN3"
"189","KCNMB2"
"190","GPR82"
"191","MASP1"
"192","RXFP2"
"193","CDC20"
"194","MTUS2"
"195","SETBP1"
