*Intra   
#level node node weight
1 LINC00337 PLEKHG5 1
1 ACOT7 PLEKHG5 1
1 RP1-202O8.3 PLEKHG5 1
1 PLEKHG5 1183 1
1 PLEKHG5 1188 1
1 PLEKHG5 1219 1
1 PLEKHG5 1220 1
1 PLEKHG5 1221 1
1 PLEKHG5 1236 1
1 PLEKHG5 1238 1
1 PLEKHG5 1239 1
1 PLEKHG5 1240 1
1 PLEKHG5 1241 1
1 PLEKHG5 1242 1
1 PLEKHG5 1244 1
1 PLEKHG5 1245 1
1 PLEKHG5 1246 1
1 PLEKHG5 1247 1
1 PLEKHG5 1248 1
1 PLEKHG5 1250 1
1 NOL9 PLEKHG5 1
1 RNU6-731P PLEKHG5 1
1 RP11-58A11.2 PLEKHG5 1
1 ZBTB48 PLEKHG5 1
1 THAP3 PLEKHG5 1
1 PLA2G2E PLA2G2F 1
1 PLA2G2A PLA2G2F 1
1 PLA2G2F RNU1-8P 1
1 PLA2G2F 4267 1
1 PLA2G2F 4273 1
1 PLA2G2F 4275 1
1 PLA2G2F PLA2G2E 1
1 PLA2G2F 4277 1
1 PLA2G2F 4278 1
1 PLA2G2F 4279 1
1 PLA2G2F 4280 1
1 PLA2G2F 4281 1
1 PLA2G2F 4284 1
1 PLA2G2F 4286 1
1 PLA2G2F 4287 1
1 PLA2G2F PLA2G2A 1
1 PLA2G2F 4289 1
1 PLA2G2F 4290 1
1 PLA2G2F 4329 1
1 PLA2G2F RP3-340N1.2 1
1 PLA2G2F 4338 1
1 PLA2G2F CAMK2N1 1
1 RP3-340N1.2 PLA2G2F 1
1 UBXN10-AS1 PLA2G2F 1
1 UBXN10 PLA2G2F 1
1 KIF17 4425 1
1 KIF17 4437 1
1 KIF17 4583 1
1 KIF17 4586 1
1 KIF17 4587 1
1 KIF17 4589 1
1 KIF17 4607 1
1 AL031005.1 KIF17 1
1 EIF4G3 KIF17 1
1 ECE1 KIF17 1
1 RP5-1071N3.1 KIF17 1
1 USP48 KIF17 1
1 CDC42 KIF17 1
1 LYPLA2 5071 1
1 LYPLA2 5073 1
1 LYPLA2 5184 1
1 LYPLA2 5185 1
1 LYPLA2 5188 1
1 LYPLA2 5190 1
1 LYPLA2 5192 1
1 LYPLA2 5193 1
1 LYPLA2 5194 1
1 LYPLA2 5195 1
1 LYPLA2 CNR2 1
1 LYPLA2 PNRC2 1
1 LYPLA2 5200 1
1 LYPLA2 5201 1
1 LYPLA2 5203 1
1 LYPLA2 5204 1
1 LYPLA2 5211 1
1 RN7SL24P LYPLA2 1
1 snoU13 LYPLA2 1
1 CATSPER4 EXTL1 1
1 CATSPER4 SLC30A2 1
1 CATSPER4 TRIM63 1
1 CATSPER4 CEP85 1
1 CATSPER4 CD52 1
1 CATSPER4 UBXN11 1
1 CATSPER4 AIM1L 1
1 CATSPER4 ZNF683 1
1 CATSPER4 LIN28A 1
1 CATSPER4 DHDDS 1
1 CATSPER4 RP3-476K8.3 1
1 CATSPER4 HMGN2 1
1 FAM46B 5882 1
1 FAM46B 5937 1
1 FAM46B 5939 1
1 FAM46B 5941 1
1 RNU6ATAC27P TMEM200B 1
1 SNHG12 TMEM200B 1
1 EPB41 TMEM200B 1
1 TMEM200B 6157 1
1 TMEM200B 6205 1
1 TMEM200B 6223 1
1 TMEM200B 6296 1
1 TMEM200B 6297 1
1 TMEM200B 6299 1
1 PUM1 TMEM200B 1
1 SNORD103A TMEM200B 1
1 COL16A1 6852 1
1 COL16A1 6854 1
1 COL16A1 6855 1
1 COL16A1 6856 1
1 COL16A1 6857 1
1 COL16A1 6862 1
1 COL16A1 6863 1
