nodeID nodeLabel DNA_methylation_logFC DNA_methylation_P.Value GRN_logFC GRN_P.Value GRN_eigenvalue GRN_Page_Rank GRN_size GRN_nes GRN_pval fPPI_Mutations_of_interest_vs_Group_control_diff fPPI_Mutations_of_interest_vs_Group_control_p.val Metabo_mean.diff Metabo_pvalue
56 frag_10249 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
57 frag_10250 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
58 frag_10252 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
59 frag_10253 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
60 frag_10254 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
61 frag_10255 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
62 frag_10256 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
63 frag_10257 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
64 frag_10258 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
65 frag_10260 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
66 frag_10261 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
67 frag_10262 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
68 frag_10263 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
69 frag_10264 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
70 frag_10265 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
71 frag_102654 -0.426662860146991 8.37881699498043e-09 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
72 frag_10266 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
73 frag_102864 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
74 frag_102999 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
75 frag_103000 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
76 frag_103005 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
77 frag_103007 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
78 frag_103008 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
79 frag_103009 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
80 frag_103010 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
81 frag_103011 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
82 frag_103012 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
83 frag_103014 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
84 frag_103015 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
85 frag_103016 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
86 frag_103017 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
87 frag_103018 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
88 frag_103019 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
89 frag_103021 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
90 frag_103022 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
91 frag_103023 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
92 frag_103024 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
93 frag_103025 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
94 frag_103026 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
95 frag_103027 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
96 frag_103028 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
97 frag_103029 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
98 frag_103030 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
99 frag_103031 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
100 frag_103032 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
101 frag_103034 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
102 frag_103036 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
103 frag_103037 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
104 frag_103038 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
105 frag_103039 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
106 frag_103041 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
107 frag_103043 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
108 frag_103044 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
109 frag_103045 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
110 frag_103046 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
111 frag_103047 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
112 frag_103048 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
113 frag_103049 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
114 frag_103050 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
115 frag_103051 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
116 frag_103052 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
117 frag_103054 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
118 frag_103055 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
119 frag_103056 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
120 frag_103058 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
121 frag_103059 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
122 frag_103060 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
123 frag_103061 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
124 frag_103062 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
125 frag_103063 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
126 frag_103064 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
127 frag_103065 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
128 frag_103066 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
129 frag_103067 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
130 frag_103068 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
131 frag_103069 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
132 frag_103070 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
133 frag_103071 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
134 frag_103072 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
135 frag_103074 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
136 frag_103075 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
137 frag_103076 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
138 frag_103077 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
139 frag_103078 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
140 frag_103079 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
141 frag_103080 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
142 frag_103082 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
143 frag_103083 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
144 frag_103098 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
145 frag_103110 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
146 frag_103111 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
147 frag_103112 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
148 frag_103113 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
149 frag_103114 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
150 frag_103115 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
151 frag_103116 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
152 frag_103117 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
153 frag_103122 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
154 frag_103225 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
155 frag_103226 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
156 frag_103227 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
157 frag_103229 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
158 frag_103233 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
159 frag_103234 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
160 frag_103236 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
161 frag_103238 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
162 frag_103254 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
163 frag_103283 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
164 frag_103589 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
165 frag_103609 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
166 frag_103611 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
167 frag_103612 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
168 frag_103700 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
169 frag_103701 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
170 frag_103702 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
171 frag_103704 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
172 frag_103705 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
173 frag_103706 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
174 frag_103707 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
175 frag_103708 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
176 frag_103709 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
177 frag_103710 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
178 frag_103711 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
179 frag_103712 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
180 frag_103713 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
181 frag_103714 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
182 frag_103715 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
183 frag_103716 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
184 frag_103719 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
185 frag_103723 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
186 frag_103726 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
187 frag_103727 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
188 frag_103729 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
189 frag_103731 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
190 frag_103732 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
191 frag_103733 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
192 frag_103737 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
193 frag_103738 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
194 frag_103750 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
195 frag_103754 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
196 frag_103757 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
197 frag_103805 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
198 frag_103806 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
