nodeID nodeLabel DNA_methylation_logFC DNA_methylation_P.Value GRN_logFC GRN_P.Value GRN_eigenvalue GRN_Page_Rank GRN_size GRN_nes GRN_pval fPPI_Mutations_of_interest_vs_Group_control_diff fPPI_Mutations_of_interest_vs_Group_control_p.val Metabo_mean.diff Metabo_pvalue
1 (11Z,14Z)-eicosadienoic,acid[e] 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
2 (5Z,8Z,11Z,14Z,17Z)-eicosapentaenoyl-CoA[c] 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
3 (5Z,8Z,11Z,14Z,17Z)-eicosapentaenoyl-CoA[r] 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
4 (5Z,8Z,11Z,14Z,17Z)-eicosapentaenoylcarnitine[c] 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
5 (5Z,8Z,11Z,14Z,17Z)-eicosapentaenoylcarnitine[r] 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
6 (6Z,9Z,12Z,15Z)-octadecatetraenoyl-CoA[c] 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
7 (6Z,9Z,12Z,15Z)-octadecatetraenoyl-CoA[r] 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
8 (6Z,9Z,12Z,15Z)-octadecatetraenoylcarnitine[c] 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
9 (6Z,9Z,12Z,15Z)-octadecatetraenoylcarnitine[r] 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
10 (6Z,9Z)-octadecadienoic,acid[e] 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
11 (6Z,9Z)-octadecadienoylcarnitine[c] 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
12 (6Z,9Z)-octadecadienoylcarnitine[e] 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
13 (9E)-tetradecenoic,acid[e] 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
14 1-alkyl-2-lysoglycerol-3-phosphocholine[e] 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
15 1-organyl-2-lyso-sn-glycero-3-phosphocholine[e] 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
16 frag_102654 -0.426662860146991 8.37881699498043e-09 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
17 frag_107025 -0.246154146691912 1.55847734932215e-05 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
18 frag_111845 0.226434619249631 2.75299833936513e-05 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
19 frag_111942 -0.155737483195742 1.05214287239364e-05 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
20 frag_112004 0.214076802476705 2.12613713991537e-05 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
21 frag_112225 -0.268075759048462 8.96624855444692e-06 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
