nodeID	nodeLabel	DNA_methylation_logFC	DNA_methylation_P.Value	GRN_logFC	GRN_P.Value	GRN_eigenvalue	GRN_Page_Rank	GRN_size	GRN_nes	GRN_pval	fPPI_Mutations_of_interest_vs_Group_control_diff	fPPI_Mutations_of_interest_vs_Group_control_p.val	Metabo_mean.diff	Metabo_pvalue	eigen_pchic
16	frag_10075	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	0.000517161553651119
17	frag_10076	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	0.00051716155365112
18	frag_10086	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	0.000517161553651119
19	frag_10088	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	0.000517161553651119
20	frag_10089	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	0.000517161553651118
21	frag_10091	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	0.000517161553651119
22	frag_10093	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	0.000517161553651119
23	frag_10097	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	0.000517161553651119
24	frag_10099	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	0.000517161553651119
25	frag_10100	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	0.000517161553651119
26	frag_10102	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	0.000517161553651119
27	frag_10103	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	0.00051716155365112
28	frag_10105	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	0.000517161553651119
29	frag_10106	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	0.00051716155365112
30	frag_10108	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	0.000517161553651119
31	frag_10110	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	0.000517161553651119
32	frag_10111	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	0.000517161553651119
33	frag_10120	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	0.000517161553651119
34	frag_10123	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	0.000517161553651119
35	frag_10125	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	0.00051716155365112
36	frag_10127	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	0.000517161553651119
37	frag_10129	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	0.000517161553651118
38	frag_10130	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	0.000517161553651119
39	frag_10153	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	0.000517161553651119
40	frag_10155	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	0.00051716155365112
41	frag_10157	0	1	0	1	-0,01045008435012	-10,0111331994152	0	0	1	0	1	0	1	0.000517161553651118
