ID	logFC	AveExpr	t	P.Value	adj.P.Val	B	eigenvalue	Page_Rank	degree	closenessness	betweenness	size	nes	pval	pval.fdr
1	A2M	2.3629345968789	-2.39995124570396	3.35459126245183	0.0015596606250466	0.47596169021951	-1.37591227335413	-11.7680405266179	-7.76961674040889	8	3.46536368991926e-05	31839.3541227816	0	0	1	1
2	A4GALT	-2.8611239475696	-0.621247374372882	-2.04464154333506	0.0463956928885186	0.857199360511922	-3.77527123738289	-9.69909903569373	-7.20423012055461	21	3.46080636788372e-05	102192.418022607	15	-0.709646518333174	0.477923364936994	0.997721700557707
3	AAAS	0.0229220552674532	6.47237238369315	0.105866363399572	0.916129617130247	0.989696454036746	-5.38414081250254	-10.406505213574	-8.71758450390483	3	3.48857491714635e-05	9531.04732025462	91	0.282360414286564	0.777667165332009	0.997721700557707
4	AANAT	-0.875560087615523	-2.36785987673755	-1.32038158370521	0.192969806797394	0.945241499105275	-4.69591899571359	-15.8170529162947	-8.89830008797764	3	2.87637346833113e-05	0	12	1.25080737793336	0.211004762460333	0.997721700557707
5	AASDHPPT	0.32415520885333	4.51715914767237	1.48325541252747	0.144543926356171	0.945241499105275	-4.51930725761558	-19.7658826900293	-8.90216139836854	2	2.41178882377059e-05	0	10	0.551153180511934	0.581528672188778	0.997721700557707
6	AATK	-1.44592570218519	2.31637226814464	-2.9662763374349	0.00468683315450547	0.579547193293248	-2.16668058198196	-13.1023404329659	-9.60345687443322	1	3.28482738232106e-05	0	0	0	1	1
7	ABCA1	0.561372762026664	-6.01832887003148	0.822148184686106	0.415058312106698	0.945241499105275	-5.11654769096897	-15.2735604189942	-9.5232916866799	1	2.84989597879677e-05	0	0	0	1	1
8	ABCA3	-0.393478881092094	4.43670858374783	-0.959742202372224	0.341995066553255	0.945241499105275	-5.01895860226599	-14.911286895397	-9.1144631791384	2	2.88975581563358e-05	0	0	0	1	1
9	ABCA4	0.726617056687653	-3.43721351981327	0.849556848974379	0.399789404712758	0.945241499105275	-5.09826504217325	-13.9312844364314	-9.57635241951656	1	2.97760838494521e-05	0	0	0	1	1
10	ABCA7	-0.67080798713576	7.11243187745742	-2.99532594416259	0.00432720684935586	0.57646188006978	-2.10951162578036	-39.3891406735826	-8.51721529646736	3	0.0217391304347826	81	16	-1.08295718067494	0.278827429461334	0.997721700557707
11	ABCC3	-1.01954021438024	1.58989619503423	-0.921804044195091	0.361241400016795	0.945241499105275	-5.04731022015074	-13.8359711463635	-9.54807051221277	1	3.23143540360628e-05	0	8	0.63607760348952	0.524725842428755	0.997721700557707
12	ABCC8	-1.8040114708505	-5.2874649972783	-1.98252321556143	0.0531607918571382	0.875094035916376	-3.86733998589443	-11.6607290248588	-8.40506749177003	5	3.09655044280671e-05	7642.59616147878	0	0	1	1
13	ABCG1	0.0833293460003741	4.53177863601846	0.204483008133335	0.838840733188026	0.975834104718457	-5.37172220317034	-11.9263797672686	-8.69833519094483	3	2.9940119760479e-05	1209.03991680937	22	0.0280616564241914	0.97761297576199	0.999559670321085
14	ABCG2	-1.48296705791025	1.84532819970108	-1.71127000147223	0.0934875838381973	0.940746830816311	-4.24158188566501	-23.2018029921513	-7.87291554809536	6	2.08016974185093e-05	14819.8076664994	0	0	1	1
15	ABHD12	-0.146289699826939	5.30952963779569	-0.641740570547594	0.524094837805238	0.945241499105275	-5.22233316931823	-13.1337308938721	-9.25274351193634	2	2.82398124876451e-05	0	9	-0.713222959693355	0.475707801016417	0.997721700557707
16	ABHD13	-0.858231578146324	1.74104009781817	-1.08893172860854	0.281621588004956	0.945241499105275	-4.91427271518363	-19.4054270969815	-9.36187564374623	1	2.30139003958391e-05	0	0	0	1	1
17	ABHD4	-0.000541814346496139	3.70455394803834	-0.00193218022023311	0.998466352895327	0.999963755944801	-5.38868934115256	-13.133730893872	-9.25274351193634	2	2.82398124876451e-05	0	9	0.645539453789506	0.518577659253116	0.997721700557707
18	ABHD5	-0.501506091973719	5.14922517088163	-1.3601059788169	0.180150904549751	0.945241499105275	-4.65456097377729	-10.5737700880021	-9.4650391139282	1	3.39293590744071e-05	0	0	0	1	1
19	ABHD6	0.0877519753545013	1.36821008812365	0.232068914012773	0.817471160749508	0.973083877023931	-5.3668383482552	-13.133730893872	-9.25274351193634	2	2.82398124876451e-05	0	11	0.0890978872550909	0.9290041164447	0.997721700557707
20	ABLIM2	0.954626512655885	-1.97813553440833	1.00619626369327	0.319367174519008	0.945241499105275	-4.98275863163922	-13.5926634619896	-9.15103829581983	2	3.05623471882641e-05	435.578931937962	4	-1.86071210828933	0.0627848430219492	0.997721700557707
21	ABTB1	-0.405486009407272	6.28834595319905	-1.12881574726628	0.264586270139395	0.945241499105275	-4.87943800658353	-39.7070327370703	-8.3799628073451	2	0.166666666666667	4	4	-0.607647440487659	0.543421329358058	0.997721700557707
22	ACACA	0.283215589249487	6.86535765414656	1.00977191367106	0.317668310795907	0.945241499105275	-4.97990481830531	-12.0350074614703	-9.50860501553126	1	3.26413369891631e-05	0	0	0	1	1
23	ACACB	0.144723148060485	5.0213726582332	0.401356845644329	0.689938865191937	0.95361326326451	-5.32341608465655	-12.03500746147	-9.50860501553126	1	3.26413369891631e-05	0	0	0	1	1
24	ACAD10	0.208902017244428	4.99965943658376	1.05374084132046	0.297277595843031	0.945241499105275	-4.9440278152648	-17.025251414894	-9.25987596721372	1	2.26065332881203e-05	0	0	0	1	1
