ID	logFC	AveExpr	t	P.Value	adj.P.Val	B	eigenvalue	Page_Rank	degree	closenessness	betweenness	size	nes	pval	pval.fdr
15	AASS	-0.697008736904459	2.66426674301662	-0.595159987891718	0.554532424807072	0.945241499105275	-5.2455039263628	-8.44912532455662	-9.7829803987541	9	1.76313979935469e-05	6294.90367485369	5	-0.000498618169522003	0.999602160277288	0.999801835668432
16	AATF	0.0655826991422996	6.2865199707308	0.39144801697462	0.697198645192594	0.95361326326451	-5.32659324313041	-12.5162221653962	-10.061958298961	6	1.85401486919925e-05	8930.04148244967	0	0	1	1
17	AATK	-1.44592570218519	2.31637226814464	-2.9662763374349	0.00468683315450547	0.579547193293248	-2.16668058198196	-12.8286614910604	-11.0432680436821	1	1.8671346950969e-05	0	0	0	1	1
18	ABAT	0.484494091056593	3.92019858606654	1.88115427796194	0.0660244237940035	0.906851180870868	-4.01257468113165	-6.94907679585548	-7.95194158298318	78	2.02097774903498e-05	107234.361115801	56	1.21435764570337	0.224611181592534	0.997721700557707
19	ABCA1	0.561372762026664	-6.01832887003148	0.822148184686106	0.415058312106698	0.945241499105275	-5.11654769096897	-8.65717889927054	-10.0330198797566	6	1.87202815530346e-05	11616.4607224405	0	0	1	1
20	ABCA12	0.311919190570706	1.03841157941754	0.720969592645976	0.474425506651931	0.945241499105275	-5.17900274219067	-19.7889432129072	-10.6877129760796	1	1.3594159948886e-05	0	0	0	1	1
21	ABCA3	-0.393478881092094	4.43670858374783	-0.959742202372224	0.341995066553255	0.945241499105275	-5.01895860226599	-15.1404473243014	-9.66084298613139	9	1.69290672083968e-05	9207.99878050515	0	0	1	1
22	ABCA4	0.726617056687653	-3.43721351981327	0.849556848974379	0.399789404712758	0.945241499105275	-5.09826504217325	-15.8024531968621	-10.2132925509351	5	1.58368174331686e-05	1940.89975363581	0	0	1	1
23	ABCA5	-0.167131828623039	3.35413720229336	-0.210201068289185	0.83440055219032	0.975834104718457	-5.37076046171291	-22.1881427412953	-10.655754886705	1	1.29269112438274e-05	0	0	0	1	1
24	ABCA7	-0.67080798713576	7.11243187745742	-2.99532594416259	0.00432720684935586	0.57646188006978	-2.10951162578036	-15.2280950703806	-8.83650118614575	20	1.80261378999549e-05	59567.9113772086	16	-1.08295718067494	0.278827429461334	0.997721700557707
25	ABCB1	1.09315565253217	-3.95652782056667	1.10378920038403	0.275187970820184	0.945241499105275	-4.90143383033414	-18.7888967238557	-10.8334712722602	1	1.29052240346892e-05	0	0	0	1	1
26	ABCB10	-0.864122526037716	5.74625064349487	-1.44280823192951	0.155569383533924	0.945241499105275	-4.56489384027471	-14.7706892061269	-10.9023870046389	1	1.37477831699638e-05	0	0	0	1	1
27	ABCB4	0.0863693416122407	1.45565385408097	0.176270363171333	0.860823213257158	0.979563151703286	-5.37607984199428	-12.172920571964	-10.7492788912998	2	1.75309421128291e-05	0	0	0	1	1
28	ABCB5	-0.022158912325958	-4.12814837526126	-0.0173325020358862	0.986243208803367	0.997297795509218	-5.38856887897363	-16.2675146378461	-11.0243669295901	1	1.63985503681475e-05	0	0	0	1	1
29	ABCB6	-0.583679426667771	3.66007555544434	-1.00417612704723	0.320329688536022	0.945241499105275	-4.984366699842	-18.0755807593011	-10.5788790058588	1	1.34015921091426e-05	0	0	0	1	1
30	ABCB7	0.101760292330308	6.04697552711739	0.525963560950519	0.601335492814229	0.945241499105275	-5.27675535355878	-8.9994402895153	-9.45413375639328	17	1.82828726049437e-05	5321.25544442639	0	0	1	1
31	ABCB9	-0.297503809359594	0.947044735091756	-0.644343687718212	0.522420271119638	0.945241499105275	-5.22098782409943	-17.7619246110439	-10.4288907600197	1	1.22700892035485e-05	0	0	0	1	1
32	ABCC1	-1.23357417160665	-1.64513522985055	-0.763602960980221	0.44884135956537	0.945241499105275	-5.15365546626594	-17.4208133549359	-10.9060571465746	1	1.49794781149825e-05	0	0	0	1	1
33	ABCC3	-1.01954021438024	1.58989619503423	-0.921804044195091	0.361241400016795	0.945241499105275	-5.04731022015074	-5.52693387110914	-9.444752064618	9	1.72381100136181e-05	65544.8682451342	8	0.63607760348952	0.524725842428755	0.997721700557707
34	ABCC6	-0.0483036608718326	-6.85814283563326	-0.0711104315775739	0.943605351234983	0.992486441365988	-5.38663780571399	-14.5827693085141	-10.3702867248624	3	1.59601634320735e-05	1698.4507184588	0	0	1	1
35	ABCC8	-1.8040114708505	-5.2874649972783	-1.98252321556143	0.0531607918571382	0.875094035916376	-3.86733998589443	-14.4796609200814	-10.3122359152757	5	1.80939801328098e-05	1469.38132937161	0	0	1	1
36	ABCC9	-1.58128353502456	-5.37685766260794	-1.39994775592026	0.167959987092879	0.945241499105275	-4.61196159020979	-15.9734924762003	-10.7860384390622	2	1.67243657284298e-05	33.1113415579017	0	0	1	1
37	ABCD1	0.0154950414769939	4.41187309999423	0.0533133018392223	0.957703572380025	0.993770714377101	-5.38753682886587	-13.2574861497494	-10.9959100003496	1	1.60541989757421e-05	0	0	0	1	1
38	ABCE1	0.313294092383438	5.8150166892993	1.23209040073989	0.223917377792303	0.945241499105275	-4.78380548583041	-8.92710873924415	-9.98721792969874	9	1.83156892193853e-05	9427.57552774668	0	0	1	1
39	ABCF1	0.0625134147032416	7.03967713376601	0.371792899960015	0.711683482754588	0.953844972653237	-5.3326621679537	-14.1817646822676	-11.0437647211967	1	1.59365089483498e-05	0	0	0	1	1
40	ABCF3	0.179305179768588	5.80585490564181	1.20393943017625	0.234517139907016	0.945241499105275	-4.81064515557161	-13.3804772620745	-9.27271870244723	6	1.6059871199833e-05	31291.1096806609	6	0.462651162245001	0.64361442983534	0.997721700557707
41	ABCG1	0.0833293460003741	4.53177863601846	0.204483008133335	0.838840733188026	0.975834104718457	-5.37172220317034	-11.6983267253937	-8.87608369036315	25	1.99632675876387e-05	58316.3433694117	22	0.0280616564241914	0.97761297576199	0.999559670321085
42	ABCG2	-1.48296705791025	1.84532819970108	-1.71127000147223	0.0934875838381973	0.940746830816311	-4.24158188566501	-15.1458896855865	-9.93726168895621	6	1.56889816282025e-05	9742.25990636205	0	0	1	1
43	ABCG4	-0.129709116934256	-6.92831275231424	-0.250848749495439	0.803001857107444	0.971331151457212	-5.36316138294782	-18.0755807592836	-10.5788790058588	1	1.34015921091426e-05	0	0	0	1	1
44	ABHD1	-0.018802879030233	2.61253325729728	-0.0594973502119985	0.952803020186854	0.993379337315076	-5.38725359255206	-15.734303763335	-10.7015461458376	2	1.64698519360311e-05	240.711288923293	0	0	1	1
45	ABHD11	0.0992824935001613	4.05025532298253	0.445802661566753	0.657744385690064	0.951710245579171	-5.30819662960946	-16.4909318844373	-9.55467012501705	5	1.53808293343177e-05	25660.0072550005	4	0.0382345530278941	0.969500671695821	0.999559670321085
46	ABHD12	-0.146289699826939	5.30952963779569	-0.641740570547594	0.524094837805238	0.945241499105275	-5.22233316931823	-15.0552159162933	-9.36313395619712	17	1.71517760664117e-05	561.132551731219	9	-0.713222959693355	0.475707801016417	0.997721700557707
47	ABHD13	-0.858231578146324	1.74104009781817	-1.08893172860854	0.281621588004956	0.945241499105275	-4.91427271518363	-15.0697980382362	-10.7451903396327	2	1.61025409809668e-05	141.714511783587	0	0	1	1
48	ABHD2	0.0494043187637025	6.2468979477327	0.207087019588907	0.83681800389445	0.975834104718457	-5.37128750684914	-21.1860353807203	-10.6297488139516	1	1.29254074734706e-05	0	0	0	1	1
49	ABHD3	0.420194053701263	3.78596088976492	1.87496057986651	0.0668897231502721	0.906851180870868	-4.0212437840602	-13.8197397273595	-10.4532198288883	3	1.68120912560313e-05	898.578616368755	0	0	1	1
50	ABHD4	-0.000541814346496139	3.70455394803834	-0.00193218022023311	0.998466352895327	0.999963755944801	-5.38868934115256	-14.9294312970443	-9.44931020939444	15	1.7061061539249e-05	2000.92361295975	9	0.645539453789506	0.518577659253116	0.997721700557707
51	ABHD5	-0.501506091973719	5.14922517088163	-1.3601059788169	0.180150904549751	0.945241499105275	-4.65456097377729	-11.8875050224441	-9.76453755599234	8	1.82882223847842e-05	31650.7126037	0	0	1	1
52	ABHD6	0.0877519753545013	1.36821008812365	0.232068914012773	0.817471160749508	0.973083877023931	-5.3668383482552	-14.8682598473105	-9.13305628311232	19	1.80401212296147e-05	32254.095461215	11	0.0890978872550909	0.9290041164447	0.997721700557707
53	ABHD8	-0.243228476919555	2.14972473047372	-0.72301686208023	0.473178340302377	0.945241499105275	-5.17781794524982	-21.186035380653	-10.6297488139516	1	1.29254074734706e-05	0	0	0	1	1
54	ABI1	-0.00437813417906341	6.84298208555589	-0.0259612097137852	0.979395920835131	0.995430864728595	-5.38841719978638	-16.2084618318192	-10.2467945719011	4	1.69681338446398e-05	593.791493843462	0	0	1	1
55	ABI2	0.0325703440632541	2.97955544823768	0.0756045374921693	0.940047988127113	0.992282410989639	-5.38637012335461	-16.3825704542596	-10.1201538567457	4	1.68389856195063e-05	1204.28525930412	0	0	1	1
56	ABL1	-0.245372272629162	5.89707070741917	-0.972496415579599	0.335679495623543	0.945241499105275	-5.00918203994785	-11.5392729385222	-9.1147856509885	20	2.08816220844035e-05	68975.8388356147	0	0	1	1
57	ABL2	0.243813891082678	4.80748569760163	1.2209096686329	0.228084225150087	0.945241499105275	-4.79453427059872	-12.3235102993442	-8.70504390430328	29	1.98937672827103e-05	56983.5395998491	25	0.0742211149029905	0.940834444924463	0.998721331580985
58	ABLIM2	0.954626512655885	-1.97813553440833	1.00619626369327	0.319367174519008	0.945241499105275	-4.98275863163922	-15.8812879020211	-10.2556251141933	4	1.72836945625497e-05	848.151512168017	4	-1.86071210828933	0.0627848430219492	0.997721700557707
59	ABLIM3	-0.886464283692352	-0.0675542042069899	-0.779262966082355	0.439650401917901	0.945241499105275	-5.1439898727717	-13.8031229879891	-10.5843387905	2	1.44990575612585e-05	0	0	0	1	1
60	ABT1	0.0548292885098087	3.37950925723884	0.219339921305669	0.82731541411834	0.975177617160637	-5.36916842060365	-12.9190751625417	-10.712568407541	2	1.53926669334729e-05	900.983849809613	0	0	1	1
61	ABTB1	-0.405486009407272	6.28834595319905	-1.12881574726628	0.264586270139395	0.945241499105275	-4.87943800658353	-16.0036301692781	-9.86852318828176	4	1.66708343752605e-05	5254.01079726383	4	-0.607647440487659	0.543421329358058	0.997721700557707
62	ACAA1	-0.133368439556941	5.71620937933145	-0.548607103748762	0.585818182571253	0.945241499105275	-5.26694689959516	-7.50562962068973	-9.67811391219449	12	1.84043434250483e-05	8136.11425771299	0	0	1	1
63	ACAA2	-0.262223254384655	4.45153575978765	-0.597401157230596	0.553047762210845	0.945241499105275	-5.24442832035215	-7.38561041049658	-9.63381268523344	13	1.84206163538232e-05	4429.946127258	0	0	1	1
64	ACACA	0.283215589249487	6.86535765414656	1.00977191367106	0.317668310795907	0.945241499105275	-4.97990481830531	-9.20817804632765	-9.48281943059014	16	1.97164770598789e-05	26682.3766787948	0	0	1	1
65	ACACB	0.144723148060485	5.0213726582332	0.401356845644329	0.689938865191937	0.95361326326451	-5.32341608465655	-9.21745424160429	-9.74061580585024	12	1.93670837045358e-05	9754.65841230007	0	0	1	1
66	ACAD10	0.208902017244428	4.99965943658376	1.05374084132046	0.297277595843031	0.945241499105275	-4.9440278152648	-12.7852445449443	-9.6677053975919	8	1.77100858939166e-05	19670.7187517934	0	0	1	1
67	ACAD11	0.505359565485797	4.49327558165519	1.80792900959794	0.0768859358424142	0.915247963715517	-4.11353082181426	-12.124876108786	-9.90633355648639	5	1.57733682450551e-05	5747.64654001663	4	0.832018036559711	0.405398763846431	0.997721700557707
