ID	logFC	AveExpr	t	P.Value	adj.P.Val	B	eigenvalue	Page_Rank	degree	closenessness	betweenness	size	nes	pval	pval.fdr
1	A1BG	1.44539901540254	1.74140079819435	2.85848429681227	0.00627943729502158	0.616286209547764	-2.37575970643626	-15.9920703501225	-7.56164288375468	2	5.85548659093571e-05	1418	0	0	1	1
2	A2M	2.3629345968789	-2.39995124570396	3.35459126245183	0.0015596606250466	0.47596169021951	-1.37591227335413	-21.3409171848586	-7.31368698776828	3	5.01655463027992e-05	27999	0	0	1	1
3	A4GALT	-2.8611239475696	-0.621247374372882	-2.04464154333506	0.0463956928885186	0.857199360511922	-3.77527123738289	-11.0950164270774	-7.15071538266088	4	7.7663870767319e-05	4577.02597918979	0	0	1	1
4	AARSD1	0.0587903018701583	5.13706627939427	0.199754462247731	0.842516546331448	0.97655950564435	-5.37249752096981	-8.29732495386511	-8.38978521164574	1	6.41889723345529e-05	0	0	0	1	1
5	AATK	-1.44592570218519	2.31637226814464	-2.9662763374349	0.00468683315450547	0.579547193293248	-2.16668058198196	-21.689329532554	-7.64277126202295	2	5.28094634558513e-05	5660	0	0	1	1
6	ABCA13	1.99347753489744	-1.84406054564181	2.21152354807434	0.0317951777235903	0.834905591980161	-3.51676719454577	-7.91214651251495	-7.12492227616887	4	7.8665827564506e-05	38579.7688182074	0	0	1	1
7	ABCB6	-0.583679426667771	3.66007555544434	-1.00417612704723	0.320329688536022	0.945241499105275	-4.984366699842	-10.0365134469511	-7.79545356237854	2	7.48951467944877e-05	32468.0935512087	0	0	1	1
8	ABCC6	-0.0483036608718326	-6.85814283563326	-0.0711104315775739	0.943605351234983	0.992486441365988	-5.38663780571399	-4.81246761710262	-8.36645823683993	1	7.45489786789921e-05	0	0	0	1	1
9	ABCG2	-1.48296705791025	1.84532819970108	-1.71127000147223	0.0934875838381973	0.940746830816311	-4.24158188566501	-10.2099001615145	-8.45989448243751	1	8.00512327889849e-05	0	0	0	1	1
10	ABHD1	-0.018802879030233	2.61253325729728	-0.0594973502119985	0.952803020186854	0.993379337315076	-5.38725359255206	-16.9825575143165	-8.2989000081283	1	6.02700096432015e-05	0	0	0	1	1
11	ABTB1	-0.405486009407272	6.28834595319905	-1.12881574726628	0.264586270139395	0.945241499105275	-4.87943800658353	-17.6142979366009	-8.36179963095461	1	6.45286184422791e-05	0	0	0	1	1
12	ACBD5	0.295889979172657	6.03438021405674	1.9124446530277	0.0617970643986618	0.894548138010604	-3.96841556546912	-8.37663097234008	-8.43315286023772	1	7.61672633102293e-05	0	0	0	1	1
13	ACER1	-1.51110230471949	-5.34919220617652	-1.72577449821593	0.0908215046829084	0.933996942162892	-4.22275044220382	-25.7050595071259	-8.23333839936914	1	4.39869798539632e-05	0	0	0	1	1
14	ACER2	2.57312642921792	-4.726272813019	2.94240354601106	0.00500306092092519	0.589786124195503	-2.21340372458454	-45.3014442240898	-7.45564775429322	2	0.1	4	0	0	1	1
15	ACOT2	0.840118321714644	3.23590067735817	2.66290010425433	0.0105123352155519	0.65087168423823	-2.74218281529794	-45.3014442240898	-7.6357868613958	1	1	0	0	0	1	1
16	ACOT9	-0.0322868828366918	4.40751292420214	-0.132786107961108	0.894917697151238	0.985492654681263	-5.38153321561891	-26.6377582721076	-8.27940209823568	1	4.4531528322052e-05	0	0	0	1	1
17	ACOXL	0.0975093330261947	-3.09375112622585	0.111341987931217	0.911809485974846	0.988512849753739	-5.383658040269	-9.4480068894077	-8.39752837773689	1	7.85484251040767e-05	0	0	0	1	1
18	ACR	1.57547647032115	-1.81929329048031	1.74620704454115	0.0871730719168232	0.933996942162892	-4.19599138238178	-13.2622396169247	-7.77312195506621	2	7.11794433767528e-05	22448	0	0	1	1
19	ACSF2	0.807543112635186	3.71566512506539	2.50211660378942	0.015806456752563	0.733727404464963	-3.03001864311073	-16.2732621955155	-8.29594296312888	1	6.25390869293308e-05	0	0	0	1	1
20	ACSL1	-0.934440570619878	6.68803080844319	-1.66187651576993	0.103056299274376	0.942271928760212	-4.30468089135978	-13.3420831471493	-8.41044170229851	1	6.22820129546587e-05	0	0	0	1	1
21	ACSL4	-0.0546149819658774	5.83017719195026	-0.269848624600746	0.788433585370115	0.968741332041118	-5.35915126105571	-13.6445693039622	-8.36088712974508	1	6.17627076771046e-05	0	0	0	1	1
22	ACSM1	-2.01375941335532	1.82893632008505	-2.44429105912127	0.0182378141958174	0.755589279684292	-3.13040964382042	-45.3014442240898	-7.6357868613958	1	1	0	0	0	1	1
23	ACTA1	-2.79814279110948	-1.34919832522503	-2.32662704235905	0.0242533037629526	0.800447527885467	-3.32934553839987	-45.3014442240898	-7.6357868613958	1	1	0	0	0	1	1
24	ACTR5	0.176028325768215	3.5349303077849	0.677760704009346	0.501177811714327	0.945241499105275	-5.20324400850281	-40.2242934153745	-8.25769279986016	1	0.0227272727272727	0	0	0	1	1
25	ACVR1C	-1.10556551890093	3.14676761688246	-1.67127842199811	0.10117540526755	0.94186677617265	-4.29279339459964	-45.3014442240898	-8.09396875167637	1	0.111111111111111	0	0	0	1	1
26	ADAM12	-0.306311739677959	-0.369709862842143	-0.384752981129546	0.702120105299391	0.95361326326451	-5.32869531852729	-2.61756754424538	-8.40516114110718	1	7.89702282239596e-05	0	0	0	1	1
27	ADAM15	1.12699512597545	-0.717368095806441	1.7693543715259	0.0831881236388131	0.929387141655411	-4.1653520383953	-45.3014442240898	-7.89680068676542	1	0.333333333333333	0	0	0	1	1
