name	logFC	P.Value
102654	-0.426662860146991	8.37881699498043e-09
107025	-0.246154146691912	1.55847734932215e-05
111845	0.226434619249631	2.75299833936513e-05
111942	-0.155737483195742	1.05214287239364e-05
112004	0.214076802476705	2.12613713991537e-05
112225	-0.268075759048462	8.96624855444692e-06
119533	0.159050144490835	2.41087167629219e-05
120337	-0.291291693935221	2.11480160700928e-07
133832	-0.0936282436931684	1.28775577813494e-05
139809	0.266604487466427	1.8524745804979e-05
143409	0.226000471265963	9.71598333656557e-06
143507	-0.212600693434055	1.52371250094893e-05
146156	-0.277653057557688	2.1655697995734e-06
15542	-0.297761877494643	8.44979200195589e-07
155634	-0.156608674419769	8.98499155895161e-07
158057	-0.257838731018397	3.29063070951282e-05
158430	0.27833152467644	1.29801125695079e-05
162561	-0.259729439242764	2.75837568372898e-05
169979	-0.230552415503746	2.35345172337917e-05
170570	-0.283531914276621	1.50536678177525e-06
171319	0.192032175272464	3.61125458622607e-06
175869	-0.229510913128262	2.53976878397078e-07
176749	0.281013457224487	1.84766733033331e-05
187715	-0.26299451989663	1.0833966706555e-05
190290	0.208169642566881	3.41706039217691e-05
190975	-0.27444048996669	3.45162498722647e-05
199203	-0.312635725321282	2.78021881403931e-07
205889	-0.278469584033415	7.86314883961277e-07
211376	-0.0408250196453256	1.52120766711707e-05
220505	-0.260564119683024	2.9633958542714e-05
224474	-0.313754853751301	2.14794590643058e-06
225104	0.234592366501451	5.79645071167637e-06
235164	-0.318807450646668	1.56630129927467e-06
235564	-0.297317692898882	3.40080775755613e-05
256083	-0.222041768660027	1.19650114813701e-05
260616	-0.276688900450675	1.35116212792396e-05
262411	-0.247145905666729	2.14684000364891e-06
263927	0.265827766268597	1.02774720995123e-05
269531	0.341444689593046	2.16625106603905e-06
270125	-0.290042521738	1.70503290925696e-05
274048	-0.321920957530109	2.21917325614362e-05
27505	0.3253798148047	1.44982177484745e-07
276189	-0.186898533556269	3.2920621703172e-06
277582	-0.315355732637674	8.66657218956473e-06
280504	0.189056115200676	3.24456422941454e-05
280754	0.249991790681588	4.85404904561518e-06
283224	-0.317111899748866	1.00107792131049e-07
287226	-0.221465839686099	9.51534124797325e-06
287522	-0.0317976880893369	9.49997176894779e-06
291669	0.197066758807345	2.36112955338792e-05
292130	-0.278722277732013	3.41552091804207e-05
292138	-0.285153632454476	9.38155877441002e-06
301711	0.313983710303578	2.7043515683041e-05
303018	-0.225232322826544	7.6861645782234e-06
309871	-0.263907877283939	2.49301212681695e-05
313968	-0.296749161274705	8.40929500544263e-07
321939	0.237332087028342	2.48204342257129e-05
327728	-0.242406976769865	4.25166186844325e-06
329622	0.32498357554817	4.40116261311945e-08
330725	0.0624910898463751	1.8658975973627e-05
331211	-0.253530985906446	3.33387960381939e-05
331292	0.182440361718273	1.45426762712291e-05
335446	-0.26919099338298	1.87636877955635e-09
336725	-0.151478169988471	1.43048781632931e-05
339806	0.238565376107898	1.05831424998412e-05
34858	0.115947710407971	2.24899726563527e-05
349066	-0.289046198421911	1.14112856364936e-05
354257	-0.0599924181215306	1.00216140180276e-05
357359	0.309383385872955	4.33649815918417e-06
359151	0.212313486179787	1.71238380250316e-05
359771	-0.326935787182494	1.41524839836585e-07
361647	-0.210334532126233	2.85454986643773e-05
368800	0.217137330215901	7.06740444403178e-06
371432	0.248734739422784	8.22002966726791e-06
377371	0.269764267397732	1.03393489072459e-05
388317	0.288092040951553	5.34489971578026e-07
388442	0.289983595203935	7.35935999804179e-07
