source	target
CENPL	DARS2
AC078883.3	ITGA6
AC009336.1	HOXD10
AC009336.1	HOXD11
HOXD10	HOXD11
FAM229B	TUBE1
IFNLR1	NIPAL3
IFNLR1	STPG1
IFNLR1	RCAN3
NIPAL3	STPG1
NIPAL3	RCAN3
STPG1	RCAN3
PUM1	PEF1
PUM1	RP11-73M7.6
PUM1	RP11-73M7.9
PUM1	RP11-277A4.4
PUM1	TMEM39B
PUM1	KPNA6
PUM1	CCDC28B
PUM1	IQCC
PUM1	RP4-622L5.7
PUM1	DCDC2B
PUM1	EIF3I
PUM1	TMEM234
PUM1	FAM167B
PUM1	LCK
PUM1	HDAC1
PUM1	MARCKSL1
PUM1	RP4-811H24.9
PUM1	TSSK3
PUM1	ZBTB8OS
PUM1	RBBP4
PUM1	SYNC
PUM1	RP11-114B7.6
PUM1	KIAA1522
PEF1	RP11-73M7.6
PEF1	RP11-73M7.9
PEF1	RP11-277A4.4
PEF1	TMEM39B
PEF1	KPNA6
PEF1	CCDC28B
PEF1	IQCC
PEF1	RP4-622L5.7
PEF1	DCDC2B
PEF1	EIF3I
PEF1	TMEM234
PEF1	FAM167B
PEF1	LCK
PEF1	HDAC1
PEF1	MARCKSL1
PEF1	RP4-811H24.9
PEF1	TSSK3
PEF1	ZBTB8OS
PEF1	RBBP4
PEF1	SYNC
PEF1	RP11-114B7.6
PEF1	KIAA1522
RP11-73M7.6	RP11-73M7.9
RP11-73M7.6	RP11-277A4.4
RP11-73M7.6	TMEM39B
RP11-73M7.6	KPNA6
RP11-73M7.6	CCDC28B
RP11-73M7.6	IQCC
RP11-73M7.6	RP4-622L5.7
RP11-73M7.6	DCDC2B
RP11-73M7.6	EIF3I
RP11-73M7.6	TMEM234
RP11-73M7.6	FAM167B
RP11-73M7.6	LCK
RP11-73M7.6	HDAC1
RP11-73M7.6	MARCKSL1
RP11-73M7.6	RP4-811H24.9
RP11-73M7.6	TSSK3
RP11-73M7.6	ZBTB8OS
RP11-73M7.6	RBBP4
RP11-73M7.6	SYNC
RP11-73M7.6	RP11-114B7.6
RP11-73M7.6	KIAA1522
RP11-73M7.9	RP11-277A4.4
RP11-73M7.9	TMEM39B
RP11-73M7.9	KPNA6
RP11-73M7.9	CCDC28B
RP11-73M7.9	IQCC
RP11-73M7.9	RP4-622L5.7
RP11-73M7.9	DCDC2B
RP11-73M7.9	EIF3I
RP11-73M7.9	TMEM234
RP11-73M7.9	FAM167B
RP11-73M7.9	LCK
RP11-73M7.9	HDAC1
RP11-73M7.9	MARCKSL1
RP11-73M7.9	RP4-811H24.9
RP11-73M7.9	TSSK3
RP11-73M7.9	ZBTB8OS
RP11-73M7.9	RBBP4
RP11-73M7.9	SYNC
RP11-73M7.9	RP11-114B7.6
RP11-73M7.9	KIAA1522
RP11-277A4.4	TMEM39B
RP11-277A4.4	KPNA6
RP11-277A4.4	CCDC28B
RP11-277A4.4	IQCC
RP11-277A4.4	RP4-622L5.7
RP11-277A4.4	DCDC2B
RP11-277A4.4	EIF3I
RP11-277A4.4	TMEM234
RP11-277A4.4	FAM167B
RP11-277A4.4	LCK
RP11-277A4.4	HDAC1
RP11-277A4.4	MARCKSL1
RP11-277A4.4	RP4-811H24.9
RP11-277A4.4	TSSK3
RP11-277A4.4	ZBTB8OS
RP11-277A4.4	RBBP4
RP11-277A4.4	SYNC
RP11-277A4.4	RP11-114B7.6
RP11-277A4.4	KIAA1522
TMEM39B	KPNA6
TMEM39B	CCDC28B
TMEM39B	IQCC
TMEM39B	RP4-622L5.7
TMEM39B	DCDC2B
TMEM39B	EIF3I
TMEM39B	TMEM234
TMEM39B	FAM167B
TMEM39B	LCK
TMEM39B	HDAC1
TMEM39B	MARCKSL1
TMEM39B	RP4-811H24.9
TMEM39B	TSSK3
TMEM39B	ZBTB8OS
TMEM39B	RBBP4
TMEM39B	SYNC
TMEM39B	RP11-114B7.6
TMEM39B	KIAA1522
KPNA6	CCDC28B
KPNA6	IQCC
KPNA6	RP4-622L5.7
KPNA6	DCDC2B
KPNA6	EIF3I
KPNA6	TMEM234
KPNA6	FAM167B
KPNA6	LCK
KPNA6	HDAC1
KPNA6	MARCKSL1
KPNA6	RP4-811H24.9
KPNA6	TSSK3
KPNA6	ZBTB8OS
KPNA6	RBBP4
KPNA6	SYNC
KPNA6	RP11-114B7.6
