source	target
239	247
247	219
247	224
247	231
247	240
247	241
247	242
247	245
247	251
247	252
247	254
250	247
254	247
255	247
283	263
283	311
3352	3526
3367	3526
3450	3526
3476	3526
3479	3526
3526	3454
3526	3455
3526	3473
3526	3482
3526	3510
3526	3528
3526	3529
3526	3531
3526	3573
3526	3574
3526	3575
3526	3633
3526	3636
3526	34265
3526	60250
3526	60251
5243	5333
5301	5333
5302	5333
5325	5333
5845	5986
5947	5986
5986	5958
5986	5959
5986	5960
5986	5961
5986	5962
5986	5963
5986	5964
5986	5967
5986	5969
5986	5970
5986	5971
5986	5988
5986	6007
6008	5986
6726	6990
6843	6990
6887	6962
6931	6990
6937	6990
6956	6962
6960	6962
6960	6990
6961	6990
6962	6840
6962	6844
6962	6846
6962	6960
6962	6964
6962	6970
6962	6972
6962	6973
6962	6975
6962	6976
6962	6977
6962	6978
6962	6979
6962	6980
6962	6981
6962	6982
6962	6983
6962	6984
6962	6985
6962	6986
6962	6987
6962	6988
6962	6989
6962	6990
6962	6991
6962	6992
6962	6993
6962	6994
6962	6995
6962	6996
6962	6997
6962	7000
6966	6990
6967	6990
6974	6962
6974	6990
6983	6962
6983	6990
6984	6962
6984	6990
6985	6962
6991	6962
7040	6990
7041	6990
7049	6990
7056	6990
7057	6990
7100	6962
9896	9870
9899	9870
10122	10124
10124	10104
10124	10122
10124	10154
10124	10239
10124	10246
10124	10247
10124	10251
10124	10284
10124	10285
10124	10294
10124	10299
10159	10124
10246	10124
10247	10124
10285	10124
10682	10689
10689	10526
10689	10539
10689	10679
10689	10680
10689	10681
10689	10682
10689	10683
10689	10684
10689	10685
10689	10686
10689	10693
10689	10694
10689	10695
10689	10696
10689	10697
10689	10699
10689	10700
10689	10707
10689	10708
10689	10729
10689	10800
15504	15542
27180	27505
27182	27505
27194	27505
27202	27505
27293	27505
27293	42095
27294	27505
27331	27505
27391	27505
27405	27505
34158	34858
34692	34858
36414	36424
36424	36231
36424	36398
36424	36400
36424	36402
36424	36403
36424	36415
