gene	2292873_REL	2410163_REL	2297941_REL	974025_REL	2463247_REL	2260671_REL	2297625_REL	1825001_REL	2430935_REL	2264225_REL
A1BG	1.94202733266017	1.9896918533608	2.99228977909554	0.451692009757379	2.49476972147605	0.932298615099252	2.90575083344353	2.9816430564913	2.55603596789777	-3.2473919630212
A1CF	-7.39693600760326	-7.54012797333598	-7.2964816817843	-7.91108081863627	-7.64204964357904	-7.69013122978035	-7.42035028295097	-7.5462078188045	-7.46933214868287	-7.49214258632128
A2BP1	-7.39693600760326	-7.54012797333598	-7.2964816817843	-7.91108081863627	-7.64204964357904	-7.69013122978035	-7.42035028295097	-7.5462078188045	-7.46933214868287	-7.49214258632128
A2LD1	-5.03565837004681	-1.63997583483882	-3.69830922883732	-4.62887323531292	-1.48968771144569	-2.52597063532239	-2.89252357621196	-0.158874651213562	-2.37814544772879	-2.43361945790851
A2ML1	2.42186811433857	5.47246171903651	0.910167010159168	-2.2210851695125	3.33458547035612	5.23968833345735	3.39527951404292	5.9163962674963	6.27527572033914	2.57784519558843
A2M	-0.515447355802863	-1.40660151394164	-3.93771247699263	-2.43074557564408	-3.4857410417556	-2.78098033949359	-0.345804161957029	-1.09646997031877	-2.37814544772879	-2.51353727658473
A4GALT	2.21617130022114	2.39396884600668	-3.00979986990059	0.356833557511108	1.08783601443974	1.68332661541646	0.084925323636858	-1.52366423574507	0.560182976502576	-2.51353727658473
A4GNT	-7.39693600760326	-4.30921334391655	-5.78464412889539	-1.76484368217817	-3.09107412544102	-2.45008732665975	-3.83130047801728	-7.5462078188045	-7.46933214868287	-4.17323237081307
AAA1	-7.39693600760326	-7.54012797333598	-7.2964816817843	-7.91108081863627	-7.64204964357904	-7.69013122978035	-7.42035028295097	-7.5462078188045	-7.46933214868287	-7.49214258632128
AAAS	6.94102122297635	6.66377231711377	7.01321312085616	5.35587369701002	6.41525752132342	6.10535621079813	6.52037759444731	6.31918198672385	6.21539103431463	7.04495897119222
AACSL	3.68823614232278	4.24724829870616	4.24482506413915	3.28564611391615	4.31806666975189	3.45128822205415	3.76440379735042	3.79970851096575	3.98993301366196	3.82067351587261
AACS	-7.39693600760326	-7.54012797333598	-7.2964816817843	-7.91108081863627	-7.64204964357904	-7.69013122978035	-6.16983996732126	-7.5462078188045	-7.46933214868287	-7.49214258632128
