gene	2292873_REL	2410163_REL	2297941_REL	974025_REL	2463247_REL	2260671_REL	2297625_REL	1825001_REL	2430935_REL	2264225_REL	2620771_BL	2430935_BL	2295595_BL	2264225_BL	1794247_BL	2296723_BL	2502699_BL
A1BG	1.94202733266017	1.9896918533608	2.99228977909554	0.451692009757379	2.49476972147605	0.932298615099252	2.90575083344353	2.9816430564913	2.55603596789777	-3.2473919630212	-1.06859378527953	1.08901900164856	1.54885912040557	-1.9351886952427	0.361236688760593	2.39476486627664	1.52597577153267
A1CF	-7.39693600760326	-7.54012797333598	-7.2964816817843	-7.91108081863627	-7.64204964357904	-7.69013122978035	-7.42035028295097	-7.5462078188045	-7.46933214868287	-7.49214258632128	-7.44261015154673	-7.94476479104274	-7.51640380130784	-7.4048477747528	-7.70204511140621	-7.52664253553674	-7.7661025943389
A2BP1	-7.39693600760326	-7.54012797333598	-7.2964816817843	-7.91108081863627	-7.64204964357904	-7.69013122978035	-7.42035028295097	-7.5462078188045	-7.46933214868287	-7.49214258632128	-7.44261015154673	-3.67009492681774	-7.51640380130784	-7.4048477747528	-7.70204511140621	-7.52664253553674	-7.7661025943389
A2LD1	-5.03565837004681	-1.63997583483882	-3.69830922883732	-4.62887323531292	-1.48968771144569	-2.52597063532239	-2.89252357621196	-0.158874651213562	-2.37814544772879	-2.43361945790851	-5.88141597721117	-1.78766736370729	-2.65138856373038	-2.24900043776815	-7.70204511140621	-3.0663455094702	-3.52152118410731
A2ML1	2.42186811433857	5.47246171903651	0.910167010159168	-2.2210851695125	3.33458547035612	5.23968833345735	3.39527951404292	5.9163962674963	6.27527572033914	2.57784519558843	3.93470116176555	3.18672391908994	4.19499864150348	3.05083101233456	2.79659500451626	3.67326114048648	3.60749955705081
A2M	-0.515447355802863	-1.40660151394164	-3.93771247699263	-2.43074557564408	-3.4857410417556	-2.78098033949359	-0.345804161957029	-1.09646997031877	-2.37814544772879	-2.51353727658473	-3.77518571422734	-2.13569955661832	-7.51640380130784	-1.99272648402087	-7.70204511140621	-4.00225278766789	-3.17596382868279
A4GALT	2.21617130022114	2.39396884600668	-3.00979986990059	0.356833557511108	1.08783601443974	1.68332661541646	0.084925323636858	-1.52366423574507	0.560182976502576	-2.51353727658473	-4.66588705542283	-4.2182622673131	5.26566705358293	-1.26937758096703	3.45829939624955	1.75155000832619	4.46898390043091
A4GNT	-7.39693600760326	-4.30921334391655	-5.78464412889539	-1.76484368217817	-3.09107412544102	-2.45008732665975	-3.83130047801728	-7.5462078188045	-7.46933214868287	-4.17323237081307	-4.30446407390514	-5.92355303208952	-7.51640380130784	-7.4048477747528	-7.70204511140621	-2.70303780901274	-7.7661025943389
AAA1	-7.39693600760326	-7.54012797333598	-7.2964816817843	-7.91108081863627	-7.64204964357904	-7.69013122978035	-7.42035028295097	-7.5462078188045	-7.46933214868287	-7.49214258632128	-7.44261015154673	-7.94476479104274	-7.51640380130784	-7.4048477747528	-7.70204511140621	-7.52664253553674	-7.7661025943389
AAAS	6.94102122297635	6.66377231711377	7.01321312085616	5.35587369701002	6.41525752132342	6.10535621079813	6.52037759444731	6.31918198672385	6.21539103431463	7.04495897119222	6.27114673364071	5.47831079473838	7.08884597558566	6.8876939154009	5.66556670136088	6.64621482268213	6.77461396080376
AACSL	3.68823614232278	4.24724829870616	4.24482506413915	3.28564611391615	4.31806666975189	3.45128822205415	3.76440379735042	3.79970851096575	3.98993301366196	3.82067351587261	2.34021120396396	3.02668201664726	3.69972195168832	2.99457331345211	2.9080758747812	4.33049480171065	2.68936011237491
AACS	-7.39693600760326	-7.54012797333598	-7.2964816817843	-7.91108081863627	-7.64204964357904	-7.69013122978035	-6.16983996732126	-7.5462078188045	-7.46933214868287	-7.49214258632128	-7.44261015154673	-7.94476479104274	-7.51640380130784	-7.4048477747528	-7.70204511140621	-7.52664253553674	-7.7661025943389
AADACL2	-7.39693600760326	-7.54012797333598	-7.2964816817843	-7.91108081863627	-7.64204964357904	-7.69013122978035	-4.71613725782647	-3.45857696163185	-7.46933214868287	-6.00887074291263	-7.44261015154673	-7.94476479104274	-7.51640380130784	-4.4175114750813	-7.70204511140621	-7.52664253553674	-7.7661025943389
AADACL3	-7.39693600760326	-7.54012797333598	-7.2964816817843	-7.91108081863627	-7.64204964357904	-7.69013122978035	-7.42035028295097	-7.5462078188045	-7.46933214868287	-7.49214258632128	-7.44261015154673	-7.94476479104274	-7.51640380130784	-7.4048477747528	-7.70204511140621	-7.52664253553674	-7.7661025943389
AADACL4	-7.39693600760326	-7.54012797333598	-7.2964816817843	-7.91108081863627	-7.64204964357904	-7.69013122978035	-7.42035028295097	-7.5462078188045	-7.46933214868287	-7.49214258632128	-7.44261015154673	-7.94476479104274	-7.51640380130784	-7.4048477747528	-7.70204511140621	-7.52664253553674	-7.7661025943389
AADAC	-7.39693600760326	-7.54012797333598	-7.2964816817843	-7.91108081863627	-7.64204964357904	-7.69013122978035	-7.42035028295097	-7.5462078188045	-7.46933214868287	-7.49214258632128	-7.44261015154673	-7.94476479104274	-7.51640380130784	-7.4048477747528	-7.70204511140621	-7.52664253553674	-7.7661025943389
AADAT	-6.37221705982815	-0.020863652790015	-3.93771247699263	-1.56586911542264	1.24994875406636	-3.09095445833134	0.128082618517906	-3.20975475159159	0.446180075759304	-0.904500105991465	-0.709894270794624	-0.76700084055496	1.22048465659891	0.533470310447386	2.09748461927644	2.65180740390658	0.074974254535942
AAGAB	5.41819331991172	4.73011064311213	5.64412467870458	4.77251647841908	4.69961684602623	4.74838016209482	4.73908333535265	5.58238395097333	4.98060483401505	4.74458028715522	4.92593886265025	5.10893111645289	5.2284442116215	4.81354391512535	5.14850705562308	5.29346508481168	4.88433037205462
AAK1	6.28825313742753	6.85578643540962	6.09087757221942	6.43472679212702	5.6611549884269	7.19435950889068	6.80079681523412	7.61967069502552	7.26299879035667	6.82678426061834	6.39897129626535	6.33492978863148	5.94672129327732	6.71790245183249	7.54274819681901	6.08755851419177	6.0606401040444
AAMP	5.94152324303357	5.70774263551074	6.33291939890522	3.59451664923238	5.8032607037227	5.36314363289604	6.01287669614017	6.2112981841342	5.93687662979097	5.85547094365292	5.92287177140563	5.59297402216102	6.20935985443801	6.02160566073466	4.79584693354078	5.73924895180931	5.592368017424
AANAT	-3.18066967123458	-2.61601837224077	-5.78464412889539	-6.45391375717135	-0.588480528339748	-0.702918393848615	-1.34986922939998	-0.946118300610785	-1.97372764433577	-1.49544371582006	-2.7221816871341	-1.18889433934397	-2.65138856373038	-1.45909395784467	-0.727804349929366	-1.39029603921818	-1.92229228579644
AARS2	7.97587796285236	7.68363751828848	7.86826510372412	6.57093692007277	7.03853119656469	6.80796195563922	7.62666502347128	8.07833780039148	7.40824635750706	8.03547100885786	7.2761123859914	6.26164528794968	8.13135179319779	7.82743911870767	7.07144486400011	7.87826132798315	8.1990738081724
AARSD1	5.52379181351057	5.33384024222593	5.65799021946101	3.14605659428164	5.37709709646127	4.98333480412567	5.56409080656447	5.58495944548421	5.40054638922397	5.83166378964379	5.3109238650339	4.48805305535155	5.44243804034673	5.32781643162448	3.99026891567338	5.51349147865879	5.20413984844261
AARS	4.69851603501397	4.64690887353267	5.1620296229446	3.26075414394904	4.37678334781671	3.81838146363277	4.768362559742	4.27582433483233	4.33685813266444	4.29981391986447	4.43635711170819	3.45030681749937	4.5285978323566	4.16575495664874	3.08977045636584	4.40455765465246	4.53866427221572
AASDHPPT	4.9403651877806	4.09005036786265	4.80339236008686	4.97738043180474	4.19182982170615	4.44290567620294	4.82027081535811	3.88075952721861	4.58149104498196	3.96127010718299	4.30008706400975	3.55308077598626	4.49580194143457	4.54194277002304	4.30641324508339	4.03598130789371	4.84464834212348
AASDH	3.43669300355093	3.39323129097663	3.38606070514996	3.16717691645067	3.77729350640065	3.45252444729016	3.80153379460341	3.61043296954034	3.62103698142449	2.98287134117578	3.46924417602296	3.06571560407371	3.83406394936157	3.62353355323621	2.87365203198748	3.35277437211584	3.5892531606355
AASS	0.251749858923886	4.79009471143055	-5.06275905490668	5.23994018886787	4.18070092151984	2.71763037146734	4.93825322365654	2.83009595242403	3.70467819026282	-1.41649516809587	-1.98575271374234	3.54081975373563	5.60844215265257	0.470995940194412	4.72854257917615	5.50156525245734	4.62593822292995
AATF	6.11828516983926	6.23727830321193	6.32488624899131	7.09793999585612	6.14791313696028	6.22953535619652	6.40681545864475	7.22038571998013	6.26970048739144	6.26156065929851	6.25280449648931	6.10234274853112	6.38479824600556	6.07377647125553	6.83110975215832	6.41741981622328	5.75827877478322
AATK	2.56192846241537	2.28144651337642	2.2127589174438	2.58021704853058	3.93925735287739	4.74535724474713	3.18145940050246	2.84047976818905	3.19449792974961	3.56384985850614	3.25377762016469	4.75343680294938	1.77627160469429	3.49730376822626	1.89586412351045	4.00968495771337	1.60074656842172
ABAT	3.53317388615638	4.81629473887137	3.49558131504699	3.66797260728688	3.3781056121166	5.63303546291603	4.57965328003479	4.03789958986282	4.41974217897494	3.39628929466803	3.49099348479557	4.30895169663571	4.64617203961516	3.71846845119927	2.71518882957857	2.94441386517047	2.6383941816061
ABCA10	7.35539248951952	6.67415608668671	7.63845393288593	5.27953909664868	6.28127151955607	8.91099512278927	6.85468601148443	5.32637622571638	5.92893994790781	7.03193209997508	8.12732954098887	8.50245401620862	5.56694418703685	7.34136480278138	5.58192847205898	6.50256725035056	6.01772874334677
