"","A","B"
"2","MAR03905","ADHFE1"
"3","MAR03905","ADH6"
"4","MAR03905","ZADH2"
"5","MAR03905","ADH1A"
"6","MAR03905","ADH7"
"7","MAR03905","ADH1B"
"8","MAR03905","ADH5"
"9","MAR03905","ADH4"
"10","MAR03905","ADH1C"
"21","MAR03907","AKR1A1"
"22","MAR04097","ACSS2"
"23","MAR04099","ACSS3"
"31","MAR04099","ACSS1"
"24","MAR04108","ACSS2"
"25","MAR04133","ACSS2"
"27","MAR04281","LDHB"
"32","MAR04281","LDHA"
"41","MAR04281","UEVLD"
"51","MAR04281","LDHC"
"61","MAR04281","LDHAL6A"
"71","MAR04281","LDHAL6B"
"28","MAR04388","LDHB"
"33","MAR04388","LDHA"
"42","MAR04388","UEVLD"
"52","MAR04388","LDHC"
"62","MAR04388","LDHAL6A"
"72","MAR04388","LDHAL6B"
"29","MAR04283","ALDH3B1"
"34","MAR04283","ALDH3A1"
"43","MAR04283","ALDH3B2"
"53","MAR04283","ALDH1A3"
"210","MAR08357","ALDH3A2"
"35","MAR08357","ALDH2"
"44","MAR08357","ALDH1B1"
"54","MAR08357","ALDH9A1"
"63","MAR08357","ALDH7A1"
"211","MAR04379","PFKP"
"36","MAR04379","PFKL"
"45","MAR04379","PFKM"
"212","MAR04301","PFKP"
"37","MAR04301","PFKL"
"46","MAR04301","PFKM"
"55","MAR04301","CFAP410"
"213","MAR04355","ALDOC"
"38","MAR04355","ALDOB"
"47","MAR04355","ALDOA"
"214","MAR04358","PKM"
"39","MAR04358","TMEM54"
"48","MAR04358","PKLR"
"57","MAR04358","HCN3"
"215","MAR04360","ZADH2"
"216","MAR04363","ENO1"
"310","MAR04363","ENO3"
"49","MAR04363","ENO2"
"217","MAR04365","PGAM2"
"311","MAR04365","PGAM1"
"410","MAR04365","BPGM"
"58","MAR04365","PGAM4"
"218","MAR04368","CRISP3"
"312","MAR04368","PGK1"
"411","MAR04368","MIA3"
"59","MAR04368","PGK2"
"219","MAR04370","ACYP1"
"313","MAR04370","ACYP2"
"220","MAR04371","PGAM2"
"314","MAR04371","PGAM1"
"412","MAR04371","BPGM"
"510","MAR04371","PGAM4"
"221","MAR04372","BPGM"
"222","MAR04373","GAPDHS"
"315","MAR04373","GAPDH"
"223","MAR04375","ALDOC"
"316","MAR04375","ALDOB"
"413","MAR04375","ALDOA"
"224","MAR04377","FBP2"
"317","MAR04377","FBP1"
"225","MAR04381","GPI"
"226","MAR04391","TPI1"
"227","MAR04394","GCK"
"318","MAR04394","HKDC1"
"414","MAR04394","HK1"
"512","MAR04394","HK2"
"64","MAR04394","HK3"
"228","MAR04396","PGM1"
"319","MAR04396","PGM5"
"415","MAR04396","PGM2"
"229","MAR04521","G6PC1"
"320","MAR04521","G6PC3"
"416","MAR04521","G6PC2"
"232","MAR07745","GALM"
"233","MAR07747","ADPGK"
"234","MAR08360","CAT"
"235","MAR08652","G6PC1"
"321","MAR08652","G6PC3"
"417","MAR08652","G6PC2"
"236","MAR08757","CYP2E1"
"237","MAR03989","CAPN3"
"322","MAR03989","GAA"
"418","MAR03989","GANC"
"513","MAR03989","MGAM"
"238","MAR04122","UGDH"
"239","MAR04837","TREH"
"323","MAR04837","PGGHG"
"240","MAR05395","GYG2"
"324","MAR05395","GYG1"
"241","MAR05396","GYG2"
"325","MAR05396","GYS1"
"419","MAR05396","GYS2"
"514","MAR05396","GYG1"
"242","MAR09727","GYS1"
"326","MAR09727","GYS2"
"420","MAR09727","PPP1R3C"
"515","MAR09727","PPP1R3B"
"243","MAR05397","GBE1"
"244","MAR05398","PYGM"
"327","MAR05398","PYGL"
"421","MAR05398","PYGB"
"245","MAR05399","AGL"
"246","MAR05400","AGL"
"247","MAR05401","PYGM"
"328","MAR05401","PYGL"
"422","MAR05401","PYGB"
"248","MAR08568","LYZL1"
"329","MAR08568","AMY1B"
"423","MAR08568","AMY1C"
"516","MAR08568","AMY1A"
"65","MAR08568","AMY2B"
"73","MAR08568","AMY2A"
"249","MAR08569","LYZL1"
"330","MAR08569","AMY1B"
"424","MAR08569","AMY1C"
"517","MAR08569","AMY1A"
"66","MAR08569","AMY2B"
"74","MAR08569","AMY2A"
"250","MAR08570","LYZL1"
"331","MAR08570","AMY1B"
"425","MAR08570","AMY1C"
"518","MAR08570","AMY1A"
"67","MAR08570","AMY2B"
"75","MAR08570","AMY2A"
"251","MAR08571","LYZL1"
"332","MAR08571","AMY1B"
"426","MAR08571","AMY1C"
"519","MAR08571","AMY1A"
"68","MAR08571","AMY2B"
"76","MAR08571","AMY2A"
"252","MAR08572","LYZL1"
"333","MAR08572","AMY1B"
"427","MAR08572","AMY1C"
"520","MAR08572","AMY1A"
"69","MAR08572","AMY2B"
"77","MAR08572","AMY2A"
"253","MAR08573","LYZL1"
"334","MAR08573","AMY1B"
"428","MAR08573","AMY1C"
"521","MAR08573","AMY1A"
"610","MAR08573","AMY2B"
"78","MAR08573","AMY2A"
"254","MAR08574","LYZL1"
"335","MAR08574","AMY1B"
"429","MAR08574","AMY1C"
"522","MAR08574","AMY1A"
"611","MAR08574","AMY2B"
"79","MAR08574","AMY2A"
"255","MAR08575","LYZL1"
"336","MAR08575","AMY1B"
"430","MAR08575","AMY1C"
"523","MAR08575","AMY1A"
