DEFA4	QPCT
DEFA4	S100A9
DEFA4	PGLYRP1
DEFA4	BMX
DEFA4	PLBD1
DEFA4	MMP9
DEFA4	ELOVL3
DEFA4	NLRP13
DEFA4	UNC5CL
DEFA4	FCN1
DEFA4	C5orf13
DEFA4	GUCY2C
DEFA4	S100P
DEFA4	APOBEC3B
DEFA4	FCAR
DEFA4	ARHGAP25
DEFA4	HP1BP3
DEFA4	CLTC
DEFA4	CDADC1
DEFA4	GPR84
DEFA4	S100B
DEFA4	MOSC2
DEFA4	PADI2
DEFA4	IL1RN
DEFA4	TNFAIP8
DEFA4	TREML2P1
DEFA4	CD247
DEFA4	C19orf59
DEFA4	SIRT1
DEFA4	SLC15A4
DEFA4	ARG2
DEFA4	NLRC4
DEFA4	IGSF6
TMTC2	
TMTC2	RPS5
TMTC2	TTTY17B
TMTC2	DLL4
BCOR	NLGN4Y
BCOR	SS18L1
BCOR	RPS5
BCOR	TTTY17B
HOXB6	HOXB5
HOXB6	HOXB8
HOXB6	HOXB3
HOXB6	HOXB7
HOXB6	HOXB2
KIR3DL1	KIR3DL2
KIR3DL1	JAKMIP1
KIR3DL1	AFAP1L1
KIR3DL1	KLRC3
KIR3DL1	GZMA
KIR3DL1	B3GAT1
KIR3DL1	SAA1
KIR3DL1	GNLY
KIR3DL1	IL33
KIR3DL1	KRTAP5-10
KIR3DL1	CDHR3
KIR3DL1	KIF5C
KIR3DL1	TP53AIP1
KIR3DL1	NLRP7
KIR3DL1	FGFBP2
KIR3DL1	SLC20A1
KIR3DL1	OR1F2P
KIR3DL1	PRF1
KIR3DL1	LINGO2
KIR3DL1	RGS9
KIR3DL1	ZNF687
KIR3DL1	SH3RF3
KIR3DL1	PRSS35
KIR3DL1	LIM2
KIR3DL1	TBX4
KIR3DL1	PRSS27
KIR3DL1	WNT11
KIR3DL1	SBK2
KIR3DL1	TFE3
KIR3DL1	CAPN8
KIR3DL1	ACTN3
KIR3DL1	BFSP1
KIR3DL1	BFSP2
KIR3DL1	SP8
KIR3DL1	C1orf141
KIR3DL1	TTC1
KIR3DL1	GZMM
KIR3DL1	CCR6
KIR3DL1	C14orf183
KIR3DL1	TRIM10
KIR3DL1	IL22RA1
KIR3DL1	TIMM10
KIR3DL1	AGAP1
KIR3DL1	MCART6
KIR3DL1	KLRC1
KIR3DL1	PLCXD2
KIR3DL1	PLCH2
CXCL13	CD5
CXCL13	GPNMB
CXCL13	VCL
CXCL13	CCL19
CXCL13	SLCO3A1
CXCL13	CDH12
CXCL13	SCNN1D
CXCL13	C7orf10
CXCL13	LILRB5
CXCL13	AMPD1
CXCL13	HS3ST2
CXCL13	ACSM5
CXCL13	C4A
CXCL13	FMO2
CXCL13	IGSF21
CXCL13	APOE
CXCL13	CLDN1
ZNF845	GYPA
ZNF845	DARC
ZNF845	SLC4A11
ZNF845	TRIM14
ZNF845	RPS18
ZNF845	ANK1
ZNF845	ACSL6
ZNF845	XKR5
ZNF845	TMEM5
ZNF845	UGT2B15
ZNF845	LRRC20
ZNF845	FAM46C
ZNF845	RAP1GAP
ZNF845	PTPRH
ZNF845	LGALS3BP
ZNF845	JAZF1
CES1	CYP21A2
CES1	S1PR4
CES1	SLC6A14
CES1	CD1D
CES1	SLC24A5
CES1	FCER2
CES1	TBCB
CES1	KLF5
DPP10	SNORD116-15
PCDHB3	PCDHB6
PCDHB3	PCDHB4
PCDHB3	PCDHB5
TOE1	PKLR
TOE1	YEATS2
TOE1	KLHDC8B
TOE1	PAGE2
TOE1	LOC643008
TOE1	GRHL1
TOE1	TSPY3
SLC45A1	OXT
SLC45A1	SLC17A8
NKX2-3	HOXB5
NKX2-3	CLDN11
NKX2-3	DZIP1L
NKX2-3	SIAE
NKX2-3	OCLN
NKX2-3	RAB39B
COL4A5	UGT1A10
ZNF266	KCNJ11
PRG3	FERMT2
PRG3	C7orf10
PRG3	CLDN1
HOXA1	HOXA11
HBG2	HBM
HBG2	HBB
PXK	C1orf59
PXK	FLJ30679
MNX1	LHFP
MNX1	MSMB
PRAMEF10	NPAS3
PRAMEF10	PCDHB17
OR2A9P	WTAP
OR2A9P	TMEM204
LOC162632	FAM106C
LOC162632	BHLHA15
KIR3DS1	TMTC3
ZFP64	MOGAT1
LOC100132288	FEZ1
LOC100132288	LASS4
NLGN4Y	TTTY17B
SNORD116-23	SNORD116-1
SNORD116-23	SNORD116-28
SNORD116-23	SNORD116-19
SNORD116-23	SNORD116-22
SNORD116-23	SNORD116-26
SNORD116-23	SNORD119
SNORD116-23	SNORD116-2
SNORD116-23	SNORD116-18
SNORD116-23	SNORD116-27
SNORD116-23	SNORD116-12
SNORD116-23	SNORD116-29
PCDHB9	PCDHB18
PCDHB9	PCDHB14
PCDHB9	PCDHB12
DPPA4	PCDHA5
DPPA4	MORN4
PCDHB6	ITGA9
LOC644172	ARL2BP
CNTNAP3	PI3
CNTNAP3	G0S2
CNTNAP3	ALPL
CNTNAP3	CYP27C1
CNTNAP3	LIF
CNTNAP3	MMP9
CNTNAP3	ARHGAP5
CNTNAP3	C5orf13
CNTNAP3	CLEC17A
CNTNAP3	FFAR2
CNTNAP3	FZD3
CNTNAP3	NHSL1
CNTNAP3	KCNJ2
CNTNAP3	PADI2
CNTNAP3	TBCB
CNTNAP3	TGFB3
CNTNAP3	LAMB3
CNTNAP3	SLC46A3
CNTNAP3	GPR77
CNTNAP3	TNFRSF12A
CNTNAP3	C17orf107
SELK	ABCC1
SELK	GYPA
SELK	REL
SELK	RNF183
SELK	HBBP1
SELK	SOX7
SELK	DARC
SELK	SLC4A11
SELK	SEC16A
SELK	HBM
SELK	TRIM14
SELK	AHSP
SELK	ATP1B2
SELK	HBA1
SELK	ALAS2
SELK	SLC6A20
SELK	SLC25A23
SELK	ACHE
SELK	IFIT1
SELK	KRT10
SELK	ITLN1
SELK	SFRP4
SELK	HBA2
SELK	PAQR9
SELK	PBX1
SELK	RAB3IP
SELK	CA10
SELK	HEPACAM
SELK	ARHGEF3
SELK	NRXN3
SELK	ANK1
SELK	FAM83A
SELK	AQP10
SELK	ACSL6
SELK	SPTBN2
SELK	XKR5
SELK	EPB42
SELK	TMEM5
SELK	MYL4
SELK	RHBDD1
SELK	CDH10
SELK	KLHDC8B
SELK	GYPB
SELK	HBD
SELK	LRRC20
SELK	PLEKHA1
SELK	HBB
SELK	PLVAP
SELK	TGM6
SELK	C17orf99
SELK	SLC7A10
SELK	PHOSPHO1
SELK	KEL
SELK	AK7
SELK	CR1
SELK	FHIT
SELK	EPB49
SELK	FAM46C
SELK	NFIA
SELK	TMCO2
SELK	ANKRD9
SELK	RAP1GAP
SELK	OSBPL10
SELK	FLJ40330
SELK	ARHGEF16
SELK	TMC8
SELK	HNRNPA3
SELK	PTPRH
SELK	GYPE
SELK	SLC6A9
SELK	ABCG2
SELK	BPGM
SELK	LOC388588
SELK	SLC14A2
SELK	JAZF1
SELK	C5orf41
SELK	DNAJA4
SELK	SLC25A39
SELK	FECH
COL3A1	FBLN2
COL3A1	DNASE1
COL3A1	LILRB5
COL3A1	SDC4P
COL3A1	TRPC1
KIR2DS4	THNSL2
AGR2	MCHR1
AGR2	AQP3
FAM75C1	CHODL
ABCC1	GYPA
ABCC1	HBBP1
ABCC1	SOX7
ABCC1	DARC
ABCC1	SLC4A11
ABCC1	SEC16A
ABCC1	LTF
ABCC1	HBM
ABCC1	TRIM14
ABCC1	AHSP
ABCC1	ATP1B2
ABCC1	HBA1
ABCC1	ALAS2
ABCC1	SLC6A20
ABCC1	ACHE
ABCC1	IFIT1
ABCC1	HBA2
ABCC1	PAQR9
ABCC1	PBX1
ABCC1	RAB3IP
ABCC1	CA10
ABCC1	HEPACAM
ABCC1	ARHGEF3
ABCC1	ANK1
ABCC1	SPTBN2
ABCC1	EPB42
ABCC1	TMEM5
ABCC1	MYL4
ABCC1	CDH10
ABCC1	GYPB
ABCC1	RUNDC3B
ABCC1	PLEKHA1
ABCC1	HBB
ABCC1	PHOSPHO1
ABCC1	FHIT
ABCC1	EPB49
ABCC1	TMCO2
ABCC1	TMC8
ABCC1	TMOD4
ABCC1	SLC6A9
ABCC1	ABCG2
ABCC1	BPGM
ABCC1	SLC14A2
ABCC1	SLC25A39
ABCC1	FECH
MEG3	RTN1
CRISP3	
CRISP3	CHI3L1
CRISP3	SOX7
CRISP3	SLC4A11
CRISP3	SEC16A
CRISP3	TRIM14
CRISP3	AHSP
CRISP3	ATP1B2
CRISP3	ACHE
CRISP3	PAQR9
CRISP3	CRISP2
CRISP3	CA10
CRISP3	ARHGEF3
CRISP3	FAM83A
CRISP3	LRRC20
CRISP3	HP1BP3
CRISP3	KEL
CRISP3	FHIT
CRISP3	SLC25A39
GYPA	RNF183
GYPA	HBBP1
GYPA	CHI3L1
GYPA	SOX7
GYPA	DARC
GYPA	SLC4A11
GYPA	ART5
GYPA	SEC16A
GYPA	HBM
GYPA	TRIM14
GYPA	AHSP
GYPA	ATP1B2
GYPA	HBA1
GYPA	ALAS2
GYPA	SLC6A20
GYPA	SLC25A23
GYPA	ACHE
GYPA	IFIT1
GYPA	HBA2
GYPA	PAQR9
GYPA	RPS18
GYPA	RAB3IP
GYPA	CA10
GYPA	HEPACAM
GYPA	ARHGEF3
GYPA	ANK1
GYPA	FAM83A
GYPA	AQP10
GYPA	SPTBN2
GYPA	XKR5
GYPA	EPB42
GYPA	TMEM5
GYPA	MYL4
GYPA	TRPS1
GYPA	RHBDD1
GYPA	CDH10
GYPA	UGT2B15
GYPA	GYPB
GYPA	HBD
GYPA	LRRC20
GYPA	PLEKHA1
GYPA	HBB
GYPA	TGM6
GYPA	C17orf99
GYPA	SLC7A10
GYPA	PHOSPHO1
GYPA	OSBPL7
GYPA	KEL
GYPA	AK7
GYPA	CR1
GYPA	FHIT
GYPA	EPB49
GYPA	FAM46C
GYPA	NFIA
GYPA	TMCO2
GYPA	RAP1GAP
GYPA	OSBPL10
GYPA	FLJ40330
GYPA	ARHGEF16
GYPA	TMC8
GYPA	RHCG
GYPA	TMOD4
GYPA	GYPE
GYPA	SLC6A9
GYPA	ABCG2
GYPA	BPGM
GYPA	SLC14A2
GYPA	JAZF1
GYPA	LOC200030
GYPA	DNAJA4
GYPA	SLC25A39
GYPA	FECH
SORCS2	CYP4F3
C20orf202	CXCL6
C20orf202	WTIP
C20orf202	LRTM2
HOXB5	HOXB8
HOXB5	HOXB3
HOXB5	HOXB4
HOXB5	HOXB2
PCDHB4	PCDHB5
REL	HBBP1
REL	SLC4A11
REL	AHSP
REL	ALAS2
REL	ACHE
REL	IFIT1
REL	SFRP4
REL	HBA2
REL	CA10
REL	HEPACAM
REL	ANK1
REL	SPTBN2
REL	EPB42
REL	CDH10
REL	GYPB
REL	RUNDC3B
REL	LRRC20
REL	PHOSPHO1
REL	FHIT
REL	TMCO2
REL	RAP1GAP
REL	BPGM
REL	SLC14A2
REL	SLC25A39
REL	FECH
FCRL1	TCN1
FCRL1	COL19A1
FCRL1	FCRL5
FCRL1	FCRL2
FCRL1	FCRLA
FCRL1	POU2AF1
FCRL1	KLHL17
FCRL1	KLRC2
FCRL1	ZNF878
FCRL1	BNC2
FCRL1	PTCHD1
FCRL1	THOC4
FCRL1	GPR151
FCRL1	DGKK
FCRL1	FCRL3
FCRL1	FOXD1
FCRL1	KLRC3
FCRL1	C21orf82
FCRL1	GZMA
FCRL1	PCDH11X
FCRL1	PTPRN2
FCRL1	PLEKHG2
FCRL1	NUAK1
FCRL1	SAA1
FCRL1	GNLY
FCRL1	ARHGAP5
FCRL1	UHRF1BP1L
FCRL1	ADAMTS12
FCRL1	LARGE
FCRL1	C2orf73
FCRL1	PLXDC1
FCRL1	CLEC17A
FCRL1	XDH
FCRL1	CLCN5
FCRL1	ZNF837
FCRL1	PERP
FCRL1	EPHX4
FCRL1	IGSF9
FCRL1	HOOK1
FCRL1	OR2A7
FCRL1	TP53AIP1
FCRL1	NLRP7
FCRL1	MGC87042
FCRL1	FGFBP2
FCRL1	TNKS1BP1
FCRL1	SYNPO2
FCRL1	SLC20A1
FCRL1	PRF1
FCRL1	CXCR5
FCRL1	LINGO2
FCRL1	C10orf35
FCRL1	GIP
FCRL1	PLA2G16
FCRL1	VKORC1L1
FCRL1	ZNF805
FCRL1	CARD14
FCRL1	PRSS35
FCRL1	LIM2
FCRL1	PHLDB2
FCRL1	ASTN2
FCRL1	SLC26A2
FCRL1	PARM1
FCRL1	PRSS27
FCRL1	TGFB3
FCRL1	PDGFD
FCRL1	POU5F1
FCRL1	APBA2
FCRL1	ID3
FCRL1	SBK2
FCRL1	TSC22D1
FCRL1	P4HA2
FCRL1	TFE3
FCRL1	BFSP1
FCRL1	SUCNR1
FCRL1	CCDC50
FCRL1	FEZ1
FCRL1	PSCA
FCRL1	ARSH
FCRL1	TTC1
FCRL1	GZMM
FCRL1	CCR6
FCRL1	SMAD9
FCRL1	C14orf183
FCRL1	CES8
FCRL1	CLIC3
FCRL1	IL22RA1
FCRL1	TNFSF8
FCRL1	GNAL
FCRL1	RAB31
FCRL1	TRIM36
FCRL1	SPOPL
FCRL1	KIAA0664
FCRL1	CBR1
FCRL1	AGAP1
FCRL1	MCART6
FCRL1	CELSR3
FCRL1	SLC30A5
FCRL1	TTC24
FCRL1	PPIA
COL1A2	CDH12
COL1A2	COL1A1
COL1A2	FMO2
RNF183	HBBP1
RNF183	SOX7
RNF183	SLC4A11
RNF183	TRIM14
RNF183	AHSP
RNF183	ATP1B2
RNF183	ALAS2
RNF183	IFIT1
RNF183	HBA2
RNF183	PAQR9
RNF183	CA10
RNF183	HEPACAM
RNF183	ARHGEF3
RNF183	SPTBN2
RNF183	EPB42
RNF183	TMEM5
RNF183	MYL4
RNF183	CDH10
RNF183	GYPB
RNF183	FHIT
RNF183	EPB49
RNF183	TMCO2
RNF183	RAP1GAP
RNF183	TMC8
RNF183	TMOD4
RNF183	SGK196
RNF183	SLC6A9
RNF183	BPGM
RNF183	SLC25A39
FBLN2	APOC1P1
FBLN2	ELOVL3
FBLN2	TRRAP
FBLN2	CLEC4GP1
FBLN2	HJURP
PCDHA5	PCDHA7
PCDHA5	PCDHA6
PCDHA5	PCDHA9
PCDHA5	PCDHAC1
PCDHA5	PCDHA1
PCDHA5	PCDHA2
PCDHA5	DPPA2
ENPEP	ACSM5
ENPEP	IGSF21
ENPEP	RNF103
HBBP1	SOX7
HBBP1	DARC
HBBP1	SLC4A11
HBBP1	ART5
HBBP1	SEC16A
HBBP1	HBM
HBBP1	TRIM14
HBBP1	AHSP
HBBP1	ATP1B2
HBBP1	HBA1
HBBP1	ALAS2
HBBP1	SLC6A20
HBBP1	ACHE
HBBP1	IFIT1
HBBP1	KRT10
HBBP1	SFRP4
HBBP1	HBA2
HBBP1	PAQR9
HBBP1	PBX1
HBBP1	RAB3IP
HBBP1	CA10
HBBP1	HEPACAM
HBBP1	ARHGEF3
HBBP1	NRXN3
HBBP1	ANK1
HBBP1	FAM83A
HBBP1	AQP10
HBBP1	ACSL6
HBBP1	SPTBN2
HBBP1	XKR5
HBBP1	EPB42
HBBP1	TMEM5
HBBP1	MYL4
HBBP1	RHBDD1
HBBP1	CDH10
HBBP1	KLHDC8B
HBBP1	SLC5A5
HBBP1	GYPB
HBBP1	RUNDC3B
HBBP1	HBD
HBBP1	LRRC20
HBBP1	PLEKHA1
HBBP1	PAGE2
HBBP1	HBB
HBBP1	PLVAP
HBBP1	TGM6
HBBP1	C17orf99
HBBP1	SLC7A10
HBBP1	PHOSPHO1
HBBP1	KLF11
HBBP1	OSBPL7
HBBP1	KEL
HBBP1	AK7
HBBP1	CR1
HBBP1	FHIT
HBBP1	EPB49
HBBP1	FAM46C
HBBP1	NFIA
HBBP1	TMCO2
HBBP1	ANKRD9
HBBP1	RAP1GAP
HBBP1	OSBPL10
HBBP1	ARHGEF16
HBBP1	TMC8
HBBP1	HNRNPA3
HBBP1	PTPRH
HBBP1	RHCG
HBBP1	TMOD4
HBBP1	GYPE
HBBP1	SLC6A9
HBBP1	GATA1
HBBP1	GMPR2
HBBP1	ABCG2
HBBP1	LANCL3
HBBP1	HBQ1
HBBP1	BPGM
HBBP1	LOC388588
HBBP1	SLC14A2
HBBP1	CA2
HBBP1	SLFN5
HBBP1	MAOA
HBBP1	LGALS3BP
HBBP1	JAZF1
HBBP1	C5orf41
HBBP1	LOC200030
HBBP1	DNAJA4
HBBP1	SLC25A39
HBBP1	FECH
ADRA2C	CADM4
ADRA2C	LAMP3
CHI3L1	TGM7
CHI3L1	RPS18
CHI3L1	ANKRD23
CHI3L1	S100A9
CHI3L1	SERPINB12
CHI3L1	BMX
CHI3L1	LIN7A
CHI3L1	ORM1
CHI3L1	ARHGAP25
CHI3L1	HP1BP3
CHI3L1	CLTC
CHI3L1	CDADC1
CHI3L1	NCF1C
CHI3L1	S100B
CHI3L1	MOSC2
CHI3L1	PADI2
CHI3L1	BASP1
CHI3L1	SLC22A17
CHI3L1	NFAM1
CHI3L1	DYSFIP1
CHI3L1	LRG1
CHI3L1	RNASE3
TCN1	CLDN11
TCN1	COL19A1
TCN1	FCRL2
TCN1	KLHL17
TCN1	ZNF878
TCN1	FOXD1
TCN1	MGC87042
ZNF562	TMEM200A
ZNF562	CNTNAP4
PPBPL2	TMEM42
PPBPL2	PF4V1
PPBPL2	CMTM5
PPBPL2	LY6G6F
PPBPL2	SPOCK1
PPBPL2	TREML3
PPBPL2	PROS1
PPBPL2	TUBB4Q
