source	target
DCDC2B	HDAC1
EIF3I	HDAC1
RP4-622L5.7	HDAC1
TMEM234	HDAC1
HDAC1	MARCKSL1
HDAC1	DCDC2B
HDAC1	EIF3I
HDAC1	RP4-622L5.7
HDAC1	TMEM234
HDAC1	6990
PDZK1IP1	TAL1
TAL1	MKNK1
TAL1	MOB3C
TAL1	ATPAF1
TAL1	EFCAB14-AS1
TAL1	TEX38
TAL1	CYP4A22-AS1
TAL1	LINC00853
TAL1	10680
TAL1	10681
TAL1	PDZK1IP1
TAL1	10683
TAL1	10684
TAL1	10685
TAL1	10686
TAL1	10693
TAL1	10694
TAL1	10695
TAL1	10696
TAL1	10697
TAL1	10699
TAL1	10700
TAL1	10707
TAL1	10708
TAL1	FOXD2
TAL1	10800
ATF3	RP11-61J19.4
ATF3	DTL
ATF3	INTS7
POLR3A	RPS24
POLR3A	86755
ANXA11	POLR3A
LINC00857	POLR3A
SMC3	BBIP1
SMC3	SHOC2
BBIP1	SMC3
SHOC2	SMC3
ACSL5	RP11-324O2.3
ACSL5	BBIP1
ACSL5	SHOC2
CHD4	NOP2
CHD4	143507
CHD4	RP5-940J5.6
CHD4	SCARNA11
ZNF384	143507
PA2G4	SMARCC2
RP11-977G19.5	SMARCC2
SMARCC2	PA2G4
NEK9	FOS
RP11-950C14.7	FOS
TMED10	FOS
RNU4ATAC14P	FOS
RP11-293M10.2	FOS
FOS	NUMB
FOS	227160
FOS	227214
FOS	227215
FOS	227216
FOS	227217
FOS	227218
FOS	227220
FOS	227227
FOS	227229
FOS	227231
FOS	227232
FOS	227236
FOS	227237
FOS	227242
FOS	227244
FOS	227272
FOS	227280
FOS	227281
FOS	227284
FOS	227285
FOS	227292
FOS	227293
FOS	227295
FOS	227296
FOS	227297
FOS	227298
FOS	227299
FOS	227300
FOS	227301
FOS	227303
FOS	NEK9
FOS	RP11-950C14.7
FOS	227305
FOS	227306
FOS	227307
FOS	227308
FOS	227309
FOS	227310
FOS	227311
FOS	227312
FOS	227313
FOS	227314
FOS	TMED10
FOS	227316
FOS	227317
FOS	227318
FOS	227319
FOS	227320
FOS	RNU4ATAC14P
FOS	227323
FOS	227324
FOS	227325
FOS	227326
FOS	227327
FOS	227328
FOS	227329
FOS	227330
FOS	227331
FOS	227332
FOS	227333
FOS	227334
FOS	227335
FOS	227336
FOS	227337
FOS	RP11-293M10.2
FOS	227339
FOS	227340
FOS	RP11-293M10.4
FOS	RP11-293M10.5
FOS	227346
FOS	227347
FOS	227348
FOS	227349
FOS	227350
FOS	227356
FOS	227357
FOS	227371
FOS	227373
FOS	227374
FOS	227375
FOS	227376
FOS	JDP2
FOS	RP11-293M10.6
FOS	227378
FOS	227380
FOS	227381
FOS	227382
FOS	227383
FOS	227384
FOS	227385
FOS	227386
FOS	227388
FOS	227389
FOS	227390
FOS	227391
FOS	227393
FOS	227394
FOS	227396
FOS	227397
FOS	227398
FOS	227401
FOS	227402
FOS	227403
FOS	227404
FOS	BATF
FOS	227406
FOS	227407
FOS	227408
FOS	227409
FOS	227411
FOS	227413
FOS	227414
FOS	227415
FOS	227416
FOS	227417
FOS	227418
FOS	227419
FOS	227420
FOS	227421
FOS	227422
FOS	227423
FOS	227424
FOS	227425
FOS	227426
FOS	227431
FOS	227432
FOS	227434
FOS	227436
FOS	227437
FOS	227438
FOS	227453
FOS	227454
FOS	227456
FOS	C14orf1
FOS	TTLL5
FOS	227458
FOS	227459
FOS	227777
FOS	227778
FOS	227780
FOS	227781
RP11-293M10.4	FOS
RP11-293M10.5	FOS
BATF	FOS
C14orf1	FOS
TTLL5	FOS
BRF1	PACS2
BRF1	235564
CYFIP1	ATP10A
ATP10A	RP11-2C7.1
ATP10A	CYFIP1
AC009133.14	MAZ
MAZ	PAGR1
MAZ	PRRT2
MAZ	DCTPP1
AC002553.1	NCOR1
NCOR1	RPLP1P11
NCOR1	282484
NCOR1	282493
NCOR1	282494
NCOR1	282497
NCOR1	282499
NCOR1	282502
NCOR1	282503
NCOR1	282505
NCOR1	282508
NCOR1	282510
NCOR1	282511
NCOR1	282512
NCOR1	AC002553.1
NCOR1	282517
NCOR1	282518
NCOR1	282519
NCOR1	282521
NCOR1	282522
NCOR1	282523
NCOR1	282528
NCOR1	RNU6-862P
NCOR1	282532
NCOR1	282533
NCOR1	282535
NCOR1	282536
NCOR1	282537
NCOR1	282554
NCOR1	282555
NCOR1	282557
NCOR1	282561
NCOR1	282562
NCOR1	MIR1288
NCOR1	282564
NCOR1	282565
NCOR1	282566
NCOR1	282567
NCOR1	282568
NCOR1	282569
NCOR1	282570
NCOR1	282574
NCOR1	282575
NCOR1	282576
NCOR1	282579
NCOR1	282582
NCOR1	282583
NCOR1	RP11-138I1.2
NCOR1	TRPV2
NCOR1	282585
NCOR1	282586
NCOR1	FAM211A-AS1
NCOR1	FAM211A
NCOR1	RP11-138I1.3
NCOR1	282600
NCOR1	282601
NCOR1	282602
NCOR1	SUPT4H1
MIR1288	NCOR1
CENPV	NCOR1
RP11-138I1.4	NCOR1
UBB	NCOR1
RP11-138I1.2	NCOR1
TRPV2	NCOR1
CBX2	AC139149.1
CBX2	ACTG1
CBX2	RP13-766D20.1
CBX2	RP13-766D20.2
CBX8	RP11-353N14.1
CBX8	AC139149.1
CBX8	ACTG1
CBX8	RP13-766D20.1
CBX8	RP13-766D20.2
AC139149.1	CBX2
ACTG1	CBX2
RP13-766D20.1	CBX2
RP13-766D20.2	CBX2
AC139149.1	CBX8
ACTG1	CBX8
RP13-766D20.1	CBX8
RP13-766D20.2	CBX8
AC074117.10	GTF3C2
GTF3C2	SLC4A1AP
GTF3C2	SUPT7L
BIRC6-AS1	CEBPZ
CEBPZ	NDUFAF7
GPATCH11	CEBPZ
HEATR5B	CEBPZ
CEBPZ	342725
CEBPZ	342727
CEBPZ	342859
CEBPZ	342861
CEBPZ	342865
CEBPZ	342866
CEBPZ	342867
CEBPZ	342869
CEBPZ	342871
CEBPZ	342872
CEBPZ	342874
CEBPZ	342876
CEBPZ	342877
CEBPZ	342878
CEBPZ	342880
CEBPZ	342884
CEBPZ	342886
CEBPZ	342888
CEBPZ	342889
CEBPZ	342890
CEBPZ	343038
CEBPZ	343089
CEBPZ	343092
CEBPZ	343095
CEBPZ	343096
CEBPZ	343127
CEBPZ	343129
ATL2	CEBPZ
GEMIN6	CEBPZ
SRSF7	CEBPZ
ARHGEF33	CEBPZ
AC009487.4	SLC4A10
AC009487.5	SLC4A10
SLC4A10	377371
SLC4A10	AC009336.1
SLC4A10	HOXD10
SLC4A10	HOXD11
AC096649.2	ATF2
ATF2	MIR933
ATF2	AC009336.1
ATF2	HOXD10
ATF2	HOXD11
AC009336.1	SLC4A10
HOXD10	SLC4A10
HOXD11	SLC4A10
CHKB-AS1	CPT1B
CHKB-CPT1B	CPT1B
CHKB	CPT1B
CPT1B	CTA-384D8.33
CPT1B	436784
TMEM43	SLC6A6
SLC6A6	440786
SLC6A6	440835
SLC6A6	440836
SLC6A6	440837
SLC6A6	440838
SLC6A6	440839
SLC6A6	440925
SLC6A6	440930
SLC6A6	440933
SLC6A6	440934
SLC6A6	440941
SLC6A6	440942
SLC6A6	440943
SLC6A6	440944
SLC6A6	440945
SLC6A6	440946
SLC6A6	440947
SLC6A6	440948
SLC6A6	440949
SLC6A6	440950
SLC6A6	440951
SLC6A6	440955
SLC6A6	440957
SLC6A6	440959
SLC6A6	440960
SLC6A6	440961
SLC6A6	440981
SLC6A6	440982
SLC6A6	440984
SLC6A6	440985
SLC6A6	440986
SLC6A6	440988
SLC6A6	440989
SLC6A6	440990
SLC6A6	440991
SLC6A6	440992
SLC6A6	440994
KAT2B	AC144521.1
KAT2B	SATB1
KAT2B	TBC1D5
SLC22A13	ACAA1
SLC22A13	MYD88
AC012467.1	SLC6A6
ACTR8	SLC6A6
RAB28	ATP8A1
ATP8A1	RP11-109E24.2
RP11-814H16.2	ATP8A1
SLC30A9	ATP8A1
ATP8A1	RAB28
ATP8A1	SEL1L3
ATP8A1	SMIM20
ATP8A1	503790
ATP8A1	STIM2
ATP8A1	506988
ATP8A1	506990
ATP8A1	ARAP2
ATP8A1	RP11-431M7.3
ATP8A1	506994
ATP8A1	507437
ATP8A1	RELL1
ATP8A1	507439
ATP8A1	507920
ATP8A1	RP11-457P14.6
ATP8A1	TMEM33
ATP8A1	508612
ATP8A1	508613
ATP8A1	DCAF4L1
ATP8A1	508626
ATP8A1	RP11-814H16.2
ATP8A1	SLC30A9
ATP8A1	508628
ATP8A1	BEND4
ATP8A1	508786
ATP8A1	508791
ATP8A1	508799
ATP8A1	508801
ATP8A1	508802
ATP8A1	508803
ATP8A1	508804
ATP8A1	508806
ATP8A1	508807
ATP8A1	508808
ATP8A1	508809
ATP8A1	508810
ATP8A1	508811
ATP8A1	508812
ATP8A1	508813
ATP8A1	508814
ATP8A1	508815
ATP8A1	508816
ATP8A1	508817
ATP8A1	508818
ATP8A1	508819
ATP8A1	508820
ATP8A1	508821
ATP8A1	508822
ATP8A1	508823
ATP8A1	508824
ATP8A1	508827
