"tf"	"target"	"mor"	"likelihood"	"state"
"ADNP"	"SLC12A4"	-0.367189950123305	1	"inhibition"
"ADNP"	"NDRG3"	0.136727526212275	1	"activation"
"ADNP"	"EIF4H"	0.994256051381493	1	"activation"
"ADNP"	"KCNAB3"	-0.406801510390809	1	"inhibition"
"ADNP"	"TNFRSF1A"	-0.11658818629154	1	"inhibition"
"ADNP"	"PHF10"	0.440265348677256	1	"activation"
"ADNP"	"DENND5B"	0.554390027628104	1	"activation"
"ADNP"	"ZNF263"	0.295339360091401	1	"activation"
"ADNP"	"ISCA2"	0.93734367199781	1	"activation"
"ADNP"	"ITM2C"	0.973824602971243	1	"activation"
"ADNP"	"ACER3"	0.236870443595602	1	"activation"
"ADNP"	"C1orf146"	-0.0459553041265687	1	"inhibition"
"ADNP"	"CUTC"	0.594789351713617	1	"activation"
"ADNP"	"FAIM"	-0.976074062536564	1	"inhibition"
"ADNP"	"CEP97"	0.384093772468123	1	"activation"
"ADNP"	"PER1"	0.222741128702321	1	"activation"
"ADNP"	"TJP3"	0.690307680509029	1	"activation"
"ADNP"	"SV2A"	0.84900890413578	1	"activation"
"ADNP"	"EIF5AL1"	0.932648043393074	1	"activation"
"ADNP2"	"MYL12A"	0.996679764419277	1	"activation"
"ADNP2"	"ZFP90"	0.998629327111566	1	"activation"
"ADNP2"	"ZNF317"	0.998302580980616	1	"activation"
"ADNP2"	"RPAP1"	0.61964775135488	1	"activation"
"ADNP2"	"SCD"	0.2927981031739	1	"activation"
"ADNP2"	"SFTPC"	0.904170864753276	1	"activation"
"ADNP2"	"UQCRHL"	0.498027681304171	1	"activation"
"ADNP2"	"LONRF3"	-0.235587125303705	1	"inhibition"
"ADNP2"	"PLEKHJ1"	-0.99649440863497	1	"inhibition"
"ADNP2"	"CMPK2"	-0.904249687643709	1	"inhibition"
"ADNP2"	"KATNAL1"	0.771289557728482	1	"activation"
"ADNP2"	"NUDCD2"	0.997903082539699	1	"activation"
"ADNP2"	"SNORD17"	0.891375828557685	1	"activation"
"AEBP1"	"CSPG4"	0.179354621246195	1	"activation"
"AEBP1"	"KIR2DL3"	-0.018181608845805	1	"inhibition"
"AEBP1"	"ZNF362"	0.868779024516671	1	"activation"
"AEBP1"	"FRAT2"	-0.154621929620259	1	"inhibition"
"AEBP1"	"ATP6V1G1"	0.936198126178479	1	"activation"
"AEBP1"	"APTX"	0.949091037897681	1	"activation"
"AEBP1"	"IL15"	0.610935375356732	1	"activation"
"AEBP1"	"ACTR8"	0.903063744649073	1	"activation"
"AEBP1"	"ST3GAL1"	-0.0696171646700533	1	"inhibition"
"AEBP1"	"ZNF354C"	0.721025274489062	1	"activation"
"AEBP1"	"KCTD17"	0.606553320999279	1	"activation"
"AEBP2"	"NR1D1"	0.998711141807414	1	"activation"
"AEBP2"	"NDUFB3"	-0.264841252915081	1	"inhibition"
"AEBP2"	"FCRLB"	0.733278053726927	1	"activation"
"AEBP2"	"DNAJC19"	0.96482082104092	1	"activation"
"AEBP2"	"STMN1"	0.405987390737383	1	"activation"
"AEBP2"	"TAOK1"	0.774555682380687	1	"activation"
"AEBP2"	"ZSWIM7"	0.441771281327082	1	"activation"
"AEBP2"	"TRPM7"	0.105060285256432	1	"activation"
"AEBP2"	"TPRG1"	-0.101431020770749	1	"inhibition"
"AEBP2"	"ZBTB42"	0.99672804234204	1	"activation"
