"ID"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"eigenvalue"	"Page_Rank"	"size"	"nes"	"pval"	"pval.fdr"
"A1BG"	1.44539901540254	1.74140079819435	2.85848429681227	0.00627943729502158	0.616286209547764	-2.37575970643626	-8.09165261954129	-9.83470817512881	0	0	1	1
"A2M"	2.3629345968789	-2.39995124570396	3.35459126245183	0.0015596606250466	0.47596169021951	-1.37591227335413	-7.99733881729511	-9.46781119242381	0	0	1	1
"A4GALT"	-2.8611239475696	-0.621247374372882	-2.04464154333506	0.0463956928885186	0.857199360511922	-3.77527123738289	-5.22163354109531	-9.26800061701345	0	0	1	1
"AACS"	0.215638754666659	-7.47713043282197	0.801850463808589	0.426591790600832	0.945241499105275	-5.12971353364585	-8.51135203314303	-10.3063337253532	0	0	1	1
"AADAT"	-1.61532483494152	-0.56350666327237	-1.32803905382675	0.19044639406695	0.945241499105275	-4.6880337362267	-7.71324893636408	-9.27039733676754	0	0	1	1
"AAGAB"	-0.0816250337640634	5.01547209403278	-0.575575288596482	0.567591229793923	0.945241499105275	-5.25473414861448	-8.81590702018011	-9.75822692283358	0	0	1	1
"AAK1"	0.131622099348114	6.51597966350654	0.462132154956958	0.646074643291418	0.949440601148947	-5.30220775260837	-4.22093250876569	-9.53468445413957	0	0	1	1
"AAMP"	0.0934805541939703	5.75188277889865	0.356176000673665	0.723269693071768	0.956514444706596	-5.33726288431896	-7.36548070466698	-9.8066150021306	0	0	1	1
"AANAT"	-0.875560087615523	-2.36785987673755	-1.32038158370521	0.192969806797394	0.945241499105275	-4.69591899571359	-4.13921527310067	-9.57523785951585	0	0	1	1
"AARSD1"	0.0587903018701583	5.13706627939427	0.199754462247731	0.842516546331448	0.97655950564435	-5.37249752096981	-8.37672322466307	-10.2589658866019	0	0	1	1
"AASDH"	0.179728361413014	3.54035078536099	1.03452641745299	0.306074716878933	0.945241499105275	-4.95988426342942	-7.13253779580835	-9.81381782897844	0	0	1	1
"AASDHPPT"	0.32415520885333	4.51715914767237	1.48325541252747	0.144543926356171	0.945241499105275	-4.51930725761558	-8.1240661759211	-10.2512442187749	0	0	1	1
"AATF"	0.0655826991422996	6.2865199707308	0.39144801697462	0.697198645192594	0.95361326326451	-5.32659324313041	-11.0098365965703	-10.2168652156333	0	0	1	1
"AATK"	-1.44592570218519	2.31637226814464	-2.9662763374349	0.00468683315450547	0.579547193293248	-2.16668058198196	-8.85006252793287	-9.82337509669619	0	0	1	1
"ABCA1"	0.561372762026664	-6.01832887003148	0.822148184686106	0.415058312106698	0.945241499105275	-5.11654769096897	-7.66215924001473	-10.2874911920481	0	0	1	1
"ABCA11P"	0.470835701464396	-0.117708610065462	0.874739508045503	0.386072010688263	0.945241499105275	-5.08095791474219	-9.81475185511981	-10.2175613895053	0	0	1	1
"ABCA12"	0.311919190570706	1.03841157941754	0.720969592645976	0.474425506651931	0.945241499105275	-5.17900274219067	-6.67286218863421	-10.2484530775998	0	0	1	1
"ABCA13"	1.99347753489744	-1.84406054564181	2.21152354807434	0.0317951777235903	0.834905591980161	-3.51676719454577	-6.16426542559494	-9.28165857048113	0	0	1	1
"ABCA2"	-0.343262351647124	7.66923992845248	-1.03028589462325	0.308039938076009	0.945241499105275	-4.96334647605916	-5.29080858618677	-9.52336713359017	0	0	1	1
"ABCA3"	-0.393478881092094	4.43670858374783	-0.959742202372224	0.341995066553255	0.945241499105275	-5.01895860226599	-7.26681719917562	-10.2149115069397	0	0	1	1
"ABCA4"	0.726617056687653	-3.43721351981327	0.849556848974379	0.399789404712758	0.945241499105275	-5.09826504217325	-7.37602343573033	-9.82036466696179	0	0	1	1
"ABCA5"	-0.167131828623039	3.35413720229336	-0.210201068289185	0.83440055219032	0.975834104718457	-5.37076046171291	-9.86571300813437	-10.1807466648895	0	0	1	1
"ABCA6"	1.53817903591963	-0.178830172674651	1.66552419628287	0.102323186448566	0.94186677617265	-4.30007577549765	-7.31001105268194	-9.82798526982319	0	0	1	1
"ABCA7"	-0.67080798713576	7.11243187745742	-2.99532594416259	0.00432720684935586	0.57646188006978	-2.10951162578036	-10.931443624145	-10.1756969124724	0	0	1	1
"ABCA9"	0.830548279845838	-0.512495700749776	0.897205828266518	0.374087636127106	0.945241499105275	-5.06510729188874	-9.58043285696905	-10.2162400210731	0	0	1	1
"ABCB1"	1.09315565253217	-3.95652782056667	1.10378920038403	0.275187970820184	0.945241499105275	-4.90143383033414	-8.32323267125887	-9.76650903890447	0	0	1	1
"ABCB10"	-0.864122526037716	5.74625064349487	-1.44280823192951	0.155569383533924	0.945241499105275	-4.56489384027471	-7.49999262376001	-9.46704172419491	0	0	1	1
"ABCB4"	0.0863693416122407	1.45565385408097	0.176270363171333	0.860823213257158	0.979563151703286	-5.37607984199428	-9.31508474817166	-9.77550776961289	0	0	1	1
"ABCB6"	-0.583679426667771	3.66007555544434	-1.00417612704723	0.320329688536022	0.945241499105275	-4.984366699842	-7.49858056963745	-9.46993884536749	0	0	1	1
"ABCB7"	0.101760292330308	6.04697552711739	0.525963560950519	0.601335492814229	0.945241499105275	-5.27675535355878	-7.95952743395617	-10.2665578446741	0	0	1	1
"ABCB8"	0.201084679729058	3.33060011835421	0.739131381457765	0.463426838072221	0.945241499105275	-5.16837795760618	-3.88241756014454	-9.55812275242877	0	0	1	1
"ABCB9"	-0.297503809359594	0.947044735091756	-0.644343687718212	0.522420271119638	0.945241499105275	-5.22098782409943	-8.85173543721515	-9.74836385353364	0	0	1	1
"ABCC1"	-1.23357417160665	-1.64513522985055	-0.763602960980221	0.44884135956537	0.945241499105275	-5.15365546626594	-8.60562443013818	-10.2462161068905	0	0	1	1
"ABCC10"	0.292556800955406	7.90179878006806	0.98696208496182	0.328610778500739	0.945241499105275	-4.99794472846417	-7.88848596223145	-10.224586945065	0	0	1	1
"ABCC13"	-0.254794679619584	-7.47511141009228	-1.03179822267488	0.307338081421062	0.945241499105275	-4.96211326821873	-5.494649068366	-10.3163256636754	0	0	1	1
"ABCC2"	0.224506288405712	3.28534474130743	0.743481922201504	0.460814093877172	0.945241499105275	-5.16579467562994	-9.24104777880215	-10.2404808692722	0	0	1	1
"ABCC3"	-1.01954021438024	1.58989619503423	-0.921804044195091	0.361241400016795	0.945241499105275	-5.04731022015074	-7.04279869199013	-10.247437981276	0	0	1	1
"ABCC5"	-0.33457582799872	5.40493738528001	-1.31121158973938	0.196024894652393	0.945241499105275	-4.70530684701514	-10.4194305143757	-10.2487583221259	0	0	1	1
"ABCC6"	-0.0483036608718326	-6.85814283563326	-0.0711104315775739	0.943605351234983	0.992486441365988	-5.38663780571399	-5.41468485563612	-9.83973094325632	0	0	1	1
"ABCD2"	-0.0334837866932052	0.905557370067524	-0.0229606122165219	0.981776885916638	0.995910495958732	-5.38847680229576	-1.28892869508997	-8.57181748629641	0	0	1	1
"ABCD3"	-0.107176235666078	6.13002519376905	-0.56891633196766	0.572065688686607	0.945241499105275	-5.25780331775801	-8.77886202456732	-10.255202311965	0	0	1	1
"ABCE1"	0.313294092383438	5.8150166892993	1.23209040073989	0.223917377792303	0.945241499105275	-4.78380548583041	-9.86571300813437	-10.1807466648895	0	0	1	1
"ABCG1"	0.0833293460003741	4.53177863601846	0.204483008133335	0.838840733188026	0.975834104718457	-5.37172220317034	-8.64328013252837	-10.278100339364	0	0	1	1
"ABCG2"	-1.48296705791025	1.84532819970108	-1.71127000147223	0.0934875838381973	0.940746830816311	-4.24158188566501	-5.494649068366	-10.3163256636754	0	0	1	1
"ABHD1"	-0.018802879030233	2.61253325729728	-0.0594973502119985	0.952803020186854	0.993379337315076	-5.38725359255206	-6.30191204509818	-10.2634903288793	0	0	1	1
"ABHD10"	0.206702313058119	0.329132059054351	0.546680047286497	0.587131280298769	0.945241499105275	-5.26779749525726	-8.26176236118487	-10.2876749955838	0	0	1	1
"ABHD11"	0.0992824935001613	4.05025532298253	0.445802661566753	0.657744385690064	0.951710245579171	-5.30819662960946	-6.69278964894143	-10.275496911652	0	0	1	1
"ABHD12"	-0.146289699826939	5.30952963779569	-0.641740570547594	0.524094837805238	0.945241499105275	-5.22233316931823	-8.84711705837105	-10.1774263135319	0	0	1	1
"ABHD12B"	0.151546889702237	1.97064364209569	0.42656329298076	0.671604684104774	0.953398861968933	-5.31497896376224	-9.54154884732916	-10.1993092514458	0	0	1	1
"ABHD13"	-0.858231578146324	1.74104009781817	-1.08893172860854	0.281621588004956	0.945241499105275	-4.91427271518363	-11.6077411674788	-10.1739456698585	0	0	1	1
"ABHD15"	-0.44795429315105	2.95317334348626	-1.49265509193744	0.142072241370961	0.945241499105275	-4.50855176611572	-8.47899686300085	-9.77659947682491	0	0	1	1
"ABHD2"	0.0494043187637025	6.2468979477327	0.207087019588907	0.83681800389445	0.975834104718457	-5.37128750684914	-7.45728090137662	-9.77844518835441	0	0	1	1
"ABHD4"	-0.000541814346496139	3.70455394803834	-0.00193218022023311	0.998466352895327	0.999963755944801	-5.38868934115256	-7.39497813435449	-10.2460580207746	0	0	1	1
"ABHD5"	-0.501506091973719	5.14922517088163	-1.3601059788169	0.180150904549751	0.945241499105275	-4.65456097377729	-7.95823953063231	-9.43493138100553	0	0	1	1
"ABHD6"	0.0877519753545013	1.36821008812365	0.232068914012773	0.817471160749508	0.973083877023931	-5.3668383482552	-8.89775202795717	-10.2245451698436	0	0	1	1
"ABHD8"	-0.243228476919555	2.14972473047372	-0.72301686208023	0.473178340302377	0.945241499105275	-5.17781794524982	-5.77611983349359	-9.2322240834049	0	0	1	1
"ABI2"	0.0325703440632541	2.97955544823768	0.0756045374921693	0.940047988127113	0.992282410989639	-5.38637012335461	-6.68362864241371	-9.77117356764	0	0	1	1
"ABI3"	-0.172376963442647	0.0485681059472293	-0.349567404748291	0.728192583094192	0.956632131891784	-5.33915070620739	-6.53344546934356	-10.27204918354	0	0	1	1
"ABI3BP"	0.514839009017876	2.27030911468501	0.64742454651255	0.520442047171887	0.945241499105275	-5.21938868088676	-6.98440054364752	-9.81844689072667	0	0	1	1
"ABL1"	-0.245372272629162	5.89707070741917	-0.972496415579599	0.335679495623543	0.945241499105275	-5.00918203994785	-10.4000639910291	-10.2208605148892	0	0	1	1
"ABL2"	0.243813891082678	4.80748569760163	1.2209096686329	0.228084225150087	0.945241499105275	-4.79453427059872	-9.24864589931839	-9.77670417338609	0	0	1	1
"ABLIM1"	0.278140240563038	5.68387366451782	0.551366368468413	0.583940468923646	0.945241499105275	-5.26572383774526	-6.2721140307776	-9.76440485950645	0	0	1	1
"ABLIM2"	0.954626512655885	-1.97813553440833	1.00619626369327	0.319367174519008	0.945241499105275	-4.98275863163922	-2.4432598240801	-9.93236476762814	0	0	1	1
"ABLIM3"	-0.886464283692352	-0.0675542042069899	-0.779262966082355	0.439650401917901	0.945241499105275	-5.1439898727717	-5.19729230774365	-9.47143823063902	0	0	1	1
"ABO"	-1.00155436579032	2.06235541881719	-0.754392986195578	0.454298889565945	0.945241499105275	-5.15925102131752	-7.79684986887833	-10.2618229351572	0	0	1	1
"ABRA"	-0.350343988718623	6.58459607959628	-1.01090756217935	0.31713002188144	0.945241499105275	-4.97899641773307	-4.286945352188	-10.3697544777199	0	0	1	1
"ABTB1"	-0.405486009407272	6.28834595319905	-1.12881574726628	0.264586270139395	0.945241499105275	-4.87943800658353	-7.22467003336801	-9.25556097796867	0	0	1	1
"ABTB2"	0.840557035339326	2.58660630020367	1.34845722482367	0.18384044527816	0.945241499105275	-4.66680464008356	-10.5892631282734	-10.2479459582976	0	0	1	1
"ACAA2"	-0.262223254384655	4.45153575978765	-0.597401157230596	0.553047762210845	0.945241499105275	-5.24442832035215	-6.52036242802212	-9.8431599283657	0	0	1	1
"ACAD10"	0.208902017244428	4.99965943658376	1.05374084132046	0.297277595843031	0.945241499105275	-4.9440278152648	-8.63488981471348	-9.81395683813477	0	0	1	1
"ACAD11"	0.505359565485797	4.49327558165519	1.80792900959794	0.0768859358424142	0.915247963715517	-4.11353082181426	-8.57111099356762	-10.2532417283854	0	0	1	1
"ACADS"	0.435530187332162	4.02300638497337	1.72968203502579	0.0901141394027106	0.933996942162892	-4.21765389044894	-6.97064492470807	-9.81860197897233	0	0	1	1
"ACADSB"	-0.284696905102418	4.30468991957657	-0.594742643398079	0.554809116594882	0.945241499105275	-5.24570378419253	-8.99215740486913	-10.235483210288	0	0	1	1
"ACADVL"	0.0220232862644956	8.80079636434334	0.112179071230662	0.911149281690475	0.988512849753739	-5.38358209307568	-8.36213442311998	-9.7865661630779	0	0	1	1
"ACAN"	-0.228567613462499	-1.84137701097425	-0.180793347334333	0.857291059052022	0.979027762963048	-5.37542462650293	-2.67025987770751	-9.57033637280315	0	0	1	1
"ACAP2"	-0.0398031068868008	7.0588924351375	-0.215591346947105	0.830219878085852	0.975834104718457	-5.36982961967691	-6.55898514275861	-9.50463541181179	0	0	1	1
"ACAP3"	-0.0261895071197271	4.83452941252364	-0.0784910252680209	0.937763800304196	0.992282410989639	-5.38618954908741	-8.9001224576656	-10.2211475463931	0	0	1	1
"ACAT1"	0.3895966635607	5.09688184159261	1.37684205394619	0.174949729913507	0.945241499105275	-4.63680251638099	-9.35754610410443	-10.1884908257259	0	0	1	1
"ACAT2"	0.526926740021151	4.07436411746211	2.23963497380964	0.0297830117251291	0.834905591980161	-3.47166580703754	-8.23279958339266	-10.2468756460758	0	0	1	1
"ACBD3"	0.145214570178527	4.97598100694995	0.850077860489916	0.399502571775166	0.945241499105275	-5.09791190522279	-8.22501649333964	-9.78209934942256	0	0	1	1
"ACBD4"	0.344079092198942	3.77706104031811	1.43534111475883	0.157675064640044	0.945241499105275	-4.5731859567733	-6.70602252350209	-9.83988883586092	0	0	1	1
"ACBD5"	0.295889979172657	6.03438021405674	1.9124446530277	0.0617970643986618	0.894548138010604	-3.96841556546912	-6.95230388364638	-9.47415697796346	0	0	1	1
"ACBD6"	0.163004167561962	5.16804250306282	0.745053439045252	0.459872402040813	0.945241499105275	-5.16485790891929	-6.49603122311454	-9.83546636037156	0	0	1	1
"ACBD7"	-0.292487654242451	-1.50570483677562	-0.711782574509159	0.480044974437616	0.945241499105275	-5.18427915157212	-8.90747724708352	-10.2777458923101	0	0	1	1
"ACCS"	-1.30335933390527	-5.61629058370219	-1.31448275560439	0.194930900231532	0.945241499105275	-4.70196484060757	-7.52566210236643	-10.2809982765457	0	0	1	1
