name,attr1,attr2,n
ARID3A,lalala,lalala,GRN
ATF1,lalala,lalala,GRN
ATF2,lalala,lalala,GRN
ATF3,lalala,lalala,GRN
BACH1,lalala,lalala,GRN
BATF,lalala,lalala,GRN
BCL11A,lalala,lalala,GRN
BCL3,lalala,lalala,GRN
BCLAF1,lalala,lalala,GRN
BDP1,lalala,lalala,GRN
BHLHE40,lalala,lalala,GRN
BRCA1,lalala,lalala,GRN
BRF1,lalala,lalala,GRN
BRF2,lalala,lalala,GRN
CBX2,lalala,lalala,GRN
CBX3,lalala,lalala,GRN
CBX8,lalala,lalala,GRN
CCNT2,lalala,lalala,GRN
CEBPB,lalala,lalala,GRN
CEBPD,lalala,lalala,GRN
CEBPZ,lalala,lalala,GRN
CHD1,lalala,lalala,GRN
CHD2,lalala,lalala,GRN
CHD4,lalala,lalala,GRN
CHD7,lalala,lalala,GRN
CREB1,lalala,lalala,GRN
CREBBP,lalala,lalala,GRN
CTCF,lalala,lalala,GRN
CUX1,lalala,lalala,GRN
E2F1,lalala,lalala,GRN
E2F4,lalala,lalala,GRN
E2F6,lalala,lalala,GRN
EBF1,lalala,lalala,GRN
EGR1,lalala,lalala,GRN
ELF1,lalala,lalala,GRN
ELK1,lalala,lalala,GRN
ELK4,lalala,lalala,GRN
EP300,lalala,lalala,GRN
ESRRA,lalala,lalala,GRN
ETS1,lalala,lalala,GRN
EZH2,lalala,lalala,GRN
FLI1,lalala,lalala,GRN
FOS,lalala,lalala,GRN
FOSL2,lalala,lalala,GRN
FOXM1,lalala,lalala,GRN
FOXP2,lalala,lalala,GRN
GABPA,lalala,lalala,GRN
GATA1,lalala,lalala,GRN
GATA2,lalala,lalala,GRN
GATA3,lalala,lalala,GRN
GTF2B,lalala,lalala,GRN
GTF2F1,lalala,lalala,GRN
GTF3C2,lalala,lalala,GRN
HDAC1,lalala,lalala,GRN
HDAC2,lalala,lalala,GRN
HDAC6,lalala,lalala,GRN
HMGN3,lalala,lalala,GRN
HSF1,lalala,lalala,GRN
IKZF1,lalala,lalala,GRN
IRF1,lalala,lalala,GRN
IRF4,lalala,lalala,GRN
JUN,lalala,lalala,GRN
JUND,lalala,lalala,GRN
KAT2A,lalala,lalala,GRN
KAT2B,lalala,lalala,GRN
KDM1A,lalala,lalala,GRN
KDM4A,lalala,lalala,GRN
KDM5A,lalala,lalala,GRN
KDM5B,lalala,lalala,GRN
MAFF,lalala,lalala,GRN
MAFK,lalala,lalala,GRN
MAX,lalala,lalala,GRN
MAZ,lalala,lalala,GRN
MBD4,lalala,lalala,GRN
MEF2A,lalala,lalala,GRN
MEF2C,lalala,lalala,GRN
MTA3,lalala,lalala,GRN
MYB,lalala,lalala,GRN
MYBL2,lalala,lalala,GRN
MYC,lalala,lalala,GRN
NCOR1,lalala,lalala,GRN
NFATC1,lalala,lalala,GRN
NFE2,lalala,lalala,GRN
NFIC,lalala,lalala,GRN
NFYA,lalala,lalala,GRN
NFYB,lalala,lalala,GRN
NR2C2,lalala,lalala,GRN
NR3C1,lalala,lalala,GRN
NRF1,lalala,lalala,GRN
PAX5,lalala,lalala,GRN
PBX3,lalala,lalala,GRN
PHF8,lalala,lalala,GRN
PML,lalala,lalala,GRN
POLR2A,lalala,lalala,GRN
POLR3A,lalala,lalala,GRN
POLR3G,lalala,lalala,GRN
POU2F2,lalala,lalala,GRN
POU5F1,lalala,lalala,GRN
PPARGC1A,lalala,lalala,GRN
PRDM1,lalala,lalala,GRN
RAD21,lalala,lalala,GRN
RBBP5,lalala,lalala,GRN
RCOR1,lalala,lalala,GRN
RELA,lalala,lalala,GRN
REST,lalala,lalala,GRN
RFX5,lalala,lalala,GRN
RNF2,lalala,lalala,GRN
RUNX3,lalala,lalala,GRN
RXRA,lalala,lalala,GRN
SAP30,lalala,lalala,GRN
SETDB1,lalala,lalala,GRN
SIN3A,lalala,lalala,GRN
SIRT6,lalala,lalala,GRN
SIX5,lalala,lalala,GRN
SMARCA4,lalala,lalala,GRN
SMARCB1,lalala,lalala,GRN
SMARCC1,lalala,lalala,GRN
SMARCC2,lalala,lalala,GRN
SMC3,lalala,lalala,GRN
SP1,lalala,lalala,GRN
SP2,lalala,lalala,GRN
SP4,lalala,lalala,GRN
SPI1,lalala,lalala,GRN
SREBF1,lalala,lalala,GRN
SREBF2,lalala,lalala,GRN
SRF,lalala,lalala,GRN
STAT1,lalala,lalala,GRN
STAT2,lalala,lalala,GRN
STAT3,lalala,lalala,GRN
STAT5A,lalala,lalala,GRN
SUZ12,lalala,lalala,GRN
TAF1,lalala,lalala,GRN
TAL1,lalala,lalala,GRN
TBL1XR1,lalala,lalala,GRN
TBP,lalala,lalala,GRN
TCF12,lalala,lalala,GRN
TCF3,lalala,lalala,GRN
TCF7L2,lalala,lalala,GRN
TEAD4,lalala,lalala,GRN
TFAP2A,lalala,lalala,GRN
THAP1,lalala,lalala,GRN
TRIM28,lalala,lalala,GRN
UBTF,lalala,lalala,GRN
USF1,lalala,lalala,GRN
USF2,lalala,lalala,GRN
WRNIP1,lalala,lalala,GRN
XRCC4,lalala,lalala,GRN
YY1,lalala,lalala,GRN
ZBTB33,lalala,lalala,GRN
ZBTB7A,lalala,lalala,GRN
ZEB1,lalala,lalala,GRN
ZKSCAN1,lalala,lalala,GRN
ZMIZ1,lalala,lalala,GRN
ZNF143,lalala,lalala,GRN
ZNF217,lalala,lalala,GRN
ZNF274,lalala,lalala,GRN
ZNF384,lalala,lalala,GRN
ZZZ3,lalala,lalala,GRN
SEPHS1,lalala,lalala,GRN
MFSD5,lalala,lalala,GRN
NAE1,lalala,lalala,GRN
PRC1,lalala,lalala,GRN
DOCK1,lalala,lalala,GRN
PHLDA2,lalala,lalala,GRN
ZNF607,lalala,lalala,GRN
PEX26,lalala,lalala,GRN
RNF43,lalala,lalala,GRN
ASTL,lalala,lalala,GRN
ASPN,lalala,lalala,GRN
ATIC,lalala,lalala,GRN
ATG3,lalala,lalala,GRN
ATE1,lalala,lalala,GRN
RSPH3,lalala,lalala,GRN
ARRB1,lalala,lalala,GRN
ASTE1,lalala,lalala,GRN
ASH1L,lalala,lalala,GRN
ASCC2,lalala,lalala,GRN
ASCL2,lalala,lalala,GRN
ATP2B4,lalala,lalala,GRN
ATG16L2,lalala,lalala,GRN
XYLT1,lalala,lalala,GRN
NUP85,lalala,lalala,GRN
ATAD3A,lalala,lalala,GRN
ATP6V1B1,lalala,lalala,GRN
ATP6V0A1,lalala,lalala,GRN
ASL,lalala,lalala,GRN
TBC1D17,lalala,lalala,GRN
ATP1B2,lalala,lalala,GRN
CST3,lalala,lalala,GRN
SFMBT2,lalala,lalala,GRN
ATG4A,lalala,lalala,GRN
CA1,lalala,lalala,GRN
SFPQ,lalala,lalala,GRN
PGM3,lalala,lalala,GRN
RBM15,lalala,lalala,GRN
AADAT,lalala,lalala,GRN
HIBADH,lalala,lalala,GRN
BIRC2,lalala,lalala,GRN
ATF6,lalala,lalala,GRN
ATF4,lalala,lalala,GRN
ASB8,lalala,lalala,GRN
HLA-A,lalala,lalala,GRN
TSNARE1,lalala,lalala,GRN
RTN4R,lalala,lalala,GRN
GPATCH2,lalala,lalala,GRN
ATF6B,lalala,lalala,GRN
BAD,lalala,lalala,GRN
PSMG2,lalala,lalala,GRN
DCAF7,lalala,lalala,GRN
MEX3C,lalala,lalala,GRN
MKRN1,lalala,lalala,GRN
BATF2,lalala,lalala,GRN
ATRX,lalala,lalala,GRN
ATP10A,lalala,lalala,GRN
EFTUD2,lalala,lalala,GRN
TRABD,lalala,lalala,GRN
FKBP14,lalala,lalala,GRN
ZNF84,lalala,lalala,GRN
ATXN7,lalala,lalala,GRN
TMEM161A,lalala,lalala,GRN
MTUS1,lalala,lalala,GRN
EVI5L,lalala,lalala,GRN
B3GNT8,lalala,lalala,GRN
GRB2,lalala,lalala,GRN
BCAS3,lalala,lalala,GRN
MAPK14,lalala,lalala,GRN
NUP54,lalala,lalala,GRN
PCDHGB2,lalala,lalala,GRN
SNHG8,lalala,lalala,GRN
PAPLN,lalala,lalala,GRN
APBB1IP,lalala,lalala,GRN
DAG1,lalala,lalala,GRN
FZD8,lalala,lalala,GRN
EHBP1L1,lalala,lalala,GRN
PRRC1,lalala,lalala,GRN
EIF4A2,lalala,lalala,GRN
XPOT,lalala,lalala,GRN
NSUN6,lalala,lalala,GRN
RYK,lalala,lalala,GRN
ZNF702P,lalala,lalala,GRN
PSMD2,lalala,lalala,GRN
FAM151B,lalala,lalala,GRN
LILRB4,lalala,lalala,GRN
ISG20L2,lalala,lalala,GRN
CCR4,lalala,lalala,GRN
SLC25A12,lalala,lalala,GRN
FTO,lalala,lalala,GRN
MPG,lalala,lalala,GRN
LAYN,lalala,lalala,GRN
NACA,lalala,lalala,GRN
TANC2,lalala,lalala,GRN
BLOC1S2,lalala,lalala,GRN
RASIP1,lalala,lalala,GRN
PIF1,lalala,lalala,GRN
RPPH1,lalala,lalala,GRN
ADCY3,lalala,lalala,GRN
FAM53C,lalala,lalala,GRN
ZNF91,lalala,lalala,GRN
ANP32E,lalala,lalala,GRN
PTPN2,lalala,lalala,GRN
BLOC1S1,lalala,lalala,GRN
KAZALD1,lalala,lalala,GRN
ZFP3,lalala,lalala,GRN
SPTA1,lalala,lalala,GRN
ARL1,lalala,lalala,GRN
ATG12,lalala,lalala,GRN
ZNF100,lalala,lalala,GRN
SLC43A3,lalala,lalala,GRN
C7orf61,lalala,lalala,GRN
PLCH1,lalala,lalala,GRN
DLG1,lalala,lalala,GRN
ADAMTSL5,lalala,lalala,GRN
MAP3K8,lalala,lalala,GRN
MAP3K6,lalala,lalala,GRN
TERF1,lalala,lalala,GRN
POP1,lalala,lalala,GRN
NUCB1,lalala,lalala,GRN
TMCO1,lalala,lalala,GRN
SNORD116-26,lalala,lalala,GRN
HAUS3,lalala,lalala,GRN
UTP20,lalala,lalala,GRN
CRHBP,lalala,lalala,GRN
UCP2,lalala,lalala,GRN
RLF,lalala,lalala,GRN
SUMO1,lalala,lalala,GRN
APBA3,lalala,lalala,GRN
ATAD5,lalala,lalala,GRN
FPR2,lalala,lalala,GRN
PKD2L1,lalala,lalala,GRN
FAM174B,lalala,lalala,GRN
DIS3L,lalala,lalala,GRN
PCMTD2,lalala,lalala,GRN
