V1,V2
ARID3A,SEPHS1
ARID3A,MFSD5
ARID3A,NAE1
ARID3A,PRC1
ARID3A,DOCK1
ARID3A,PHLDA2
ARID3A,ZNF607
ARID3A,PEX26
ARID3A,RNF43
ATF1,ASTL
ATF1,ASPN
ATF1,ATIC
ATF1,ATG3
ATF1,ATF3
ATF1,ATE1
ATF1,RSPH3
ATF1,ARRB1
ATF1,ASTE1
ATF1,ASH1L
ATF1,ASCC2
ATF1,ASCL2
ATF1,ATP2B4
ATF1,ATG16L2
ATF1,XYLT1
ATF1,NUP85
ATF1,ATAD3A
ATF1,ATP6V1B1
ATF1,ATP6V0A1
ATF1,ASL
ATF2,TBC1D17
ATF2,ATP1B2
ATF2,CST3
ATF2,SFMBT2
ATF2,ATG4A
ATF2,CA1
ATF2,SFPQ
ATF3,PGM3
ATF3,RBM15
ATF3,AADAT
ATF3,HIBADH
ATF3,BIRC2
ATF3,ATF1
ATF3,ATF6
ATF3,ATF4
ATF3,ASPN
ATF3,ASB8
ATF3,HLA-A
ATF3,TSNARE1
ATF3,ASH1L
ATF3,RTN4R
ATF3,GPATCH2
ATF3,ATF6B
BACH1,BAD
BACH1,PSMG2
BACH1,DCAF7
BACH1,MEX3C
BACH1,MKRN1
BACH1,BATF2
BACH1,ATRX
BACH1,ATP10A
BACH1,EFTUD2
BACH1,TRABD
BACH1,FKBP14
BACH1,ZNF84
BACH1,ATXN7
BATF,TMEM161A
BATF,MTUS1
BATF,EVI5L
BATF,B3GNT8
BATF,GRB2
BCL11A,BCAS3
BCL11A,MAPK14
BCL11A,NUP54
BCL11A,PCDHGB2
BCL11A,SNHG8
BCL11A,PAPLN
BCL11A,APBB1IP
BCL3,DAG1
BCL3,FZD8
BCL3,EHBP1L1
BCL3,PRRC1
BCL3,EIF4A2
BCL3,XPOT
BCL3,NSUN6
BCL3,RYK
BCL3,ZNF702P
BCLAF1,PSMD2
BCLAF1,FAM151B
BCLAF1,LILRB4
BCLAF1,ISG20L2
BCLAF1,CCR4
BCLAF1,SLC25A12
BCLAF1,FTO
BCLAF1,MPG
BCLAF1,LAYN
BCLAF1,NACA
BDP1,TANC2
BDP1,BLOC1S2
BDP1,RASIP1
BDP1,PIF1
BDP1,RPPH1
BHLHE40,ADCY3
BHLHE40,FAM53C
BHLHE40,GATA1
BHLHE40,ZNF91
BHLHE40,ANP32E
BHLHE40,PTPN2
BHLHE40,BLOC1S1
BRCA1,KAZALD1
BRCA1,ZFP3
BRCA1,SPTA1
BRCA1,ARL1
BRCA1,ATG12
BRCA1,ZNF100
BRCA1,SLC43A3
BRF1,C7orf61
BRF1,PLCH1
BRF1,DLG1
BRF1,ADAMTSL5
BRF1,MAP3K8
BRF1,MAP3K6
BRF1,TERF1
BRF1,POP1
BRF1,NUCB1
BRF1,TMCO1
