Regulator	Target	MI	pvalue
NFATC1	CYB5D1	0.6541406941380087	0.018184724233354377
H2AFZ	FARSA	0.6208467708319794	0.018184724233354377
SREBF2	NUBP2	0.6309555827364286	0.018184724233354377
SP1	LRRC17	0.660067529722788	9.824611124642502E-9
KAT2B	FCHSD2	0.6050837622341071	3.6387448609787043E-10
ATF1	RPP38	0.6733196845136594	3.6387448609787043E-10
TBL1XR1	WBP1	0.6369638443584321	9.824611124642502E-9
BRCA1	RAD51AP2	0.7417705806768388	0.0
HSF1	ELK1	0.6109054215271947	0.018184724233354377
TRIM28	KIAA1328	0.6613869309721985	0.018184724233354377
CCNT2	ZBTB38	0.643075416995403	0.0
SMC3	DSN1	0.587930494508423	0.0011875589665533148
CCNT2	ZBTB7B	0.6491709861867003	0.0011875589665533148
IRF4	CLIC5	0.6633182863627165	0.0
KAT2A	ANKRD39	0.6736135992381007	0.018184724233354377
KAT2A	ANKRD29	0.680542372958332	2.0267808875651383E-7
KAT2A	ANKRD17	0.6842975871118143	0.0
FLI1	CHD8	0.6411846712238654	0.0011875589665533148
TCF7L2	RNU11	0.5940004672588225	3.938213563037252E-6
CTCFL	MFAP1	0.6601147114234439	0.0
SREBF2	ZNF417	0.7010953590881381	0.0
CCNT2	ZBTB10	0.7003574054308602	9.824611124642502E-9
CCNT2	ZBTB17	0.6570036919975402	0.0
KDM5B	SPIN2A	0.6325153760147414	3.6387448609787043E-10
IRF3	LPCAT4	0.6597369515401649	3.938213563037252E-6
KAT2A	ANKRD55	0.6517860004080556	0.0
BRF1	TTLL10	0.6535005447091117	3.938213563037252E-6
POLR3A	PARS2	0.6399620545320343	3.938213563037252E-6
GABPA	CHRNB1	0.6516478962678143	7.115492800746637E-5
CHD4	ZRSR2	0.668169095409397	9.824611124642502E-9
HMGN3	ZNF780A	0.6584262459579667	3.938213563037252E-6
USF2	WDR54	0.6408009450529196	0.0
KDM4A	KIAA0100	0.6737638805385713	0.018184724233354377
GATA1	BPGM	0.6740343959464518	0.0
TRIM28	KIAA1012	0.7132061621039764	0.0011875589665533148
BDP1	VAMP7	0.645001909566309	3.6387448609787043E-10
USF2	WDR20	0.708391452130566	3.938213563037252E-6
USF2	WDR26	0.6975100161877221	0.0
MAFK	IL16	0.6301387065841176	3.938213563037252E-6
FOXA1	SIGLEC10	0.6506014306146705	0.018184724233354377
BRF2	C9orf11	0.6569294915738834	0.0
SP4	KRAS	0.7057648833240758	0.0011875589665533148
CBX2	PPT2	0.7005368044507609	0.0011875589665533148
HDAC2	SRGAP1	0.6277701265329206	0.0011875589665533148
GTF3C2	SLC23A3	0.6089373495971561	0.0011875589665533148
NFYB	KIAA1731	0.7017943924103874	0.0
TAF7	MECR	0.6981606468757023	0.0
GTF3C2	SGTB	0.7213099570717935	3.938213563037252E-6
NFYB	KIAA1704	0.6394488297428151	0.0
E2F6	DIS3L2	0.6109447686844516	0.0011875589665533148
USF2	C8orf71	0.6262521715764333	0.0011875589665533148
SUZ12	DCAF16	0.6672594117189552	9.824611124642502E-9
SMARCA4	DPM2	0.6438047715671534	7.115492800746637E-5
POLR3A	HEATR1	0.6909552106341309	0.0
USF2	C8orf31	0.6498555312437829	3.6387448609787043E-10
SREBF2	ZNF630	0.6549053321025202	0.0
USF2	C8orf41	0.6248420980471615	0.018184724233354377
