TF	size	nes	pval	pval.fdr
52	NACC2	17	-1.92745924182668	0.0539224228024759	0.977581089556162
53	ZNF200	14	1.92217593260946	0.0545836241125853	0.977581089556162
54	ZNF672	5	1.90139495354911	0.0572503000445501	0.977581089556162
55	CEBPA	13	-1.89283961191079	0.0583792019807841	0.977581089556162
56	NFIB	4	-1.88270607282681	0.0597402120039115	0.977581089556162
57	JDP2	17	-1.88091269423452	0.0599837961157647	0.977581089556162
58	ZBTB38	20	1.87318191213991	0.0610432691804084	0.977581089556162
59	ZNF429	15	1.86593316212745	0.0620507172401431	0.977581089556162
60	ZNF586	19	1.8628507452865	0.0624832682260482	0.977581089556162
61	NR4A2	17	-1.84584432141511	0.0649148130708998	0.977581089556162
62	FOXI1	22	1.8449392920899	0.0650463701232823	0.977581089556162
63	SNAI3	14	1.84226680418532	0.06543613293487	0.977581089556162
64	ZNF16	10	1.83339519738073	0.0667438213123323	0.977581089556162
65	FBXL19	18	1.83195663735194	0.0669578812918661	0.977581089556162
66	NR1I3	18	-1.81661397460628	0.0692762421389856	0.977581089556162
67	ZNF660	14	1.81488726705151	0.069541235692905	0.977581089556162
68	ZNF329	11	1.81193272511916	0.0699965921234674	0.977581089556162
69	TCF3	28	1.80771726250954	0.0706505164889278	0.977581089556162
70	MYC	14	-1.80741584906026	0.0706974646077444	0.977581089556162
71	TEF	13	-1.80534998805106	0.0710199319277057	0.977581089556162
72	NFIL3	19	-1.79060310749749	0.0733570080265177	0.977581089556162
73	YY1	9	1.78181953992158	0.0747786647491084	0.977581089556162
74	BCL6B	16	-1.77878010054487	0.0752758208779556	0.977581089556162
75	ZNF304	14	1.76394703174891	0.0777408974464071	0.977581089556162
76	ZNF98	13	-1.76176696465461	0.0781086784268645	0.977581089556162
77	ZNF669	22	1.75936605891219	0.0785153529907442	0.977581089556162
78	CREB1	17	1.75713343611091	0.0788950677403216	0.977581089556162
79	DLX4	7	1.75546083181421	0.0791805146992605	0.977581089556162
80	ARID5A	15	1.75378331482569	0.0794676431206823	0.977581089556162
81	ZSCAN18	24	1.74049317170569	0.0817724580299923	0.977581089556162
82	ZNF197	15	1.72929014526404	0.0837571794946137	0.977581089556162
83	ZBTB20	8	1.72645259917795	0.0842660199282314	0.977581089556162
84	MECP2	22	1.72533214074888	0.084467632865424	0.977581089556162
85	ZBTB47	23	1.72319606326057	0.0848530754145777	0.977581089556162
86	NR1H3	10	-1.71330852536341	0.0866557947968653	0.977581089556162
87	RORA	16	-1.70931333717466	0.0873929241142822	0.977581089556162
88	ZNF248	11	1.70407463645961	0.0883671443996511	0.977581089556162
89	ZNF721	23	1.69681756224447	0.0897311573811257	0.977581089556162
90	NFIX	15	-1.69059087201222	0.0909149692239346	0.977581089556162
91	PLAGL2	22	-1.68246938486256	0.0924778567101325	0.977581089556162
92	ZNF354B	11	1.68162674866319	0.0926412403676384	0.977581089556162
93	EEA1	14	1.67996714116996	0.0929637090670111	0.977581089556162
94	ZNF559	12	1.67878455271568	0.0931940402170295	0.977581089556162
95	CXXC1	15	1.67305103731569	0.0943172491949159	0.977581089556162
96	THAP11	16	1.66175106317747	0.096562698023017	0.977581089556162
97	ARID5B	8	-1.66075253293986	0.0967631579552665	0.977581089556162
98	ZNF570	20	1.65704058475544	0.0975112700990242	0.977581089556162
99	ZNF177	12	1.65670046614066	0.0975800487306928	0.977581089556162
100	ZNF287	14	1.65030615855601	0.0988803333185881	0.977581089556162
101	SOX13	23	1.64780035660486	0.0993936458468127	0.977581089556162
102	SCMH1	10	1.64771205647567	0.0994117728000656	0.977581089556162
103	MAFG	22	-1.64315095959791	0.100351703473167	0.977581089556162
104	ZNF394	6	-1.63917091955017	0.101177668399651	0.977581089556162
105	ZNF708	15	-1.63723960896579	0.101580413870254	0.977581089556162
106	MEIS2	14	-1.63622934799415	0.101791596395152	0.977581089556162
107	MAX	13	1.63473677976389	0.10210423876106	0.977581089556162
108	XPA	9	1.63393733917406	0.102272008443379	0.977581089556162
109	ZNF696	11	1.63137418407649	0.10281138876276	0.977581089556162
110	ZNF335	12	-1.62608787168481	0.103930963711896	0.977581089556162
111	ZNF616	16	1.61945137243754	0.105350181156467	0.977581089556162
112	NR4A1	19	-1.61605833087993	0.106081702249827	0.977581089556162
113	ZNF565	14	1.60289247133459	0.108958396144638	0.977581089556162
114	ZNF799	6	1.60238011527225	0.109071579253292	0.977581089556162
115	ZNF221	18	-1.59919509644737	0.109777259556581	0.977581089556162
116	ZNF787	25	1.59208907382481	0.111364691768157	0.977581089556162
117	HSF5	24	1.59062987455675	0.111692897096306	0.977581089556162
118	ZNF480	17	1.58333602594523	0.113344895829336	0.977581089556162
119	THAP5	10	-1.5808016056356	0.113923407312204	0.977581089556162
120	ZNF396	8	-1.57649107106525	0.114912674918184	0.977581089556162
121	LBX2	11	1.56527995527666	0.117517281014357	0.977581089556162
122	CENPT	11	1.55960412385251	0.118853461389711	0.977581089556162
123	ZBTB6	17	1.55710752538272	0.119444958650577	0.977581089556162
124	ZNF283	14	1.55571352787673	0.119776228302149	0.977581089556162
125	MTF1	31	-1.54996419566046	0.1211501099286	0.977581089556162
126	FOXO4	13	-1.54277009588613	0.122886567547815	0.977581089556162
127	ZNF333	13	1.54206240046321	0.123058430701552	0.977581089556162
128	MBD3	11	1.54203387703507	0.123065361522062	0.977581089556162
129	THAP10	6	1.53258234038916	0.125378795398971	0.977581089556162
130	ZFP14	11	1.5297709615742	0.126073431730998	0.977581089556162
131	SP2	19	1.52673756996453	0.126826281143656	0.977581089556162
132	HIVEP2	16	1.52038805072374	0.128413475891121	0.977581089556162
133	RBAK	18	1.52024188237498	0.128450194690952	0.977581089556162
134	ZNF285	13	-1.51964993243752	0.128598981274198	0.977581089556162
135	FOXJ3	20	1.51760035307149	0.129115177810701	0.977581089556162
136	SNAPC4	8	1.50757894726052	0.131662324272748	0.977581089556162
137	ZNF844	14	1.5057758390721	0.132124727668895	0.977581089556162
138	EBF4	13	-1.50139483461342	0.133253469117337	0.977581089556162
139	ZNF143	6	1.49987778521694	0.133646063369328	0.977581089556162
140	ZNF513	15	1.49728899409936	0.134318077389131	0.977581089556162
141	ZNF225	16	1.49283683144867	0.135479903589659	0.977581089556162
142	ZNF367	22	1.48689707132591	0.137041997893104	0.977581089556162
143	MXD1	17	-1.48452118651679	0.137670706774403	0.977581089556162
144	ZNF595	7	1.48307253366018	0.138055140546768	0.977581089556162
145	SREBF1	13	1.4814708970444	0.138481134574408	0.977581089556162
146	ZFP92	32	1.47972328431285	0.138947109073111	0.977581089556162
147	THAP6	14	1.47853603783029	0.13926435855223	0.977581089556162
148	ZNF594	8	1.47798076161708	0.13941292768431	0.977581089556162
149	ZBTB41	10	1.47540325721766	0.140104160195033	0.977581089556162
150	ZNF773	12	1.46932503915431	0.14174464846647	0.977581089556162
151	NR2C1	10	1.46913442010596	0.141796333464968	0.977581089556162
152	ZFP28	12	1.46626803604661	0.142575279835712	0.977581089556162
153	ZNF684	18	1.46576010034209	0.142713654492304	0.977581089556162
154	ZNF552	20	1.46110671126437	0.143986158728961	0.977581089556162
155	GRHL1	22	-1.4610763596741	0.143994487062024	0.977581089556162
156	ZNF420	12	-1.46093989182878	0.144031937758152	0.977581089556162
157	ZNF79	14	1.45678481928827	0.14517578763695	0.977581089556162
158	ZBED4	21	1.45656429848953	0.14523668867868	0.977581089556162
159	HSF4	9	1.45641735443778	0.145277280954533	0.977581089556162
160	ZNF496	14	-1.45427512793513	0.145870043274542	0.977581089556162
161	KLF11	25	-1.45117622410081	0.146730795659406	0.977581089556162
162	ETV4	15	1.44157076594313	0.149423500476939	0.977581089556162
163	ZNF282	10	1.43675895484914	0.150786496824677	0.977581089556162
164	ZNF22	14	1.43201864142763	0.152138486419597	0.977581089556162
165	MLX	20	1.43124744410291	0.152359310498861	0.977581089556162
166	NR6A1	12	1.43050804165655	0.152571259454153	0.977581089556162
167	ZNF419	14	1.42783578436405	0.153339130339675	0.977581089556162
168	ZNF571	17	1.4271148305564	0.15354679838342	0.977581089556162
169	ZNF606	15	1.42513940455372	0.15411690813526	0.977581089556162
170	RELA	15	1.42236248694032	0.154921047359751	0.977581089556162
171	HMG20A	9	1.41196720405104	0.157959618006264	0.977581089556162
172	ZNF432	11	1.41017513081656	0.158487977187731	0.977581089556162
173	ZNF782	24	1.40918663354672	0.158779989063952	0.977581089556162
174	REL	18	-1.40746338639082	0.159290026829729	0.977581089556162
175	YY2	21	1.40482404892811	0.16007360596362	0.977581089556162
176	CC2D1A	18	-1.4033278714487	0.160519090650946	0.977581089556162
177	ZBTB46	18	1.40220639659254	0.160853622074095	0.977581089556162
178	ZBTB40	9	1.40126666486203	0.161134345651123	0.977581089556162
179	PRDM16	19	1.4000424554117	0.161500605362976	0.977581089556162
180	ZNF484	8	1.39999308824131	0.161515388237779	0.977581089556162
181	RFX4	7	1.39707366570656	0.162391419955036	0.977581089556162
182	GTF2I	16	-1.38357294375911	0.166489257672981	0.977581089556162
183	ZKSCAN3	13	1.37483447504918	0.169182767337882	0.977581089556162
184	ZFP41	10	-1.37273201731987	0.169835671853036	0.977581089556162
185	TCF20	20	1.37199078040127	0.170066307934982	0.977581089556162
186	RBCK1	20	1.37109121604839	0.170346522865007	0.977581089556162
187	ZNF444	17	1.36597938441909	0.171945434139059	0.977581089556162
188	ZNF414	7	1.36250463028736	0.173038683882161	0.977581089556162
189	TTF1	24	1.36141603333557	0.173382252091227	0.977581089556162
190	TP73	12	1.36090242020148	0.173544528605933	0.977581089556162
191	ZNF263	15	1.35988170960675	0.173867359850605	0.977581089556162
192	TSHZ1	15	1.35927591627834	0.174059172722592	0.977581089556162
193	SPIB	12	-1.35425769692817	0.17565417729908	0.977581089556162
194	ARID3B	16	-1.35307865126739	0.176030505094895	0.977581089556162
195	MGA	22	1.35009552964659	0.176985342125526	0.977581089556162
196	ZNF223	6	1.34898670245841	0.177341237297224	0.977581089556162
197	ZNF510	15	1.34831849522693	0.177555965938764	0.977581089556162
198	FOXH1	8	1.34582382267156	0.178359340666019	0.977581089556162
199	ZFP62	16	1.34323231909138	0.179196759651974	0.977581089556162
200	ZNF808	25	1.34191568368108	0.179623335871655	0.977581089556162
201	PIN1	22	1.33960343961546	0.180374304977008	0.977581089556162
202	ZNF10	15	-1.33759231175795	0.181029372036452	0.977581089556162
203	ZNF43	14	1.33232423581393	0.182753666491522	0.977581089556162
204	ZNF205	11	1.330380805374	0.183392835533224	0.977581089556162
205	ZHX2	14	-1.32548013707143	0.185011953161858	0.977581089556162
206	ZNF830	26	-1.32407236972098	0.185479010924112	0.977581089556162
207	ELK1	14	1.31876509891288	0.187247655573353	0.977581089556162
208	ZNF184	16	1.31784362967125	0.187555999212632	0.977581089556162
209	RARG	14	1.3153129964051	0.188404732059755	0.977581089556162
