TF	size	nes	pval	pval.fdr
1	TP53TG5	115	-2.62286366079803	0.00871941574599611	0.985179648263831
2	PSG3	84	2.17706744739787	0.0294755354342803	0.985179648263831
3	FAM104A	42	-1.85703701161443	0.0633058885541271	0.985179648263831
4	OR8D4	43	1.83885829779997	0.0659360309037119	0.985179648263831
5	OR5AK2	39	1.72695177588478	0.0841763246076137	0.985179648263831
6	FAM24A	35	-1.72229620973816	0.0850158739708692	0.985179648263831
7	C12orf56	12	-1.57815269930485	0.114530533814554	0.985179648263831
8	MS4A10	4	-1.49703833103832	0.134383284516952	0.985179648263831
9	C2orf49	62	-1.49256323074546	0.135551554203089	0.985179648263831
10	C22orf15	19	-1.36508485094714	0.172226382818145	0.985179648263831
11	C3orf18	112	1.34983971325926	0.177067403079334	0.985179648263831
12	ZNF565	75	1.34454378797281	0.178772606657375	0.985179648263831
13	EFCAB10	32	1.32995440848927	0.183533293220993	0.985179648263831
14	C4orf3	38	1.29301282143451	0.196006624691532	0.985179648263831
15	C12orf73	74	1.27983378196894	0.200603600155056	0.985179648263831
16	SRRM5	14	-1.2675353924367	0.204963916786218	0.985179648263831
17	C6orf163	27	1.26474268937503	0.205963581616411	0.985179648263831
18	CD300LG	171	1.20254716641776	0.229151603443544	0.985179648263831
19	ZNF835	61	1.19155203926258	0.233436940210419	0.985179648263831
20	TMEM186	102	1.18830117640597	0.234714774418539	0.985179648263831
21	MAGEB10	92	1.16639280607017	0.243455665785092	0.985179648263831
22	LRRN4CL	23	-1.11709119405526	0.263955335276925	0.985179648263831
23	BLID	58	1.09071552165905	0.275398078581681	0.985179648263831
24	BEND7	106	-1.08811139823421	0.276545932427948	0.985179648263831
25	KIAA0408	7	-1.07273467039873	0.283390179911295	0.985179648263831
26	PRR23A	16	1.05596452347484	0.290984423278252	0.985179648263831
27	ODF3L1	39	-1.05475541931597	0.291537198428811	0.985179648263831
28	RNASE11	69	-1.05193936813954	0.292827368346955	0.985179648263831
29	OR9A2	37	1.02967810257993	0.30316113813713	0.985179648263831
30	VMAC	16	1.00379595409884	0.315476974948374	0.985179648263831
31	CCDC87	24	0.995527070704997	0.319479984862857	0.985179648263831
32	DCAF12L2	118	0.9828102538077	0.325700834304636	0.985179648263831
33	MIIP	85	-0.978932903763191	0.327613133028326	0.985179648263831
34	CCDC160	16	0.967376237561666	0.3333559845867	0.985179648263831
35	TMEM42	67	-0.943673313309541	0.345336615312835	0.985179648263831
36	KRTAP5-3	26	0.921774981567548	0.356645959908196	0.985179648263831
37	C22orf31	4	0.913138318823121	0.361169799293025	0.985179648263831
38	C1orf54	68	0.904473866016596	0.365744185911897	0.985179648263831
39	ZNF705A	38	-0.873668515254322	0.382298801839367	0.985179648263831
40	C19orf73	12	0.868934175363529	0.384883135521625	0.985179648263831
41	C6orf52	42	0.865738594813781	0.386633529891104	0.985179648263831
42	OR8H1	27	0.857673673013181	0.391072681301407	0.985179648263831
43	C1orf198	41	-0.857351259769975	0.3912507873084	0.985179648263831
44	C12orf60	36	0.85585188575942	0.392079711303974	0.985179648263831
45	MORN2	83	-0.855655455389341	0.392188386055703	0.985179648263831
46	LCE2A	103	0.853363915955454	0.393457525439808	0.985179648263831
47	CST11	154	0.841781588420565	0.399910219556627	0.985179648263831
48	ZFP82	103	0.829122966329057	0.40703482927457	0.985179648263831
49	C12orf43	80	0.827627614653815	0.407881424340194	0.985179648263831
50	ZNF792	109	0.824001265379477	0.409938838971186	0.985179648263831
51	ZCWPW2	62	0.80534693548676	0.420619504116421	0.985179648263831
52	C15orf62	20	0.802840736645468	0.422066793339878	0.985179648263831
53	OR4D1	46	0.778058008840684	0.436534816160044	0.985179648263831
54	TMEM89	24	0.756506984526751	0.449345286358498	0.985179648263831
55	FAM193B	51	0.740349430486541	0.459087994814273	0.985179648263831
56	SNN	149	0.709914004090819	0.477757465640153	0.985179648263831
57	ZNF576	70	0.708518796853154	0.478623143537521	0.985179648263831
58	GAL3ST4	85	0.705730368233761	0.480355831808107	0.985179648263831
59	C19orf38	10	-0.701335937746364	0.483093391042695	0.985179648263831
60	OR1C1	53	0.699870093801286	0.484008435577699	0.985179648263831
61	C15orf61	25	0.69727314417295	0.485631871570669	0.985179648263831
62	THAP10	54	0.689368273340699	0.49059154363854	0.985179648263831
63	C1orf216	21	-0.658155886462056	0.510437967710525	0.985179648263831
64	PPM1H	189	-0.65451189719495	0.512782064768086	0.985179648263831
65	GLOD5	27	-0.626493571881135	0.530991251858647	0.985179648263831
66	C11orf24	85	0.600121810580487	0.548425057902249	0.985179648263831
