TF	size	nes	pval	pval.fdr
1	SMAD3	33	2.97055639793644	0.00297260818668332	0.916699281437242
2	FLI1	13	2.88617705758451	0.00389952712531022	0.916699281437242
3	TEAD1	121	-2.83518439652366	0.00457992422287437	0.916699281437242
4	PRRX1	935	-2.82564830133348	0.00471850400865309	0.916699281437242
5	ZNF214	531	2.53818337740827	0.0111429580382447	0.916699281437242
6	ZNF823	145	2.46506510717447	0.013698835732097	0.916699281437242
7	ZFHX4	354	2.41097929756981	0.0159097514926324	0.916699281437242
8	FOXL1	611	2.35838670462221	0.0183545615403064	0.916699281437242
9	ZFP64	651	2.28607144077351	0.0222500794514894	0.916699281437242
10	MXD3	406	-2.26790409605903	0.0233350526461499	0.916699281437242
11	E2F7	30	-2.25853029040919	0.0239126183175601	0.916699281437242
12	RXRA	12	-2.19652406475497	0.0280544546495496	0.916699281437242
13	ZNF334	186	2.12090319721563	0.0339299495612852	0.916699281437242
14	GATA4	10	2.11801610778012	0.0341737035341741	0.916699281437242
15	PA2G4	4	2.07518202614087	0.0379696677958788	0.916699281437242
16	HLX	324	-2.06444144683623	0.0389758801602989	0.916699281437242
17	NCOA3	22	2.05142305328909	0.0402257659322445	0.916699281437242
18	ZNF660	76	2.04460066814348	0.0408942435865372	0.916699281437242
19	DUX4	34	2.02266761189702	0.0431074282561919	0.916699281437242
20	HINFP	14	2.0033570546196	0.0451389775442292	0.916699281437242
21	ZNF195	587	1.98913624071789	0.046686167137409	0.916699281437242
22	ZNF107	110	1.96136849770101	0.0498360520755335	0.916699281437242
23	KLF9	65	1.9248170660645	0.0542522481784374	0.916699281437242
24	ZNF785	417	1.88946779020274	0.0588291747872377	0.916699281437242
25	IRF7	9	-1.88833427302147	0.0589810889828284	0.916699281437242
26	ZNF644	291	1.8840636542148	0.0595563657971628	0.916699281437242
27	CREB1	74	1.86857924430265	0.0616813756593093	0.916699281437242
28	HOXC10	453	1.86766956853263	0.0618081428897541	0.916699281437242
29	ZNF92	368	-1.82165043949318	0.0685080423829802	0.916699281437242
30	GCM1	360	-1.80645665848158	0.0708470383010504	0.916699281437242
31	HIF1A	144	1.79441556754641	0.0727468639825276	0.916699281437242
32	ZNF778	387	1.78490523258199	0.0742766897838641	0.916699281437242
33	POU4F1	351	1.76734177497404	0.0771710076580007	0.916699281437242
34	ZNF284	73	1.75675248910871	0.0789600064980299	0.916699281437242
35	ZNF70	266	1.74625348391989	0.0807669148592817	0.916699281437242
36	ZNF382	10	-1.73271618491687	0.0831461263727686	0.916699281437242
37	NFE2L2	11	1.73259401180786	0.0831678543514224	0.916699281437242
38	FOXJ2	33	1.7231735386604	0.0848571474125095	0.916699281437242
39	DLX1	542	1.72253226237678	0.084973143679145	0.916699281437242
40	ZNF594	169	1.7150728866963	0.0863318645959539	0.916699281437242
41	ZNF30	173	1.71373897437638	0.086576675585341	0.916699281437242
42	DMRTA1	149	1.70124367490846	0.0888972397437761	0.916699281437242
