V1,V2
AKAP9,YWHAG
AKR1B1,BPGM
AKR1C3,PRKACB
AKT1,CDKN1B
AKT1,JAK1
AKT1,MAP2K4
AKT1,MEAF6
AKT1,PDK1
AKT1,PDK2
AKT1,PPP2CA
AKT1,PPP2R5E
AKT1,PTEN
AKT1,RPTOR
AKT1,SLC2A5
AKT1,SRC
AKT1S1,PRKACB
AKT2,PDK1
AKT2,PPP2CA
AKT2,PPP2R5E
AKT2,SLC2A5
AKT3,PPP2CA
AKT3,PPP2R5E
AKT3,SLC2A5
ALAS1,NFIC
ALB,APOA1
ALB,APOC1
ALB,APOC2
ALB,APOC3
ALB,APOE
ALB,CDC73
ALB,CRYAA
ALB,CRYAB
ALB,DDB1
ALB,F2
ALB,FABP6
ALB,FAM20A
ALB,FAM20C
ALB,FGA
ALB,FOXA3
ALB,HBA1
ALB,HNRNPA1
ALB,HPX
ALB,HSPA8
ALB,KRT1
ALB,LRP2
ALB,PALB2
ALB,RBP4
ALB,SETX
ALB,SLC10A1
ALB,SLCO1A2
ALB,SLCO1B1
ALB,SLCO1B3
ALB,SOD1
ALB,TTR
ALDH3A2,PEX3
ALDOA,NFIC
ALG1,ALG11
ALK,JAK1
ALMS1,MZT2B
ALMS1,ODF2
ALOX5AP,CORO1A
ALOX5AP,DOCK2
ALOX5AP,ITGB2
ALOX5AP,RAC2
ALPK3,CSNK1G2
ALYREF,NCBP2
ALYREF,NUP205
ALYREF,SLU7
AMELX,NFIC
AMELY,NFIC
AMHR2,TGFB1
AMOT,PTEN
AMPH,TF
ANAPC1,ANAPC10
ANAPC1,ANAPC11
ANAPC1,ANAPC13
ANAPC1,ANAPC15
ANAPC1,ANAPC16
ANAPC1,ANAPC2
ANAPC1,ANAPC4
ANAPC1,ANAPC5
ANAPC1,ANAPC7
ANAPC1,AURKA
ANAPC1,AURKB
ANAPC1,BUB1B
ANAPC1,BUB3
ANAPC1,CCNB1
ANAPC1,CCNB2
ANAPC1,CCNB3
ANAPC1,CCNE1
ANAPC1,CCNE2
ANAPC1,CDC14A
ANAPC1,CDC14B
ANAPC1,CDC16
ANAPC1,CDC20
ANAPC1,CDC20B
ANAPC1,CDC23
ANAPC1,CDC26
ANAPC1,CDC27
ANAPC1,CDC6
ANAPC1,CDK1
ANAPC1,CDK2
ANAPC1,CDKN1A
ANAPC1,CDKN1B
ANAPC1,CEBPB
ANAPC1,DKFZP762H177
ANAPC1,EHMT1
ANAPC1,EHMT2
ANAPC1,FBXO5
ANAPC1,FZR1
ANAPC1,KATNB1
ANAPC1,LATS2
ANAPC1,MAD1L1
ANAPC1,MAD2L1
ANAPC1,MAD2L2
ANAPC1,NEK2
ANAPC1,NFKB1
ANAPC1,PLK1
ANAPC1,PPP3CA
ANAPC1,PPP3CB
ANAPC1,PPP3CC
ANAPC1,PPP3R1
ANAPC1,PPP3R2
ANAPC1,PSMA1
ANAPC1,PSMA2
ANAPC1,PSMA3
ANAPC1,PSMA4
ANAPC1,PSMA5
ANAPC1,PSMA6
ANAPC1,PSMA7
ANAPC1,PSMA8
ANAPC1,PSMB1
ANAPC1,PSMB10
ANAPC1,PSMB11
ANAPC1,PSMB2
ANAPC1,PSMB3
ANAPC1,PSMB4
ANAPC1,PSMB5
ANAPC1,PSMB6
