name,attr1,attr2,n
ARPC5,lalala,lalala,PPI
ARR3,lalala,lalala,PPI
ARRB1,lalala,lalala,PPI
ARRB2,lalala,lalala,PPI
ARSA,lalala,lalala,PPI
ARSB,lalala,lalala,PPI
ARSD,lalala,lalala,PPI
ARSE,lalala,lalala,PPI
ARSF,lalala,lalala,PPI
ARSG,lalala,lalala,PPI
ARSH,lalala,lalala,PPI
ARSI,lalala,lalala,PPI
ARSJ,lalala,lalala,PPI
ARSK,lalala,lalala,PPI
ASAP1,lalala,lalala,PPI
ASCL1,lalala,lalala,PPI
ASNS,lalala,lalala,PPI
ATAD1,lalala,lalala,PPI
ATF1,lalala,lalala,PPI
ATF2,lalala,lalala,PPI
ATF4,lalala,lalala,PPI
ATF6B,lalala,lalala,PPI
ATG101,lalala,lalala,PPI
ATG12,lalala,lalala,PPI
ATG13,lalala,lalala,PPI
ATG4D,lalala,lalala,PPI
ATG5,lalala,lalala,PPI
ATP1A1,lalala,lalala,PPI
ATP1A2,lalala,lalala,PPI
ATP1A3,lalala,lalala,PPI
ATP1A4,lalala,lalala,PPI
ATP1B1,lalala,lalala,PPI
ATP1B2,lalala,lalala,PPI
ATP1B3,lalala,lalala,PPI
ATP1B4,lalala,lalala,PPI
ATP2A1,lalala,lalala,PPI
ATP2A2,lalala,lalala,PPI
ATP2A3,lalala,lalala,PPI
ATP2B1,lalala,lalala,PPI
ATP2B2,lalala,lalala,PPI
ATP2B3,lalala,lalala,PPI
ATP2B4,lalala,lalala,PPI
ATP6AP2,lalala,lalala,PPI
ATP6V0A1,lalala,lalala,PPI
ATP6V1C1,lalala,lalala,PPI
ATP6V1D,lalala,lalala,PPI
ATP6V1E1,lalala,lalala,PPI
ATP6V1G1,lalala,lalala,PPI
ATP6V1H,lalala,lalala,PPI
ATR,lalala,lalala,PPI
ATRIP,lalala,lalala,PPI
ATRX,lalala,lalala,PPI
ATXN7,lalala,lalala,PPI
ATXN7L3,lalala,lalala,PPI
AURKA,lalala,lalala,PPI
AURKAIP1,lalala,lalala,PPI
AURKB,lalala,lalala,PPI
AXIN1,lalala,lalala,PPI
AXIN2,lalala,lalala,PPI
AXL,lalala,lalala,PPI
B3GALT6,lalala,lalala,PPI
B3GAT3,lalala,lalala,PPI
B9D1,lalala,lalala,PPI
